,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,128.0,1.0,1.0,2021-09-12,ARI,@,TEN,"W, 38-13",,6,2,25,12.5,0,33.3,4.2,55,79.7,0,0.0,0,0.0
1,2.0,129.0,2.0,2.0,2021-09-19,ARI,,MIN,"W, 34-33",,6,3,44,14.7,1,50.0,7.3,51,83.6,0,0.0,0,0.0
2,3.0,130.0,3.0,3.0,2021-09-26,ARI,@,JAX,"W, 31-19",*,6,5,112,22.4,0,83.3,18.7,53,79.1,0,0.0,0,0.0
3,4.0,131.0,4.0,4.0,2021-10-03,ARI,@,LAR,"W, 37-20",*,6,5,67,13.4,1,83.3,11.2,67,85.9,0,0.0,0,0.0
4,5.0,132.0,5.0,5.0,2021-10-10,ARI,,SFO,"W, 17-10",*,2,1,13,13.0,0,50.0,6.5,49,80.3,0,0.0,1,5.3
5,6.0,133.0,6.0,6.0,2021-10-17,ARI,@,CLE,"W, 37-14",*,6,5,79,15.8,1,83.3,13.2,68,90.7,0,0.0,0,0.0
6,7.0,134.0,7.0,7.0,2021-10-24,ARI,,HOU,"W, 31-5",*,3,3,66,22.0,0,100.0,22.0,60,84.5,0,0.0,0,0.0
7,8.0,135.0,8.0,8.0,2021-10-28,ARI,,GNB,"L, 21-24",*,8,5,50,10.0,0,62.5,6.3,56,94.9,0,0.0,0,0.0
8,8.0,,9.0,9.0,2021-11-07,ARI,@,SFO,"W, 31-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,9.0,136.0,10.0,10.0,2021-11-14,ARI,,CAR,"L, 10-34",,5,1,4,4.0,0,20.0,0.8,38,69.1,0,0.0,0,0.0
10,10.0,137.0,11.0,11.0,2021-11-21,ARI,@,SEA,"W, 23-13",,7,4,78,19.5,0,57.1,11.1,57,68.7,0,0.0,0,0.0
11,11.0,138.0,12.0,13.0,2021-12-05,ARI,@,CHI,"W, 33-22",,1,1,14,14.0,0,100.0,14.0,36,67.9,0,0.0,1,4.2
12,12.0,139.0,13.0,14.0,2021-12-13,ARI,,LAR,"L, 23-30",,10,7,102,14.6,0,70.0,10.2,56,71.8,0,0.0,0,0.0
13,13.0,140.0,14.0,15.0,2021-12-19,ARI,@,DET,"L, 12-30",*,8,4,64,16.0,0,50.0,8.0,56,74.7,0,0.0,0,0.0
14,14.0,141.0,15.0,16.0,2021-12-25,ARI,,IND,"L, 16-22",*,3,1,33,33.0,0,33.3,11.0,56,86.2,0,0.0,0,0.0
15,15.0,142.0,16.0,17.0,2022-01-02,ARI,@,DAL,"W, 25-22",,6,3,74,24.7,0,50.0,12.3,62,80.5,0,0.0,0,0.0
16,16.0,143.0,17.0,18.0,2022-01-09,ARI,,SEA,"L, 30-38",*,9,4,23,5.8,0,44.4,2.6,68,89.5,0,0.0,0,0.0
17,,,,,,,,,10-6,,92,54,848,15.7,3,58.7,9.2,888,80.5,0,0.0,2,0.5
