,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2020-09-13,GNB,@,MIN,"W, 43-34",,2,14,0,7.0,0,0,0,,0,,,0,0,0,0,0,0,5,6.4,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2020-09-20,GNB,,DET,"W, 42-21",,5,17,0,3.4,0,0,0,,0,,,0,0,0,0,0,0,7,9.6,0,0.0,5,16.7
2,3.0,3.0,3.0,3.0,2020-09-27,GNB,@,NOR,"W, 37-30",,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,0,0.0,0,0.0,6,18.8
3,4.0,4.0,4.0,4.0,2020-10-05,GNB,,ATL,"W, 30-16",,1,3,0,3.0,0,0,0,,0,,,0,0,0,0,0,0,3,4.8,0,0.0,6,26.1
4,5.0,5.0,5.0,6.0,2020-10-18,GNB,@,TAM,"L, 10-38",,5,31,0,6.2,0,0,0,,0,,,0,0,0,0,0,0,10,15.9,0,0.0,14,46.7
5,6.0,6.0,6.0,7.0,2020-10-25,GNB,@,HOU,"W, 35-20",,5,11,0,2.2,0,0,0,,0,,,0,0,0,0,0,0,14,22.6,0,0.0,9,30.0
6,7.0,7.0,7.0,8.0,2020-11-01,GNB,,MIN,"L, 22-28",,5,21,0,4.2,1,1,16,16.0,0,100.0,16.0,0,0,0,0,0,0,10,13.5,0,0.0,7,36.8
7,7.0,,8.0,9.0,2020-11-05,GNB,@,SFO,"W, 34-17",COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
8,7.0,,9.0,10.0,2020-11-15,GNB,,JAX,"W, 24-20",COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
9,7.0,,10.0,11.0,2020-11-22,GNB,@,IND,"L, 31-34 (OT)",COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
10,7.0,,11.0,12.0,2020-11-29,GNB,,CHI,"W, 41-25",COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
11,7.0,,12.0,13.0,2020-12-06,GNB,,PHI,"W, 30-16",COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
12,8.0,8.0,13.0,14.0,2020-12-13,GNB,@,DET,"W, 31-24",,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,0,0.0,0,0.0,4,15.4
13,9.0,9.0,14.0,15.0,2020-12-19,GNB,,CAR,"W, 24-16",,1,18,0,18.0,0,0,0,,0,,,0,0,0,0,0,0,5,8.1,0,0.0,6,21.4
14,10.0,10.0,15.0,16.0,2020-12-27,GNB,,TEN,"W, 40-14",,21,124,2,5.9,1,1,5,5.0,0,100.0,5.0,0,0,0,0,0,0,38,57.6,0,0.0,1,4.5
15,11.0,11.0,16.0,17.0,2021-01-03,GNB,@,CHI,"W, 35-16",,1,3,0,3.0,0,0,0,,0,,,0,0,0,0,0,0,5,10.9,0,0.0,7,30.4
16,,,,,,,,,9-2,,46,242,2,5.3,2,2,21,10.5,0,100.0,10.5,0,0,0,0,0,0,97,13.5,0,0.0,65,22.5
