,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,12.0,1.0,1.0,2021-09-12,GNB,@,NOR,"L, 3-38",,4,19,0,4.8,2,1,7,7.0,0,50.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16,28.1,0,0.0,13,59.1
1,2.0,13.0,2.0,2.0,2021-09-20,GNB,,DET,"W, 35-17",,5,18,0,3.6,1,1,8,8.0,0,100.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,19,29.2,0,0.0,9,39.1
2,3.0,14.0,3.0,3.0,2021-09-26,GNB,@,SFO,"W, 30-28",,6,18,0,3.0,2,2,8,4.0,0,100.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,18,28.6,0,0.0,9,33.3
3,4.0,15.0,4.0,4.0,2021-10-03,GNB,,PIT,"W, 27-17",,15,81,0,5.4,1,1,16,16.0,0,100.0,16.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,40.3,0,0.0,7,28.0
4,5.0,16.0,5.0,5.0,2021-10-10,GNB,@,CIN,"W, 25-22 (OT)",,8,30,0,3.8,4,4,49,12.3,1,100.0,12.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,21,32.8,0,0.0,7,22.6
5,6.0,17.0,6.0,6.0,2021-10-17,GNB,@,CHI,"W, 24-14",,11,59,0,5.4,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,42.4,0,0.0,9,42.9
6,7.0,18.0,7.0,7.0,2021-10-24,GNB,,WAS,"W, 24-10",,3,6,0,2.0,2,1,2,2.0,0,50.0,1.0,0.0,0,0,0,0,0,0,2,1,0,0,0,0,13,23.2,0,0.0,5,26.3
7,8.0,19.0,8.0,8.0,2021-10-28,GNB,@,ARI,"W, 24-21",,16,78,0,4.9,0,0,0,,0,,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,29,39.7,0,0.0,5,22.7
8,9.0,20.0,9.0,9.0,2021-11-07,GNB,@,KAN,"L, 7-13",,8,46,0,5.8,4,4,44,11.0,0,100.0,11.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,24,38.1,0,0.0,4,18.2
9,10.0,21.0,10.0,10.0,2021-11-14,GNB,,SEA,"W, 17-0",,21,66,2,3.1,2,2,62,31.0,0,100.0,31.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,36,48.6,0,0.0,3,16.7
10,11.0,22.0,11.0,11.0,2021-11-21,GNB,@,MIN,"L, 31-34",*,11,53,0,4.8,6,6,44,7.3,0,100.0,7.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,74.6,0,0.0,0,0.0
11,12.0,23.0,12.0,12.0,2021-11-28,GNB,,LAR,"W, 36-28",,20,69,0,3.5,5,5,21,4.2,1,100.0,4.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,51.2,0,0.0,0,0.0
12,13.0,24.0,13.0,14.0,2021-12-12,GNB,,CHI,"W, 45-30",,15,71,0,4.7,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,1,3,0,35,53.8,0,0.0,6,16.7
13,14.0,25.0,14.0,15.0,2021-12-19,GNB,@,BAL,"W, 31-30",,7,22,1,3.1,1,1,13,13.0,0,100.0,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23,37.1,0,0.0,7,28.0
14,15.0,26.0,15.0,16.0,2021-12-25,GNB,,CLE,"W, 24-22",,9,41,0,4.6,3,3,15,5.0,0,100.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,44.1,0,0.0,5,21.7
15,16.0,27.0,16.0,17.0,2022-01-02,GNB,,MIN,"W, 37-10",,14,63,2,4.5,3,2,20,10.0,0,66.7,6.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,39,52.0,0,0.0,0,0.0
16,17.0,28.0,17.0,18.0,2022-01-09,GNB,@,DET,"L, 30-37",*,14,63,0,4.5,1,1,4,4.0,0,100.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,37,54.4,0,0.0,0,0.0
17,,,,,,,,,13-4,,187,803,5,4.3,37,34,313,9.2,2,91.9,8.5,0.0,1,1,0,0,0,0,2,1,0,1,3,0,476,42.7,0,0.0,89,20.6
