,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,111.0,1.0,1.0,2021-09-12,LAR,,CHI,"W, 34-14",*,1.0,3,1,2,1,1,0,0,0,0,0,0,0.0,66,95.7,0,0.0
1,2.0,112.0,2.0,2.0,2021-09-19,LAR,@,IND,"W, 27-24",*,0.0,7,3,4,1,3,0,0,0,0,0,0,0.0,62,92.5,0,0.0
2,3.0,113.0,3.0,3.0,2021-09-26,LAR,,TAM,"W, 34-24",*,1.0,3,2,1,1,1,0,0,0,0,1,0,0.0,60,82.2,0,0.0
3,4.0,114.0,4.0,4.0,2021-10-03,LAR,,ARI,"L, 20-37",*,0.0,4,0,4,0,0,0,0,0,0,0,0,0.0,72,92.3,0,0.0
4,5.0,115.0,5.0,5.0,2021-10-07,LAR,@,SEA,"W, 26-17",*,1.0,7,5,2,2,3,0,0,0,0,1,0,0.0,60,92.3,0,0.0
5,6.0,116.0,6.0,6.0,2021-10-17,LAR,@,NYG,"W, 38-11",*,0.5,2,1,1,0,1,0,0,0,0,1,0,0.0,45,60.0,0,0.0
6,7.0,117.0,7.0,7.0,2021-10-24,LAR,,DET,"W, 28-19",*,0.0,3,0,3,0,1,0,0,0,0,0,0,0.0,63,91.3,0,0.0
7,8.0,118.0,8.0,8.0,2021-10-31,LAR,@,HOU,"W, 38-22",*,1.5,4,1,3,1,2,0,0,0,0,0,0,0.0,41,67.2,0,0.0
8,9.0,119.0,9.0,9.0,2021-11-07,LAR,,TEN,"L, 16-28",*,1.0,4,2,2,1,2,0,0,0,0,0,0,0.0,55,94.8,0,0.0
9,10.0,120.0,10.0,10.0,2021-11-15,LAR,@,SFO,"L, 10-31",*,0.0,8,2,6,2,0,0,0,0,0,0,0,0.0,53,77.9,0,0.0
10,11.0,121.0,11.0,12.0,2021-11-28,LAR,@,GNB,"L, 28-36",*,0.0,6,3,3,0,1,0,0,0,0,0,0,0.0,81,98.8,0,0.0
11,12.0,122.0,12.0,13.0,2021-12-05,LAR,,JAX,"W, 37-7",*,1.0,5,1,4,0,2,0,0,0,0,0,0,0.0,52,88.1,0,0.0
12,13.0,123.0,13.0,14.0,2021-12-13,LAR,@,ARI,"W, 30-23",*,3.0,5,3,2,3,3,0,0,0,0,1,0,0.0,74,94.9,0,0.0
13,14.0,124.0,14.0,15.0,2021-12-21,LAR,,SEA,"W, 20-10",*,1.0,5,2,3,2,1,0,0,0,0,0,0,0.0,57,100.0,0,0.0
14,15.0,125.0,15.0,16.0,2021-12-26,LAR,@,MIN,"W, 30-23",*,1.0,6,5,1,3,2,0,0,0,0,0,0,0.0,61,96.8,0,0.0
15,16.0,126.0,16.0,17.0,2022-01-02,LAR,@,BAL,"W, 20-19",*,0.5,5,3,2,1,1,0,0,0,0,0,0,0.0,71,100.0,0,0.0
16,17.0,127.0,17.0,18.0,2022-01-09,LAR,,SFO,"L, 24-27 (OT)",*,0.0,7,4,3,1,1,0,0,0,0,0,0,0.0,68,97.1,0,0.0
17,,,,,,,,,12-5,,12.5,84,38,46,19,25,0,0,0,0,4,0,0.0,1041,89.5,0,0.0
