,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2018-09-09,GNB,,CHI,"W, 24-23",Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
1,,,2.0,2.0,2018-09-16,GNB,,MIN,"T, 29-29 (OT)",Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
2,1.0,13.0,3.0,3.0,2018-09-23,GNB,@,WAS,"L, 17-31",,6,42,0,7.0,1,1,5,5.0,0,100.0,5.0,0,0,0,0,0,0,17,24.6,0,0.0,7,24.1
3,2.0,14.0,4.0,4.0,2018-09-30,GNB,,BUF,"W, 22-0",,11,65,1,5.9,1,1,17,17.0,0,100.0,17.0,0,0,0,0,0,0,29,38.2,0,0.0,1,4.3
4,3.0,15.0,5.0,5.0,2018-10-07,GNB,@,DET,"L, 23-31",,7,40,0,5.7,3,2,19,9.5,0,66.7,6.3,0,0,0,0,0,0,22,27.2,0,0.0,3,10.7
5,4.0,16.0,6.0,6.0,2018-10-15,GNB,,SFO,"W, 33-30",*,8,41,0,5.1,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,19,26.8,0,0.0,3,9.1
6,5.0,17.0,7.0,8.0,2018-10-28,GNB,@,LAR,"L, 27-29",*,12,86,1,7.2,2,2,0,0.0,0,100.0,0.0,0,0,0,0,0,0,32,61.5,0,0.0,2,5.9
7,6.0,18.0,8.0,9.0,2018-11-04,GNB,@,NWE,"L, 17-31",*,14,75,0,5.4,4,2,10,5.0,0,50.0,2.5,1,1,0,0,0,0,43,58.1,0,0.0,2,7.4
8,7.0,19.0,9.0,10.0,2018-11-11,GNB,,MIA,"W, 31-12",*,15,145,2,9.7,5,3,27,9.0,0,60.0,5.4,0,0,0,0,0,0,42,73.7,0,0.0,0,0.0
9,8.0,20.0,10.0,11.0,2018-11-15,GNB,@,SEA,"L, 24-27",*,11,40,1,3.6,6,5,63,12.6,1,83.3,10.5,0,0,0,0,0,0,44,89.8,0,0.0,0,0.0
10,9.0,21.0,11.0,12.0,2018-11-25,GNB,@,MIN,"L, 17-24",*,17,72,1,4.2,5,3,21,7.0,0,60.0,4.2,0,0,0,0,0,0,40,75.5,0,0.0,0,0.0
11,10.0,22.0,12.0,13.0,2018-12-02,GNB,,ARI,"L, 17-20",*,11,36,1,3.3,4,4,16,4.0,0,100.0,4.0,0,0,0,0,0,0,39,51.3,0,0.0,0,0.0
12,11.0,23.0,13.0,14.0,2018-12-09,GNB,,ATL,"W, 34-20",,17,78,1,4.6,3,3,28,9.3,0,100.0,9.3,0,0,0,0,0,0,42,64.6,0,0.0,1,3.6
13,12.0,24.0,14.0,15.0,2018-12-16,GNB,@,CHI,"L, 17-24",*,4,8,0,2.0,0,0,0,,0,,,0,0,0,0,0,0,7,10.3,0,0.0,0,0.0
14,12.0,,15.0,16.0,2018-12-23,GNB,@,NYJ,"W, 44-38 (OT)",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
15,12.0,,16.0,17.0,2018-12-30,GNB,,DET,"L, 0-31",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
16,,,,,,,,,4-8,,133,728,8,5.5,35,26,206,7.9,1,74.3,5.9,1,1,0,0,0,0,376,47.5,0,0.0,19,5.5
