,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2017,23,GNB,NFL,RB,12.0,4.0,81.0,448.0,4.0,23.0,53.1,46.0,5.5,37.3,6.8,18.0,9.0,22.0,2.4,0.0,2.0,11.1,9.0,0.8,1.8,50.0,1.2,90.0,5.2,470.0,4.0,0.0,3.0,
1,2018,24,GNB,NFL,RB,12.0,8.0,133.0,728.0,8.0,41.0,54.9,67.0,5.5,60.7,11.1,35.0,26.0,206.0,7.9,1.0,12.0,51.4,24.0,2.2,17.2,74.3,5.9,159.0,5.9,934.0,9.0,1.0,6.0,
2,2019,25,GNB,NFL,RB,16.0,16.0,236.0,1084.0,16.0,55.0,54.2,56.0,4.6,67.8,14.8,68.0,49.0,474.0,9.7,3.0,18.0,47.1,67.0,3.1,29.6,72.1,7.0,285.0,5.5,1558.0,19.0,3.0,12.0,
3,2020,26,GNB,NFL,RB,14.0,14.0,201.0,1104.0,9.0,52.0,55.7,77.0,5.5,78.9,14.4,63.0,47.0,355.0,7.6,2.0,15.0,49.2,30.0,3.4,25.4,74.6,5.6,248.0,5.9,1459.0,11.0,2.0,14.0,PB
4,2021,27,GNB,NFL,RB,15.0,15.0,171.0,799.0,4.0,37.0,49.7,57.0,4.7,53.3,11.4,65.0,52.0,391.0,7.5,6.0,22.0,50.8,26.0,3.5,26.1,80.0,6.0,223.0,5.3,1190.0,10.0,2.0,9.0,
5,2022,28,GNB,NFL,RB,17.0,17.0,213.0,1121.0,2.0,54.0,54.9,36.0,5.3,65.9,12.5,72.0,59.0,395.0,6.7,5.0,19.0,44.4,30.0,3.5,23.2,81.9,5.5,272.0,5.6,1516.0,7.0,5.0,12.0,
6,2023,29,GNB,NFL,RB,11.0,11.0,142.0,656.0,2.0,34.0,62.0,39.0,4.6,59.6,12.9,43.0,30.0,233.0,7.8,1.0,13.0,39.5,51.0,2.7,21.2,69.8,5.4,172.0,5.2,889.0,3.0,2.0,7.0,
7,2024,30,MIN,NFL,RB,17.0,17.0,255.0,1138.0,5.0,49.0,49.8,41.0,4.5,66.9,15.0,62.0,51.0,408.0,8.0,2.0,20.0,58.1,25.0,3.0,24.0,82.3,6.6,306.0,5.1,1546.0,7.0,5.0,11.0,
8,2025,31,MIN,NFL,RB,2.0,2.0,13.0,46.0,0.0,1.0,46.2,9.0,3.5,23.0,6.5,4.0,3.0,44.0,14.7,1.0,2.0,75.0,27.0,1.5,22.0,75.0,11.0,16.0,5.6,90.0,1.0,0.0,,
9,9 Yrs,9 Yrs,9 Yrs,9 Yrs,,116.0,104.0,1445.0,7124.0,50.0,346.0,53.9,77.0,4.9,61.4,12.5,430.0,326.0,2528.0,7.8,21.0,123.0,47.4,67.0,2.8,21.8,75.8,5.9,1771.0,5.5,9652.0,71.0,20.0,74.0,
10,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,15.0,212.0,1044.0,7.0,51.0,53.9,77.0,4.9,61.4,12.5,63.0,48.0,370.0,7.8,3.0,18.0,47.4,67.0,2.8,21.8,75.8,5.9,260.0,5.5,1415.0,10.0,3.0,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,GNB (7 Yrs),GNB (7 Yrs),GNB (7 Yrs),GNB (7 Yrs),,97.0,85.0,1177.0,5940.0,45.0,296.0,54.9,77.0,5.0,61.2,12.1,364.0,272.0,2076.0,7.6,18.0,101.0,45.3,67.0,2.8,21.4,74.7,5.7,1449.0,5.5,8016.0,63.0,15.0,63.0,
13,MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),,19.0,19.0,268.0,1184.0,5.0,50.0,49.6,41.0,4.4,62.3,14.1,66.0,54.0,452.0,8.4,3.0,22.0,59.1,27.0,2.8,23.8,81.8,6.8,322.0,5.1,1636.0,8.0,5.0,11.0,
