,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,25.0,1.0,1.0,2019-09-05,GNB,@,CHI,"W, 10-3",*,13,39,0,3.0,1,1,0,0.0,0,100.0,0.0,1,0,0,1,0,0,37,60.7,0,0.0,0,0.0
1,2.0,26.0,2.0,2.0,2019-09-15,GNB,,MIN,"W, 21-16",*,23,116,1,5.0,6,4,34,8.5,0,66.7,5.7,0,0,0,0,0,0,42,59.2,0,0.0,0,0.0
2,3.0,27.0,3.0,3.0,2019-09-22,GNB,,DEN,"W, 27-16",*,10,19,2,1.9,1,1,4,4.0,0,100.0,4.0,0,0,0,0,0,0,21,38.9,0,0.0,0,0.0
3,4.0,28.0,4.0,4.0,2019-09-26,GNB,,PHI,"L, 27-34",*,13,21,1,1.6,7,6,37,6.2,0,85.7,5.3,0,0,0,0,0,0,66,83.5,0,0.0,0,0.0
4,5.0,29.0,5.0,5.0,2019-10-06,GNB,@,DAL,"W, 34-24",*,19,107,4,5.6,8,7,75,10.7,0,87.5,9.4,0,0,0,0,0,0,48,66.7,0,0.0,0,0.0
5,6.0,30.0,6.0,6.0,2019-10-14,GNB,,DET,"W, 23-22",*,11,47,0,4.3,7,4,13,3.3,0,57.1,1.9,1,1,0,0,0,0,36,48.6,0,0.0,0,0.0
6,7.0,31.0,7.0,7.0,2019-10-20,GNB,,OAK,"W, 42-24",*,12,50,0,4.2,4,4,33,8.3,1,100.0,8.3,0,0,0,0,0,0,33,56.9,0,0.0,0,0.0
7,8.0,32.0,8.0,8.0,2019-10-27,GNB,@,KAN,"W, 31-24",*,13,67,0,5.2,8,7,159,22.7,2,87.5,19.9,0,0,0,0,0,0,42,62.7,0,0.0,0,0.0
8,9.0,33.0,9.0,9.0,2019-11-03,GNB,@,LAC,"L, 11-26",*,8,30,0,3.8,3,1,-1,-1.0,0,33.3,-0.3,0,0,0,0,0,0,30,60.0,0,0.0,0,0.0
9,10.0,34.0,10.0,10.0,2019-11-10,GNB,,CAR,"W, 24-16",*,13,93,3,7.2,0,0,0,,0,,,0,0,0,0,0,0,32,50.0,0,0.0,0,0.0
10,11.0,35.0,11.0,12.0,2019-11-24,GNB,@,SFO,"L, 8-37",*,13,38,0,2.9,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,41,51.9,0,0.0,0,0.0
11,12.0,36.0,12.0,13.0,2019-12-01,GNB,@,NYG,"W, 31-13",*,11,18,0,1.6,6,4,13,3.3,0,66.7,2.2,0,0,0,0,0,0,38,58.5,0,0.0,0,0.0
12,13.0,37.0,13.0,14.0,2019-12-08,GNB,,WAS,"W, 20-15",*,16,134,1,8.4,7,6,58,9.7,0,85.7,8.3,0,0,0,0,0,0,35,58.3,0,0.0,0,0.0
13,14.0,38.0,14.0,15.0,2019-12-15,GNB,,CHI,"W, 21-13",*,13,51,2,3.9,0,0,0,,0,,,0,0,0,0,0,0,35,59.3,0,0.0,0,0.0
14,15.0,39.0,15.0,16.0,2019-12-23,GNB,@,MIN,"W, 23-10",*,23,154,2,6.7,3,2,6,3.0,0,66.7,2.0,1,1,0,0,0,0,52,67.5,0,0.0,0,0.0
15,16.0,40.0,16.0,17.0,2019-12-29,GNB,@,DET,"W, 23-20",*,25,100,0,4.0,6,2,43,21.5,0,33.3,7.2,0,0,0,0,0,0,75,85.2,0,0.0,0,0.0
16,,,,,,,,,13-3,,236,1084,16,4.6,68,49,474,9.7,3,72.1,7.0,3,2,0,1,0,0,663,61.5,0,0.0,0,0.0
