,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD
0,1.0,8.0,1.0,1.0,2008-09-08,GNB,,MIN,"W, 24-19",*,18,22,81.8,178,1,0,8.1,9.0,115.5,0,0,8,35,1,4.4,1,0,0,1,-3,0
1,2.0,9.0,2.0,2.0,2008-09-14,GNB,@,DET,"W, 48-25",*,24,38,63.2,328,3,0,8.6,10.21,117.0,1,4,4,25,0,6.3,2,1,0,1,-2,0
2,3.0,10.0,3.0,3.0,2008-09-21,GNB,,DAL,"L, 16-27",*,22,39,56.4,290,0,0,7.4,7.44,80.1,5,40,5,10,1,2.0,1,0,0,1,-8,0
3,4.0,11.0,4.0,4.0,2008-09-28,GNB,@,TAM,"L, 21-30",*,14,27,51.9,165,2,3,6.1,2.59,55.9,3,18,2,8,0,4.0,0,0,0,0,0,0
4,5.0,12.0,5.0,5.0,2008-10-05,GNB,,ATL,"L, 24-27",*,25,37,67.6,313,3,1,8.5,8.86,109.4,2,9,2,4,0,2.0,0,0,0,0,0,0
5,6.0,13.0,6.0,6.0,2008-10-12,GNB,@,SEA,"W, 27-17",*,21,30,70.0,208,2,0,6.9,8.27,111.5,2,8,6,23,1,3.8,1,1,0,0,0,0
6,7.0,14.0,7.0,7.0,2008-10-19,GNB,,IND,"W, 34-14",*,21,28,75.0,186,1,0,6.6,7.36,104.2,0,0,3,8,0,2.7,0,0,0,0,0,0
7,8.0,15.0,8.0,9.0,2008-11-02,GNB,@,TEN,"L, 16-19 (OT)",*,22,41,53.7,314,1,1,7.7,7.05,76.7,4,26,2,11,0,5.5,1,1,0,0,0,0
8,9.0,16.0,9.0,10.0,2008-11-09,GNB,@,MIN,"L, 27-28",*,15,26,57.7,142,0,0,5.5,5.46,72.9,4,32,1,1,0,1.0,1,0,0,1,0,0
9,10.0,17.0,10.0,11.0,2008-11-16,GNB,,CHI,"W, 37-3",*,23,30,76.7,227,2,1,7.6,7.4,105.8,0,0,1,1,0,1.0,0,0,0,0,0,0
10,11.0,18.0,11.0,12.0,2008-11-24,GNB,@,NOR,"L, 29-51",*,23,41,56.1,248,2,3,6.0,3.73,59.8,2,14,8,36,1,4.5,1,0,0,1,-9,0
11,12.0,19.0,12.0,13.0,2008-11-30,GNB,,CAR,"L, 31-35",*,29,45,64.4,298,3,1,6.6,6.96,96.3,2,5,5,26,0,5.2,0,0,0,0,0,0
12,13.0,20.0,13.0,14.0,2008-12-07,GNB,,HOU,"L, 21-24",*,19,30,63.3,295,2,1,9.8,9.67,104.2,2,16,1,4,0,4.0,0,0,0,0,0,0
13,14.0,21.0,14.0,15.0,2008-12-14,GNB,@,JAX,"L, 16-20",*,20,32,62.5,278,1,1,8.7,7.91,87.8,3,24,5,22,0,4.4,1,0,0,0,0,0
14,15.0,22.0,15.0,16.0,2008-12-22,GNB,@,CHI,"L, 17-20 (OT)",*,24,39,61.5,260,2,1,6.7,6.54,87.6,0,0,2,-6,0,-3.0,0,0,0,0,0,0
15,16.0,23.0,16.0,17.0,2008-12-28,GNB,,DET,"W, 31-21",*,21,31,67.7,308,3,0,9.9,11.87,132.2,4,35,1,-1,0,-1.0,1,0,0,0,0,0
16,,,,,,,,,6-10,,341,536,63.6,4038,28,13,7.5,7.49,93.8,34,231,56,207,4,3.7,10,3,0,5,-22,0
