,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,Y/R,TD.2,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,70.0,1.0,1.0,2012-09-09,GNB,,SFO,"L, 22-30",*,30,44,68.2,303,2,1,6.9,6.77,93.3,3,24,5,27,0,5.4,0,0,0,,0,,,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
1,2.0,71.0,2.0,2.0,2012-09-13,GNB,,CHI,"W, 23-10",*,22,32,68.8,219,1,1,6.8,6.06,85.3,5,31,3,-6,0,-2.0,0,0,0,,0,,,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
2,3.0,72.0,3.0,3.0,2012-09-24,GNB,@,SEA,"L, 12-14",*,26,39,66.7,223,0,0,5.7,5.72,81.5,8,39,2,17,0,8.5,0,0,0,,0,,,0,0,0,0,0,0,75,100.0,0,0.0,0,0.0
3,4.0,73.0,4.0,4.0,2012-09-30,GNB,,NOR,"W, 28-27",*,31,41,75.6,319,4,1,7.8,8.63,119.9,0,0,5,13,0,2.6,0,0,0,,0,,,0,0,0,0,0,0,69,98.6,0,0.0,0,0.0
4,5.0,74.0,5.0,5.0,2012-10-07,GNB,@,IND,"L, 27-30",*,20,32,62.5,235,3,1,7.3,7.81,103.0,5,28,5,57,0,11.4,0,0,0,,0,,,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
5,6.0,75.0,6.0,6.0,2012-10-14,GNB,@,HOU,"W, 42-24",*,24,37,64.9,338,6,0,9.1,12.38,133.8,2,10,2,17,0,8.5,0,0,0,,0,,,0,0,0,0,0,0,66,90.4,0,0.0,0,0.0
6,7.0,76.0,7.0,7.0,2012-10-21,GNB,@,STL,"W, 30-20",*,30,37,81.1,342,3,0,9.2,10.86,132.2,3,10,2,0,0,0.0,0,0,0,,0,,,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
7,8.0,77.0,8.0,8.0,2012-10-28,GNB,,JAX,"W, 24-15",*,22,35,62.9,186,2,0,5.3,6.46,95.7,2,14,3,4,0,1.3,0,0,0,,0,,,1,1,0,0,0,0,67,100.0,0,0.0,0,0.0
8,9.0,78.0,9.0,9.0,2012-11-04,GNB,,ARI,"W, 31-17",*,14,30,46.7,218,4,1,7.3,8.43,96.9,1,10,8,33,0,4.1,0,0,0,,0,,,0,0,0,1,0,0,71,100.0,0,0.0,0,0.0
9,10.0,79.0,10.0,11.0,2012-11-18,GNB,@,DET,"W, 24-20",*,19,27,70.4,236,2,1,8.7,8.56,106.4,3,17,1,3,0,3.0,0,0,0,,0,,,1,0,0,0,0,0,64,100.0,0,0.0,0,0.0
10,11.0,80.0,11.0,12.0,2012-11-25,GNB,@,NYG,"L, 10-38",*,14,25,56.0,219,1,1,8.8,7.76,81.9,5,29,3,22,0,7.3,0,0,0,,0,,,1,1,0,0,0,0,52,85.2,0,0.0,0,0.0
11,12.0,81.0,12.0,13.0,2012-12-02,GNB,,MIN,"W, 23-14",*,27,35,77.1,286,1,1,8.2,7.46,98.0,2,3,4,15,0,3.8,0,0,0,,0,,,0,0,0,0,0,0,82,100.0,0,0.0,0,0.0
12,13.0,82.0,13.0,14.0,2012-12-09,GNB,,DET,"W, 27-20",*,14,24,58.3,173,0,0,7.2,7.21,80.7,3,25,3,32,1,10.7,0,0,0,,0,,,1,1,0,0,0,0,53,100.0,0,0.0,0,0.0
13,14.0,83.0,14.0,15.0,2012-12-16,GNB,@,CHI,"W, 21-13",*,23,36,63.9,291,3,0,8.1,9.75,116.8,3,13,4,14,0,3.5,1,1,-1,-1.0,0,100.0,-1.0,0,0,0,0,0,0,74,100.0,0,0.0,0,0.0
14,15.0,84.0,15.0,16.0,2012-12-23,GNB,,TEN,"W, 55-7",*,27,38,71.1,342,3,0,9.0,10.58,125.1,1,8,4,11,1,2.8,0,0,0,,0,,,0,0,0,0,0,0,63,80.8,0,0.0,0,0.0
15,16.0,85.0,16.0,17.0,2012-12-30,GNB,@,MIN,"L, 34-37",*,28,40,70.0,365,4,0,9.1,11.13,131.8,5,32,0,0,0,,0,0,0,,0,,,1,1,0,0,0,0,64,100.0,0,0.0,0,0.0
16,,,,,,,,,11-5,,371,552,67.2,4295,39,8,7.8,8.54,108.0,51,293,54,259,2,4.8,1,1,-1,-1.0,0,100.0,-1.0,5,4,0,1,0,0,1071,97.1,0,0.0,0,0.0
