,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,166.0,1.0,1.0,2019-09-05,GNB,@,CHI,"W, 10-3",*,18,30,60.0,203,1,0,6.8,7.43,91.4,5,37,3,8,0,2.7,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0
1,2.0,167.0,2.0,2.0,2019-09-15,GNB,,MIN,"W, 21-16",*,22,34,64.7,209,2,0,6.1,7.32,101.2,2,18,1,0,0,0.0,1,1,0,0,-5,0,71,100.0,0,0.0,0,0.0
2,3.0,168.0,3.0,3.0,2019-09-22,GNB,,DEN,"W, 27-16",*,17,29,58.6,235,1,0,8.1,8.79,96.2,0,0,1,-1,0,-1.0,0,0,0,0,0,0,54,100.0,0,0.0,0,0.0
3,4.0,169.0,4.0,4.0,2019-09-26,GNB,,PHI,"L, 27-34",*,34,53,64.2,422,2,1,8.0,7.87,93.4,1,8,5,46,0,9.2,1,1,0,0,0,0,79,100.0,0,0.0,0,0.0
4,5.0,170.0,5.0,5.0,2019-10-06,GNB,@,DAL,"W, 34-24",*,22,34,64.7,238,0,0,7.0,7.0,85.2,2,23,4,-1,0,-0.3,0,0,0,0,0,0,72,100.0,0,0.0,0,0.0
5,6.0,171.0,6.0,6.0,2019-10-14,GNB,,DET,"W, 23-22",*,24,39,61.5,283,2,1,7.3,7.13,90.0,1,6,3,10,0,3.3,0,0,0,0,0,0,74,100.0,0,0.0,0,0.0
6,7.0,172.0,7.0,7.0,2019-10-20,GNB,,OAK,"W, 42-24",*,25,31,80.6,429,5,0,13.8,17.06,158.3,1,8,2,6,1,3.0,0,0,0,0,0,0,52,89.7,0,0.0,0,0.0
7,8.0,173.0,8.0,8.0,2019-10-27,GNB,@,KAN,"W, 31-24",*,23,33,69.7,305,3,0,9.2,11.06,129.0,5,49,6,29,0,4.8,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
8,9.0,174.0,9.0,9.0,2019-11-03,GNB,@,LAC,"L, 11-26",*,23,35,65.7,161,1,0,4.6,5.17,85.5,3,22,1,5,0,5.0,0,0,0,0,0,0,50,100.0,0,0.0,0,0.0
9,10.0,175.0,10.0,10.0,2019-11-10,GNB,,CAR,"W, 24-16",*,17,29,58.6,233,0,0,8.0,8.03,84.4,2,8,1,7,0,7.0,0,0,0,0,0,0,64,100.0,0,0.0,0,0.0
10,11.0,176.0,11.0,12.0,2019-11-24,GNB,@,SFO,"L, 8-37",*,20,33,60.6,104,1,0,3.2,3.76,75.8,5,38,3,13,0,4.3,1,1,0,0,0,0,67,84.8,0,0.0,0,0.0
11,12.0,177.0,12.0,13.0,2019-12-01,GNB,@,NYG,"W, 31-13",*,21,33,63.6,243,4,0,7.4,9.79,125.4,0,0,3,24,0,8.0,0,0,0,0,0,0,62,95.4,0,0.0,0,0.0
12,13.0,178.0,13.0,14.0,2019-12-08,GNB,,WAS,"W, 20-15",*,18,28,64.3,195,1,0,7.0,7.68,96.6,4,28,5,16,0,3.2,1,1,0,0,0,0,60,100.0,0,0.0,0,0.0
13,14.0,179.0,14.0,15.0,2019-12-15,GNB,,CHI,"W, 21-13",*,16,33,48.5,203,1,0,6.2,6.76,78.2,1,11,3,23,0,7.7,0,0,0,0,0,0,59,100.0,0,0.0,1,4.0
14,15.0,180.0,15.0,16.0,2019-12-23,GNB,@,MIN,"W, 23-10",*,26,40,65.0,216,0,1,5.4,4.28,68.3,3,17,3,-3,0,-1.0,0,0,0,0,0,0,77,100.0,0,0.0,0,0.0
15,16.0,181.0,16.0,17.0,2019-12-29,GNB,@,DET,"W, 23-20",*,27,55,49.1,323,2,1,5.9,5.78,72.0,1,11,2,1,0,0.5,0,0,0,0,0,0,88,100.0,0,0.0,0,0.0
16,,,,,,,,,13-3,,353,569,62.0,4002,26,4,7.0,7.63,95.4,36,284,46,183,1,4.0,4,4,0,0,-5,0,1057,98.1,0,0.0,1,0.2
