,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,153.0,1.0,1.0,2024-09-08,CAR,@,NOR,"L, 10-47",*,4,3,49,16.3,0,75.0,12.3,41,69.5,0,0.0,0,0.0
1,2.0,154.0,2.0,2.0,2024-09-15,CAR,,LAC,"L, 3-26",*,3,2,20,10.0,0,66.7,6.7,45,93.8,0,0.0,0,0.0
2,3.0,155.0,3.0,3.0,2024-09-22,CAR,@,LVR,"W, 36-22",*,5,3,40,13.3,1,60.0,8.0,23,31.1,0,0.0,0,0.0
3,3.0,,4.0,4.0,2024-09-29,CAR,,CIN,"L, 24-34",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,3.0,,5.0,5.0,2024-10-06,CAR,@,CHI,"L, 10-36",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,3.0,,6.0,6.0,2024-10-13,CAR,,ATL,"L, 20-38",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,3.0,,7.0,7.0,2024-10-20,CAR,@,WAS,"L, 7-40",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,3.0,,8.0,8.0,2024-10-27,CAR,@,DEN,"L, 14-28",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,3.0,,9.0,9.0,2024-11-03,CAR,,NOR,"W, 23-22",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,3.0,,10.0,10.0,2024-11-10,CAR,,NYG,"W, 20-17 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,4.0,156.0,11.0,12.0,2024-11-24,CAR,,KAN,"L, 27-30",*,4,3,57,19.0,0,75.0,14.3,38,61.3,0,0.0,0,0.0
11,5.0,157.0,12.0,13.0,2024-12-01,CAR,,TAM,"L, 23-26 (OT)",*,10,8,99,12.4,1,80.0,9.9,51,72.9,0,0.0,0,0.0
12,6.0,158.0,13.0,14.0,2024-12-08,CAR,@,PHI,"L, 16-22",*,11,9,102,11.3,0,81.8,9.3,53,74.6,0,0.0,0,0.0
13,7.0,159.0,14.0,15.0,2024-12-15,CAR,,DAL,"L, 14-30",*,7,5,51,10.2,0,71.4,7.3,47,85.5,0,0.0,0,0.0
14,8.0,160.0,15.0,16.0,2024-12-22,CAR,,ARI,"W, 36-30 (OT)",*,6,5,43,8.6,1,83.3,7.2,40,58.8,0,0.0,0,0.0
15,9.0,161.0,16.0,17.0,2024-12-29,CAR,@,TAM,"L, 14-48",*,6,5,110,22.0,2,83.3,18.3,40,85.1,0,0.0,0,0.0
16,10.0,162.0,17.0,18.0,2025-01-05,CAR,@,ATL,"W, 44-38 (OT)",*,6,5,44,8.8,0,83.3,7.3,51,76.1,0,0.0,0,0.0
17,,,,,,,,,3-7,,62,48,615,12.8,5,77.4,9.9,429,69.1,0,0.0,0,0.0
