,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD
0,1.0,31.0,1.0,1.0,2009-09-13,MIN,@,CLE,"W, 34-20",*,25,180,3,7.2,1,1,18,18.0,0,100.0,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1,2.0,32.0,2.0,2.0,2009-09-20,MIN,@,DET,"W, 27-13",*,15,92,1,6.1,4,4,24,6.0,0,100.0,6.0,0.0,0,0,0,0,0,1,1,0,0,0,0
2,3.0,33.0,3.0,3.0,2009-09-27,MIN,,SFO,"W, 27-24",*,19,85,0,4.5,2,2,14,7.0,0,100.0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0
3,4.0,34.0,4.0,4.0,2009-10-05,MIN,,GNB,"W, 30-23",*,25,55,1,2.2,1,1,0,0.0,0,100.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0
4,5.0,35.0,5.0,5.0,2009-10-11,MIN,@,STL,"W, 38-10",*,14,63,2,4.5,2,2,6,3.0,0,100.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0
5,6.0,36.0,6.0,6.0,2009-10-18,MIN,,BAL,"W, 33-31",*,22,143,0,6.5,6,4,23,5.8,0,66.7,3.8,0.0,0,0,0,0,0,0,0,0,0,0,0
6,7.0,37.0,7.0,7.0,2009-10-25,MIN,@,PIT,"L, 17-27",,18,69,1,3.8,4,4,60,15.0,0,100.0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0
7,8.0,38.0,8.0,8.0,2009-11-01,MIN,@,GNB,"W, 38-26",*,25,97,1,3.9,2,1,44,44.0,0,50.0,22.0,0.0,0,0,0,0,0,0,0,0,0,0,0
8,9.0,39.0,9.0,10.0,2009-11-15,MIN,,DET,"W, 27-10",*,18,133,2,7.4,3,2,10,5.0,0,66.7,3.3,0.0,0,0,0,0,0,2,0,0,0,-12,0
9,10.0,40.0,10.0,11.0,2009-11-22,MIN,,SEA,"W, 35-9",*,24,82,0,3.4,5,4,16,4.0,0,80.0,3.2,0.0,0,0,0,0,0,0,0,0,0,0,0
10,11.0,41.0,11.0,12.0,2009-11-29,MIN,,CHI,"W, 36-10",*,25,85,1,3.4,4,2,18,9.0,0,50.0,4.5,0.0,0,0,0,0,0,2,1,0,0,0,0
11,12.0,42.0,12.0,13.0,2009-12-06,MIN,@,ARI,"L, 17-30",*,13,19,0,1.5,7,6,46,7.7,0,85.7,6.6,0.0,0,0,0,0,0,0,0,0,0,0,0
12,13.0,43.0,13.0,14.0,2009-12-13,MIN,,CIN,"W, 30-10",*,26,97,2,3.7,5,3,40,13.3,0,60.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0
13,14.0,44.0,14.0,15.0,2009-12-20,MIN,@,CAR,"L, 7-26",*,12,35,1,2.9,4,3,73,24.3,0,75.0,18.3,0.0,0,0,0,0,0,0,0,0,0,0,0
14,15.0,45.0,15.0,16.0,2009-12-28,MIN,@,CHI,"L, 30-36 (OT)",*,24,94,2,3.9,6,3,43,14.3,0,50.0,7.2,0.0,0,0,0,0,0,1,1,0,0,0,0
15,16.0,46.0,16.0,17.0,2010-01-03,MIN,,NYG,"W, 44-7",*,9,54,1,6.0,1,1,1,1.0,0,100.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0
16,,,,,,,,,12-4,,314,1383,18,4.4,57,43,436,10.1,0,75.4,7.6,0.0,0,0,0,0,0,7,4,0,0,-12,0
