,1,113,1.1,1.2,1975-09-21,MIN,Unnamed: 6,SFO,"W, 27-17",*,0.0,0
0,2.0,114.0,2.0,2.0,1975-09-28,MIN,@,CLE,"W, 42-10",*,0.0,0
1,3.0,115.0,3.0,3.0,1975-10-05,MIN,,CHI,"W, 28-3",*,0.0,0
2,4.0,116.0,4.0,4.0,1975-10-12,MIN,,NYJ,"W, 29-21",*,0.0,0
3,5.0,117.0,5.0,5.0,1975-10-19,MIN,,DET,"W, 25-19",*,0.0,0
4,6.0,118.0,6.0,6.0,1975-10-27,MIN,@,CHI,"W, 13-9",*,0.0,0
5,7.0,119.0,7.0,7.0,1975-11-02,MIN,@,GNB,"W, 28-17",*,0.0,0
6,8.0,120.0,8.0,8.0,1975-11-09,MIN,,ATL,"W, 38-0",*,0.0,0
7,9.0,121.0,9.0,9.0,1975-11-16,MIN,@,NOR,"W, 20-7",*,0.0,0
8,10.0,122.0,10.0,10.0,1975-11-23,MIN,,SDG,"W, 28-13",*,0.0,0
9,11.0,123.0,11.0,11.0,1975-11-30,MIN,@,WAS,"L, 30-31",*,0.0,0
10,12.0,124.0,12.0,12.0,1975-12-07,MIN,,GNB,"W, 24-3",*,0.0,0
11,13.0,125.0,13.0,13.0,1975-12-14,MIN,@,DET,"L, 10-17",*,0.0,0
12,14.0,126.0,14.0,14.0,1975-12-20,MIN,@,BUF,"W, 35-13",*,0.0,0
13,,,,,,,,,12-2,,0.0,0
