,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,34.0,1.0,1.0,2024-09-08,IND,,HOU,"L, 27-29",*,3,3,125,41.7,1,100.0,41.7,38,84.4,0,0.0,0,0.0
1,2.0,35.0,2.0,2.0,2024-09-15,IND,@,GNB,"L, 10-16",*,7,5,56,11.2,1,71.4,8.0,53,94.6,0,0.0,1,4.5
2,3.0,36.0,3.0,3.0,2024-09-22,IND,,CHI,"W, 21-16",*,2,1,44,44.0,0,50.0,22.0,43,76.8,0,0.0,0,0.0
3,4.0,37.0,4.0,4.0,2024-09-29,IND,,PIT,"W, 27-24",*,2,1,9,9.0,0,50.0,4.5,55,83.3,0,0.0,0,0.0
4,5.0,38.0,5.0,5.0,2024-10-06,IND,@,JAX,"L, 34-37",*,3,3,134,44.7,1,100.0,44.7,52,74.3,0,0.0,0,0.0
5,6.0,39.0,6.0,6.0,2024-10-13,IND,@,TEN,"W, 20-17",*,4,0,0,,0,0.0,0.0,62,88.6,0,0.0,0,0.0
6,7.0,40.0,7.0,7.0,2024-10-20,IND,,MIA,"W, 16-10",*,5,2,15,7.5,0,40.0,3.0,49,79.0,0,0.0,0,0.0
7,8.0,41.0,8.0,8.0,2024-10-27,IND,@,HOU,"L, 20-23",*,4,1,11,11.0,0,25.0,2.8,50,78.1,0,0.0,0,0.0
8,9.0,42.0,9.0,9.0,2024-11-03,IND,@,MIN,"L, 13-21",*,3,3,41,13.7,0,100.0,13.7,48,88.9,0,0.0,1,4.5
9,10.0,43.0,10.0,10.0,2024-11-10,IND,,BUF,"L, 20-30",*,7,4,81,20.3,1,57.1,11.6,55,85.9,0,0.0,0,0.0
10,11.0,44.0,11.0,11.0,2024-11-17,IND,@,NYJ,"W, 28-27",,4,3,74,24.7,0,75.0,18.5,56,80.0,0,0.0,0,0.0
11,12.0,45.0,12.0,12.0,2024-11-24,IND,,DET,"L, 6-24",,4,1,39,39.0,0,25.0,9.8,40,72.7,0,0.0,0,0.0
12,13.0,46.0,13.0,13.0,2024-12-01,IND,@,NWE,"W, 25-24",,6,2,16,8.0,1,33.3,2.7,44,71.0,0,0.0,0,0.0
13,14.0,47.0,14.0,15.0,2024-12-15,IND,@,DEN,"L, 13-31",*,4,0,0,,0,0.0,0.0,35,46.1,0,0.0,0,0.0
14,14.0,,15.0,16.0,2024-12-22,IND,,TEN,"W, 38-30",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,15.0,48.0,16.0,17.0,2024-12-29,IND,@,NYG,"L, 33-45",*,9,6,122,20.3,1,66.7,13.6,73,94.8,0,0.0,0,0.0
16,16.0,49.0,17.0,18.0,2025-01-05,IND,,JAX,"W, 26-23 (OT)",*,2,2,57,28.5,1,100.0,28.5,64,82.1,0,0.0,0,0.0
17,,,,,,,,,7-9,,69,37,824,22.3,7,53.6,11.9,817,79.7,0,0.0,2,0.5
