,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,14.0,1.0,1.0,2020-09-13,MIN,,GNB,"L, 34-43",,6,50,0,8.3,4,4,30,7.5,0,100.0,7.5,19,36.5,0,0.0,0,0.0
1,2.0,15.0,2.0,2.0,2020-09-20,MIN,@,IND,"L, 11-28",,3,13,0,4.3,2,1,3,3.0,0,50.0,1.5,10,18.5,0,0.0,5,20.0
2,3.0,16.0,3.0,3.0,2020-09-27,MIN,,TEN,"L, 30-31",,8,27,0,3.4,0,0,0,,0,,,16,24.6,0,0.0,0,0.0
3,4.0,17.0,4.0,4.0,2020-10-04,MIN,@,HOU,"W, 31-23",,7,17,1,2.4,0,0,0,,0,,,15,22.7,0,0.0,0,0.0
4,5.0,18.0,5.0,5.0,2020-10-11,MIN,@,SEA,"L, 26-27",,20,112,0,5.6,3,3,24,8.0,0,100.0,8.0,43,49.4,0,0.0,0,0.0
5,6.0,19.0,6.0,6.0,2020-10-18,MIN,,ATL,"L, 23-40",*,10,26,0,2.6,2,1,4,4.0,0,50.0,2.0,27,48.2,0,0.0,0,0.0
6,7.0,20.0,7.0,8.0,2020-11-01,MIN,@,GNB,"W, 28-22",,3,8,0,2.7,0,0,0,,0,,,5,9.6,0,0.0,0,0.0
7,8.0,21.0,8.0,9.0,2020-11-08,MIN,,DET,"W, 34-20",,12,69,0,5.8,0,0,0,,0,,,16,27.6,0,0.0,0,0.0
8,9.0,22.0,9.0,10.0,2020-11-16,MIN,@,CHI,"W, 19-13",,2,4,0,2.0,0,0,0,,0,,,5,6.8,0,0.0,0,0.0
9,10.0,23.0,10.0,11.0,2020-11-22,MIN,,DAL,"L, 28-31",,1,6,0,6.0,0,0,0,,0,,,5,7.7,0,0.0,6,23.1
10,11.0,24.0,11.0,12.0,2020-11-29,MIN,,CAR,"W, 28-27",,2,6,0,3.0,0,0,0,,0,,,12,16.4,0,0.0,5,17.2
11,11.0,,12.0,13.0,2020-12-06,MIN,,JAX,"W, 27-24 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,11.0,,13.0,14.0,2020-12-13,MIN,@,TAM,"L, 14-26",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,12.0,25.0,14.0,15.0,2020-12-20,MIN,,CHI,"L, 27-33",,1,1,0,1.0,1,1,14,14.0,0,100.0,14.0,6,8.8,0,0.0,8,27.6
14,12.0,,15.0,16.0,2020-12-25,MIN,@,NOR,"L, 33-52",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,13.0,26.0,16.0,17.0,2021-01-03,MIN,@,DET,"W, 37-35",*,21,95,1,4.5,3,3,50,16.7,1,100.0,16.7,50,62.5,0,0.0,0,0.0
16,,,,,,,,,6-7,,96,434,2,4.5,15,13,125,9.6,1,86.7,8.3,229,26.9,0,0.0,24,6.6
