,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,60.0,1.0,1.0,2023-09-10,MIN,,TAM,"L, 17-20",*,11,34,0,3.1,4,3,10,3.3,1,75.0,2.5,0,0,0,0,0,0,47,73.4,0,0.0,0,0.0
1,2.0,61.0,2.0,2.0,2023-09-14,MIN,@,PHI,"L, 28-34",*,8,28,0,3.5,6,3,11,3.7,0,50.0,1.8,1,1,0,0,0,0,44,75.9,0,0.0,0,0.0
2,3.0,62.0,3.0,3.0,2023-09-24,MIN,,LAC,"L, 24-28",*,20,93,0,4.7,7,5,32,6.4,0,71.4,4.6,0,0,0,0,0,0,66,80.5,0,0.0,0,0.0
3,4.0,63.0,4.0,4.0,2023-10-01,MIN,@,CAR,"W, 21-13",*,17,95,0,5.6,1,1,3,3.0,0,100.0,3.0,0,0,0,0,0,0,33,68.8,0,0.0,0,0.0
4,5.0,64.0,5.0,5.0,2023-10-08,MIN,,KAN,"L, 20-27",*,8,26,0,3.3,3,2,20,10.0,1,66.7,6.7,0,0,0,0,0,0,37,51.4,0,0.0,0,0.0
5,6.0,65.0,6.0,6.0,2023-10-15,MIN,@,CHI,"W, 19-13",*,18,44,0,2.4,7,4,28,7.0,0,57.1,4.0,0,0,0,0,0,0,45,78.9,0,0.0,0,0.0
6,7.0,66.0,7.0,7.0,2023-10-23,MIN,,SFO,"W, 22-17",*,8,39,0,4.9,3,2,3,1.5,0,66.7,1.0,0,0,0,0,0,0,37,52.9,0,0.0,0,0.0
7,8.0,67.0,8.0,8.0,2023-10-29,MIN,@,GNB,"W, 24-10",*,16,31,0,1.9,1,1,2,2.0,0,100.0,2.0,0,0,0,0,0,0,44,61.1,0,0.0,0,0.0
8,9.0,68.0,9.0,9.0,2023-11-05,MIN,@,ATL,"W, 31-28",*,16,44,0,2.8,2,2,49,24.5,1,100.0,24.5,0,0,0,0,0,0,42,56.0,0,0.0,0,0.0
9,10.0,69.0,10.0,10.0,2023-11-12,MIN,,NOR,"W, 27-19",*,8,27,0,3.4,2,1,6,6.0,0,50.0,3.0,0,0,0,0,0,0,33,45.2,0,0.0,0,0.0
10,11.0,70.0,11.0,11.0,2023-11-19,MIN,@,DEN,"L, 20-21",*,18,81,0,4.5,2,1,-1,-1.0,0,50.0,-0.5,1,1,0,0,0,0,48,64.9,0,0.0,0,0.0
11,12.0,71.0,12.0,12.0,2023-11-27,MIN,,CHI,"L, 10-12",*,10,52,0,5.2,2,2,11,5.5,0,100.0,5.5,1,0,0,1,-1,0,31,56.4,0,0.0,0,0.0
12,13.0,72.0,13.0,14.0,2023-12-10,MIN,@,LVR,"W, 3-0",*,10,66,0,6.6,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,23,31.9,0,0.0,0,0.0
13,13.0,,14.0,15.0,2023-12-16,MIN,@,CIN,"L, 24-27 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,14.0,73.0,15.0,16.0,2023-12-24,MIN,,DET,"L, 24-30",,2,-1,0,-0.5,0,0,0,,0,,,0,0,0,0,0,0,5,9.1,0,0.0,0,0.0
15,15.0,74.0,16.0,17.0,2023-12-31,MIN,,GNB,"L, 10-33",,3,17,0,5.7,2,2,13,6.5,0,100.0,6.5,0,0,0,0,0,0,21,39.6,0,0.0,0,0.0
16,16.0,75.0,17.0,18.0,2024-01-07,MIN,@,DET,"L, 20-30",,7,24,0,3.4,1,1,5,5.0,0,100.0,5.0,0,0,0,0,0,0,23,31.5,0,0.0,0,0.0
17,,,,,,,,,7-9,,180,700,0,3.9,44,30,192,6.4,3,68.2,4.4,3,2,0,1,-1,0,579,55.0,0,0.0,0,0.0
