,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,58.0,1.0,1.0,2023-09-11,NYJ,,BUF,"W, 22-16 (OT)",*,4,2,46,23.0,0,50.0,11.5,42,77.8,0,0.0,0,0.0
1,2.0,59.0,2.0,2.0,2023-09-17,NYJ,@,DAL,"L, 10-30",*,4,2,23,11.5,0,50.0,5.8,44,93.6,0,0.0,0,0.0
2,3.0,60.0,3.0,3.0,2023-09-24,NYJ,,NWE,"L, 10-15",*,5,3,39,13.0,0,60.0,7.8,61,96.8,0,0.0,0,0.0
3,4.0,61.0,4.0,4.0,2023-10-01,NYJ,,KAN,"L, 20-23",*,3,3,61,20.3,1,100.0,20.3,51,86.4,0,0.0,0,0.0
4,5.0,62.0,5.0,5.0,2023-10-08,NYJ,@,DEN,"W, 31-21",*,4,3,33,11.0,0,75.0,8.3,60,92.3,0,0.0,0,0.0
5,6.0,63.0,6.0,6.0,2023-10-15,NYJ,,PHI,"W, 20-14",*,3,1,8,8.0,0,33.3,2.7,50,76.9,0,0.0,0,0.0
6,7.0,64.0,7.0,8.0,2023-10-29,NYJ,@,NYG,"W, 13-10 (OT)",*,6,3,45,15.0,0,50.0,7.5,52,81.3,0,0.0,0,0.0
7,8.0,65.0,8.0,9.0,2023-11-06,NYJ,,LAC,"L, 6-27",*,6,2,18,9.0,0,33.3,3.0,72,88.9,0,0.0,0,0.0
8,9.0,66.0,9.0,10.0,2023-11-12,NYJ,@,LVR,"L, 12-16",*,5,1,17,17.0,0,20.0,3.4,59,89.4,0,0.0,0,0.0
9,10.0,67.0,10.0,11.0,2023-11-19,NYJ,@,BUF,"L, 6-32",*,1,0,0,,0,0.0,0.0,37,64.9,0,0.0,0,0.0
10,10.0,,11.0,12.0,2023-11-24,NYJ,,MIA,"L, 13-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,11.0,68.0,12.0,13.0,2023-12-03,NYJ,,ATL,"L, 8-13",,1,0,0,,0,0.0,0.0,32,47.1,0,0.0,0,0.0
12,12.0,69.0,13.0,14.0,2023-12-10,NYJ,,HOU,"W, 30-6",*,0,0,0,,0,,,49,72.1,0,0.0,0,0.0
13,13.0,70.0,14.0,15.0,2023-12-17,NYJ,@,MIA,"L, 0-30",*,6,3,21,7.0,0,50.0,3.5,52,89.7,0,0.0,0,0.0
14,14.0,71.0,15.0,16.0,2023-12-24,NYJ,,WAS,"W, 30-28",,1,0,0,,0,0.0,0.0,24,26.7,0,0.0,0,0.0
15,14.0,,16.0,17.0,2023-12-28,NYJ,@,CLE,"L, 20-37",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,14.0,,17.0,18.0,2024-01-07,NYJ,@,NWE,"W, 17-3",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,6-8,,49,23,311,13.5,1,46.9,6.3,685,75.7,0,0.0,0,0.0
