,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2018,25,CHI,NFL,WR,1.0,1.0,13.0,10.0,143.0,14.3,1.0,5.0,69.2,45.0,10.0,143.0,76.9,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.3,143.0,1.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2020,27,CHI,NFL,WR,1.0,1.0,7.0,6.0,55.0,9.2,0.0,2.0,71.4,21.0,6.0,55.0,85.7,7.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.2,55.0,0.0,0.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023,30,PIT,NFL,WR,1.0,1.0,3.0,2.0,12.0,6.0,0.0,1.0,33.3,13.0,2.0,12.0,66.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,12.0,0.0,0.0,
5,3 Yrs,3 Yrs,3 Yrs,3 Yrs,,3.0,3.0,23.0,18.0,210.0,11.7,1.0,8.0,65.2,45.0,6.0,70.0,78.3,9.1,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.7,210.0,1.0,0.0,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,17.0,130.0,102.0,1190.0,11.7,6.0,45.0,65.2,45.0,6.0,70.0,78.3,9.1,0.0,0.0,0.0,0.0,0.0,0.0,102.0,11.7,1190.0,6.0,0.0,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),CHI (2 Yrs),,2.0,2.0,20.0,16.0,198.0,12.4,1.0,7.0,70.0,45.0,8.0,99.0,80.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.4,198.0,1.0,0.0,
9,PIT (1 Yr),PIT (1 Yr),PIT (1 Yr),PIT (1 Yr),,1.0,1.0,3.0,2.0,12.0,6.0,0.0,1.0,33.3,13.0,2.0,12.0,66.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,12.0,0.0,0.0,
