,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Ret,Yds.4,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.5,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,32.0,1.0,1.0,2019-09-09,NOR,,HOU,"W, 30-28",*,13,97,0,7.5,8,7,72,10.3,0,87.5,9.0,0,0,,0,0,0,,,,0,0,0,0,0,,1,0,0,0,0,0,50,75.8,0,0.0,0,0.0
1,2.0,33.0,2.0,2.0,2019-09-15,NOR,@,LAR,"L, 9-27",*,13,45,0,3.5,3,1,15,15.0,0,33.3,5.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,40,63.5,0,0.0,0,0.0
2,3.0,34.0,3.0,3.0,2019-09-22,NOR,@,SEA,"W, 33-27",*,16,69,1,4.3,10,9,92,10.2,1,90.0,9.2,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,49,87.5,0,0.0,1,3.6
3,4.0,35.0,4.0,4.0,2019-09-29,NOR,,DAL,"W, 12-10",*,17,69,0,4.1,3,3,20,6.7,0,100.0,6.7,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,55,78.6,0,0.0,0,0.0
4,5.0,36.0,5.0,5.0,2019-10-06,NOR,,TAM,"W, 31-24",*,16,62,0,3.9,7,6,42,7.0,0,85.7,6.0,1,1,100.0,13,0,0,13.0,13.00,118.7,0,0,0,0,0,,0,0,0,0,0,0,47,68.1,0,0.0,1,3.4
5,6.0,37.0,6.0,6.0,2019-10-13,NOR,@,JAX,"W, 13-6",*,11,31,0,2.8,8,7,35,5.0,0,87.5,4.4,0,0,,0,0,0,,,,0,0,0,0,0,,1,0,0,0,0,0,39,59.1,0,0.0,0,0.0
6,6.0,,7.0,7.0,2019-10-20,NOR,@,CHI,"W, 36-25",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6.0,,8.0,8.0,2019-10-27,NOR,,ARI,"W, 31-9",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,7.0,38.0,9.0,10.0,2019-11-10,NOR,,ATL,"L, 9-26",,4,24,0,6.0,10,8,50,6.3,0,80.0,5.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,52,78.8,0,0.0,0,0.0
9,8.0,39.0,10.0,11.0,2019-11-17,NOR,@,TAM,"W, 34-17",,13,75,0,5.8,10,10,47,4.7,0,100.0,4.7,0,0,,0,0,0,,,,0,0,3,32,0,10.7,1,0,0,0,0,0,42,62.7,0,0.0,3,11.5
10,9.0,40.0,11.0,12.0,2019-11-24,NOR,,CAR,"W, 34-31",,11,54,0,4.9,9,9,48,5.3,0,100.0,5.3,0,0,,0,0,0,,,,0,0,1,-2,0,-2.0,0,0,0,0,0,0,43,67.2,0,0.0,3,10.0
11,10.0,41.0,12.0,13.0,2019-11-28,NOR,@,ATL,"W, 26-18",*,11,61,0,5.5,8,4,23,5.8,0,50.0,2.9,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,40,81.6,0,0.0,3,10.0
12,11.0,42.0,13.0,14.0,2019-12-08,NOR,,SFO,"L, 46-48",*,13,25,0,1.9,6,4,18,4.5,0,66.7,3.0,0,0,,0,0,0,,,,0,0,0,0,0,,1,1,0,0,0,0,55,76.4,0,0.0,0,0.0
13,12.0,43.0,14.0,15.0,2019-12-16,NOR,,IND,"W, 34-7",,14,66,0,4.7,5,5,23,4.6,0,100.0,4.6,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,42,62.7,0,0.0,0,0.0
14,13.0,44.0,15.0,16.0,2019-12-22,NOR,@,TEN,"W, 38-28",*,11,80,2,7.3,7,6,30,5.0,0,85.7,4.3,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,44,62.9,0,0.0,0,0.0
15,14.0,45.0,16.0,17.0,2019-12-29,NOR,@,CAR,"W, 42-10",,8,39,2,4.9,3,2,18,9.0,0,66.7,6.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,28,40.6,0,0.0,0,0.0
16,,,,,,,,,11-3,,171,797,5,4.7,97,81,533,6.6,1,83.5,5.5,1,1,100.0,13,0,0,13.0,13.00,118.7,0,0,4,30,0,7.5,4,1,0,0,0,0,626,68.5,0,0.0,11,2.8
