,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2015-09-13,OAK,,CIN,"L, 13-33",*,9,5,47,9.4,0,55.6,5.2,0,0,0,,0,0,0,,0,0,0,0,0,0,54,85.7,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2015-09-20,OAK,,BAL,"W, 37-33",*,11,7,109,15.6,1,63.6,9.9,0,0,0,,0,0,0,,0,0,0,0,0,0,60,81.1,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2015-09-27,OAK,@,CLE,"W, 27-20",*,11,8,134,16.8,0,72.7,12.2,0,0,0,,2,0,0,0.0,1,1,0,0,0,0,58,85.3,0,0.0,2,6.9
3,4.0,4.0,4.0,4.0,2015-10-04,OAK,@,CHI,"L, 20-22",*,9,4,49,12.3,1,44.4,5.4,0,0,0,,1,7,0,7.0,0,0,0,0,0,0,57,98.3,0,0.0,1,3.6
4,5.0,5.0,5.0,5.0,2015-10-11,OAK,,DEN,"L, 10-16",*,4,4,47,11.8,0,100.0,11.8,1,2,0,2.0,1,18,0,18.0,0,0,0,0,0,0,64,91.4,0,0.0,4,15.4
5,6.0,6.0,6.0,7.0,2015-10-25,OAK,@,SDG,"W, 37-29",,6,5,133,26.6,1,83.3,22.2,0,0,0,,0,0,0,,0,0,0,0,0,0,56,90.3,0,0.0,3,9.4
6,7.0,7.0,7.0,8.0,2015-11-01,OAK,,NYJ,"W, 34-20",*,9,5,46,9.2,0,55.6,5.1,1,2,0,2.0,0,0,0,,0,0,0,0,0,0,56,90.3,0,0.0,0,0.0
7,8.0,8.0,8.0,9.0,2015-11-08,OAK,@,PIT,"L, 35-38",*,13,7,88,12.6,1,53.8,6.8,0,0,0,,0,0,0,,0,0,0,0,0,0,63,90.0,0,0.0,0,0.0
8,9.0,9.0,9.0,10.0,2015-11-15,OAK,,MIN,"L, 14-30",*,9,5,79,15.8,0,55.6,8.8,0,0,0,,0,0,0,,0,0,0,0,0,0,59,92.2,0,0.0,0,0.0
9,10.0,10.0,10.0,11.0,2015-11-22,OAK,@,DET,"L, 13-18",*,4,1,4,4.0,0,25.0,1.0,0,0,0,,4,16,0,4.0,0,0,0,0,0,0,48,94.1,0,0.0,5,18.5
10,11.0,11.0,11.0,12.0,2015-11-29,OAK,@,TEN,"W, 24-21",*,12,7,115,16.4,0,58.3,9.6,0,0,0,,0,0,0,,0,0,0,0,0,0,66,93.0,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2015-12-06,OAK,,KAN,"L, 20-34",*,8,4,69,17.3,0,50.0,8.6,1,-7,0,-7.0,0,0,0,,0,0,0,0,0,0,77,97.5,0,0.0,0,0.0
12,13.0,13.0,13.0,14.0,2015-12-13,OAK,@,DEN,"W, 15-12",*,8,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0,0,0,0,0,0,45,78.9,0,0.0,0,0.0
13,14.0,14.0,14.0,15.0,2015-12-20,OAK,,GNB,"L, 20-30",*,9,6,120,20.0,2,66.7,13.3,0,0,0,,0,0,0,,0,0,0,0,0,0,63,81.8,0,0.0,0,0.0
14,15.0,15.0,15.0,16.0,2015-12-24,OAK,,SDG,"W, 23-20 (OT)",*,3,2,10,5.0,0,66.7,3.3,0,0,0,,0,0,0,,0,0,0,0,0,0,20,28.6,0,0.0,0,0.0
15,16.0,16.0,16.0,17.0,2016-01-03,OAK,@,KAN,"L, 17-23",*,5,2,20,10.0,0,40.0,4.0,0,0,0,,0,0,0,,0,0,0,0,0,0,55,96.5,0,0.0,0,0.0
16,,,,,,,,,7-9,,130,72,1070,14.9,6,55.4,8.2,3,-3,0,-1.0,8,41,0,5.1,1,1,0,0,0,0,901,85.6,0,0.0,15,3.1
