,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,126.0,1.0,1.0,2023-09-10,CLE,,CIN,"W, 24-3",*,7,3,37,12.3,0,42.9,5.3,0,0,0,0,0,0,46,62.2,0,0.0,0,0.0
1,2.0,127.0,2.0,2.0,2023-09-18,CLE,@,PIT,"L, 22-26",*,10,7,90,12.9,0,70.0,9.0,0,0,0,0,0,0,63,72.4,0,0.0,0,0.0
2,3.0,128.0,3.0,3.0,2023-09-24,CLE,,TEN,"W, 27-3",*,8,7,116,16.6,1,87.5,14.5,0,0,0,0,0,0,57,80.3,0,0.0,0,0.0
3,4.0,129.0,4.0,4.0,2023-10-01,CLE,,BAL,"L, 3-28",*,6,1,16,16.0,0,16.7,2.7,0,0,0,0,0,0,56,81.2,0,0.0,0,0.0
4,5.0,130.0,5.0,6.0,2023-10-15,CLE,,SFO,"W, 19-17",*,8,4,108,27.0,0,50.0,13.5,1,0,0,1,0,0,64,84.2,0,0.0,0,0.0
5,6.0,131.0,6.0,7.0,2023-10-22,CLE,@,IND,"W, 39-38",*,8,2,22,11.0,0,25.0,2.8,0,0,0,0,0,0,66,88.0,0,0.0,0,0.0
6,7.0,132.0,7.0,8.0,2023-10-29,CLE,@,SEA,"L, 20-24",*,11,6,89,14.8,0,54.5,8.1,0,0,0,0,0,0,63,80.8,0,0.0,0,0.0
7,8.0,133.0,8.0,9.0,2023-11-05,CLE,,ARI,"W, 27-0",*,5,5,139,27.8,1,100.0,27.8,0,0,0,0,0,0,58,79.5,0,0.0,0,0.0
8,9.0,134.0,9.0,10.0,2023-11-12,CLE,@,BAL,"W, 33-31",*,9,6,98,16.3,0,66.7,10.9,0,0,0,0,0,0,72,92.3,0,0.0,0,0.0
9,10.0,135.0,10.0,11.0,2023-11-19,CLE,,PIT,"W, 13-10",*,8,4,34,8.5,0,50.0,4.3,0,0,0,0,0,0,67,89.3,0,0.0,0,0.0
10,11.0,136.0,11.0,12.0,2023-11-26,CLE,@,DEN,"L, 12-29",*,6,2,16,8.0,0,33.3,2.7,0,0,0,0,0,0,54,74.0,0,0.0,0,0.0
11,12.0,137.0,12.0,13.0,2023-12-03,CLE,@,LAR,"L, 19-36",*,5,3,34,11.3,0,60.0,6.8,0,0,0,0,0,0,23,32.4,0,0.0,0,0.0
12,13.0,138.0,13.0,14.0,2023-12-10,CLE,,JAX,"W, 31-27",*,14,7,77,11.0,0,50.0,5.5,1,1,0,0,0,0,64,84.2,0,0.0,1,2.9
13,14.0,139.0,14.0,15.0,2023-12-17,CLE,,CHI,"W, 20-17",*,8,4,109,27.3,1,50.0,13.6,0,0,0,0,0,0,65,94.2,0,0.0,0,0.0
14,15.0,140.0,15.0,16.0,2023-12-24,CLE,@,HOU,"W, 36-22",*,15,11,265,24.1,2,73.3,17.7,0,0,0,0,0,0,65,79.3,0,0.0,0,0.0
15,15.0,,16.0,17.0,2023-12-28,CLE,,NYJ,"W, 37-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,15.0,,17.0,18.0,2024-01-07,CLE,@,CIN,"L, 14-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,10-5,,128,72,1250,17.4,5,56.3,9.8,2,1,0,1,0,0,883,78.3,0,0.0,1,0.2
