,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,19.0,1.0,1.0,2017-09-10,DET,,ARI,"W, 35-23",*,15,30,0,2.0,4,3,11,3.7,0,75.0,2.8,0,0,0,,0,0,0,0,0,0,35,49.3,0,0.0,0,0.0
1,2.0,20.0,2.0,2.0,2017-09-18,DET,@,NYG,"W, 24-10",*,17,86,0,5.1,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,29,46.8,0,0.0,0,0.0
2,3.0,21.0,3.0,3.0,2017-09-24,DET,,ATL,"L, 26-30",*,14,47,0,3.4,3,3,39,13.0,0,100.0,13.0,0,0,0,,0,0,0,0,0,0,29,41.4,0,0.0,0,0.0
3,4.0,22.0,4.0,4.0,2017-10-01,DET,@,MIN,"W, 14-7",*,20,94,1,4.7,4,3,15,5.0,0,75.0,3.8,0,0,0,,0,0,0,0,0,0,33,47.1,0,0.0,0,0.0
4,5.0,23.0,5.0,5.0,2017-10-08,DET,,CAR,"L, 24-27",*,10,31,0,3.1,1,1,3,3.0,0,100.0,3.0,0,0,0,,0,0,0,0,0,0,22,36.1,0,0.0,0,0.0
5,6.0,24.0,6.0,6.0,2017-10-15,DET,@,NOR,"L, 38-52",*,14,54,0,3.9,2,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,37,45.7,0,0.0,0,0.0
6,7.0,25.0,7.0,8.0,2017-10-29,DET,,PIT,"L, 15-20",*,11,27,0,2.5,3,3,11,3.7,0,100.0,3.7,0,0,0,,0,0,0,0,0,0,32,45.1,0,0.0,0,0.0
7,8.0,26.0,8.0,9.0,2017-11-06,DET,@,GNB,"W, 30-17",*,21,48,1,2.3,1,1,9,9.0,0,100.0,9.0,0,0,0,,2,1,0,0,0,0,33,48.5,0,0.0,0,0.0
8,9.0,27.0,9.0,10.0,2017-11-12,DET,,CLE,"W, 38-24",*,11,52,1,4.7,2,1,3,3.0,0,50.0,1.5,0,0,0,,0,0,0,0,0,0,31,59.6,0,0.0,0,0.0
9,10.0,28.0,10.0,11.0,2017-11-19,DET,@,CHI,"W, 27-24",*,11,22,0,2.0,2,2,13,6.5,1,100.0,6.5,1,15,0,15.0,0,0,0,0,0,0,29,46.0,0,0.0,1,3.4
10,11.0,29.0,11.0,12.0,2017-11-23,DET,,MIN,"L, 23-30",*,6,14,0,2.3,5,3,29,9.7,0,60.0,5.8,0,0,0,,0,0,0,0,0,0,29,49.2,0,0.0,0,0.0
11,11.0,,12.0,13.0,2017-12-03,DET,@,BAL,"L, 20-44",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,11.0,,13.0,14.0,2017-12-10,DET,@,TAM,"W, 24-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,12.0,30.0,14.0,15.0,2017-12-16,DET,,CHI,"W, 20-10",,1,8,0,8.0,4,3,13,4.3,0,75.0,3.3,1,25,0,25.0,0,0,0,0,0,0,8,12.7,0,0.0,2,8.7
14,13.0,31.0,15.0,16.0,2017-12-24,DET,@,CIN,"L, 17-26",,6,21,0,3.5,2,1,5,5.0,0,50.0,2.5,5,114,0,22.8,0,0,0,0,0,0,11,18.0,0,0.0,6,20.0
15,14.0,32.0,16.0,17.0,2017-12-31,DET,,GNB,"W, 35-11",,8,18,1,2.3,2,1,11,11.0,0,50.0,5.5,1,25,0,25.0,0,0,0,0,0,0,20,34.5,0,0.0,2,7.1
16,,,,,,,,,8-6,,165,552,4,3.3,35,25,162,6.5,1,71.4,4.6,8,179,0,22.4,2,1,0,0,0,0,378,41.5,0,0.0,11,2.7
