,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,109.0,1.0,1.0,2023-09-10,LVR,@,DEN,"W, 17-16",,1,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,0,0,7,11.9,0,0.0,10,52.6
1,2.0,110.0,2.0,2.0,2023-09-17,LVR,@,BUF,"L, 10-38",,3,1,5,5.0,0,33.3,1.7,0,0,0,,0.0,0,0,0,0,0,0,6,15.0,0,0.0,13,59.1
2,3.0,111.0,3.0,3.0,2023-09-24,LVR,,PIT,"L, 18-23",,3,2,16,8.0,0,66.7,5.3,0,0,0,,0.0,0,0,0,0,0,0,12,16.7,0,0.0,18,62.1
3,4.0,112.0,4.0,4.0,2023-10-01,LVR,@,LAC,"L, 17-24",,2,2,14,7.0,0,100.0,7.0,0,0,0,,0.0,1,1,0,0,0,0,15,20.5,0,0.0,14,56.0
4,5.0,113.0,5.0,5.0,2023-10-09,LVR,,GNB,"W, 17-13",,1,1,11,11.0,0,100.0,11.0,1,4,0,4.0,0.0,1,1,0,0,0,0,11,17.2,0,0.0,12,50.0
5,6.0,114.0,6.0,6.0,2023-10-15,LVR,,NWE,"W, 21-17",,1,0,0,,0,0.0,0.0,0,0,0,,0.0,2,2,0,0,0,0,9,12.9,0,0.0,16,64.0
6,7.0,115.0,7.0,7.0,2023-10-22,LVR,@,CHI,"L, 12-30",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,10,15.4,0,0.0,15,65.2
7,8.0,116.0,8.0,8.0,2023-10-30,LVR,@,DET,"L, 14-26",,1,1,12,12.0,0,100.0,12.0,1,7,0,7.0,0.0,0,0,0,0,0,0,10,21.7,0,0.0,16,64.0
8,9.0,117.0,9.0,9.0,2023-11-05,LVR,,NYG,"W, 30-6",,2,2,17,8.5,0,100.0,8.5,2,8,0,4.0,0.0,2,2,0,0,0,0,8,13.3,0,0.0,18,75.0
9,10.0,118.0,10.0,10.0,2023-11-12,LVR,,NYJ,"W, 16-12",,1,1,4,4.0,0,100.0,4.0,0,0,0,,0.0,2,2,0,0,0,0,10,15.6,0,0.0,17,63.0
10,11.0,119.0,11.0,11.0,2023-11-19,LVR,@,MIA,"L, 13-20",,1,1,4,4.0,0,100.0,4.0,0,0,0,,0.0,1,1,0,0,0,0,14,23.0,0,0.0,18,69.2
11,12.0,120.0,12.0,12.0,2023-11-26,LVR,,KAN,"L, 17-31",,1,1,2,2.0,0,100.0,2.0,1,11,0,11.0,0.0,0,0,0,0,0,0,12,20.7,0,0.0,13,50.0
12,13.0,121.0,13.0,14.0,2023-12-10,LVR,,MIN,"L, 0-3",,2,2,7,3.5,0,100.0,3.5,1,12,0,12.0,0.0,0,0,0,0,0,0,15,27.8,0,0.0,11,50.0
13,14.0,122.0,14.0,15.0,2023-12-14,LVR,,LAC,"W, 63-21",,2,2,13,6.5,0,100.0,6.5,6,32,0,5.3,0.0,2,1,1,0,0,0,17,26.6,0,0.0,19,51.4
14,15.0,123.0,15.0,16.0,2023-12-25,LVR,@,KAN,"W, 20-14",,1,1,1,1.0,0,100.0,1.0,2,11,0,5.5,0.0,1,0,1,0,0,0,12,21.8,0,0.0,14,56.0
15,16.0,124.0,16.0,17.0,2023-12-31,LVR,@,IND,"L, 20-23",,1,1,18,18.0,0,100.0,18.0,1,4,0,4.0,0.0,0,0,0,0,0,0,30,40.0,0,0.0,19,63.3
16,17.0,125.0,17.0,18.0,2024-01-07,LVR,,DEN,"W, 27-14",,1,1,7,7.0,0,100.0,7.0,0,0,0,,0.0,0,0,0,0,0,0,18,27.3,0,0.0,13,52.0
17,,,,,,,,,8-9,,24,19,131,6.9,0,79.2,5.5,15,89,0,5.9,0.0,12,10,2,0,0,0,216,20.7,0,0.0,256,59.0
