,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,126.0,1.0,1.0,2024-09-08,LVR,@,LAC,"L, 10-22",,0,0,0,,0,0,0,,0,,,1,28,0,28.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,14,50.0
1,2.0,127.0,2.0,2.0,2024-09-15,LVR,@,BAL,"W, 26-23",,2,1,0,0.5,2,2,1,0.5,0,100.0,0.5,2,60,0,30.0,0,0,0,,0.0,1,0,1,0,0,0,0,0,0,0,0,0,8,12.7,0,0.0,17,51.5
2,3.0,128.0,3.0,3.0,2024-09-22,LVR,,CAR,"L, 22-36",,0,0,0,,2,2,13,6.5,0,100.0,6.5,1,27,0,27.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22,34.4,0,0.0,17,56.7
3,4.0,129.0,4.0,4.0,2024-09-29,LVR,,CLE,"W, 20-16",,0,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,3,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,16,61.5
4,5.0,130.0,5.0,5.0,2024-10-06,LVR,@,DEN,"L, 18-34",,5,42,1,8.4,3,3,9,3.0,0,100.0,3.0,1,23,0,23.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,44.3,0,0.0,16,53.3
5,6.0,131.0,6.0,6.0,2024-10-13,LVR,,PIT,"L, 13-32",,4,24,0,6.0,5,3,14,4.7,0,60.0,2.8,1,31,0,31.0,3,-1,0,-0.3,0.0,0,0,0,0,0,0,2,1,0,1,0,0,19,30.2,0,0.0,15,60.0
6,7.0,132.0,7.0,7.0,2024-10-20,LVR,@,LAR,"L, 15-20",,0,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,13,16.5,0,0.0,15,53.6
7,8.0,133.0,8.0,8.0,2024-10-27,LVR,,KAN,"L, 20-27",,1,2,0,2.0,2,1,9,9.0,0,50.0,4.5,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17,29.3,0,0.0,13,54.2
8,9.0,134.0,9.0,9.0,2024-11-03,LVR,@,CIN,"L, 24-41",,4,12,0,3.0,3,3,14,4.7,0,100.0,4.7,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,30,49.2,0,0.0,16,50.0
9,10.0,135.0,10.0,11.0,2024-11-17,LVR,@,MIA,"L, 19-34",,1,1,0,1.0,3,3,16,5.3,1,100.0,5.3,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22,33.8,0,0.0,12,52.2
10,11.0,136.0,11.0,12.0,2024-11-24,LVR,,DEN,"L, 19-29",*,8,28,0,3.5,6,5,37,7.4,1,83.3,6.2,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,69,89.6,0,0.0,0,0.0
11,12.0,137.0,12.0,13.0,2024-11-29,LVR,@,KAN,"L, 17-19",*,10,39,0,3.9,2,2,14,7.0,0,100.0,7.0,1,68,0,68.0,2,30,0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,61.8,0,0.0,5,16.1
12,13.0,138.0,13.0,14.0,2024-12-08,LVR,@,TAM,"L, 13-28",,1,1,0,1.0,2,1,-3,-3.0,0,50.0,-1.5,2,59,0,29.5,2,30,0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,38.8,0,0.0,8,34.8
13,14.0,139.0,14.0,15.0,2024-12-16,LVR,,ATL,"L, 9-15",,3,8,0,2.7,7,7,58,8.3,1,100.0,8.3,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,46.3,0,0.0,13,52.0
14,15.0,140.0,15.0,16.0,2024-12-22,LVR,,JAX,"W, 19-14",,7,38,1,5.4,6,5,47,9.4,0,83.3,7.8,0,0,0,,2,28,0,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,32,43.2,0,0.0,10,37.0
15,16.0,141.0,16.0,17.0,2024-12-29,LVR,@,NOR,"W, 25-10",*,20,115,0,5.8,4,3,32,10.7,0,75.0,8.0,0,0,0,,1,4,0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,62.3,0,0.0,5,17.9
16,16.0,,17.0,18.0,2025-01-05,LVR,,LAC,"L, 20-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,4-12,,66,311,2,4.7,47,40,261,6.5,3,85.1,5.6,9,296,0,32.9,10,91,0,9.1,0.0,4,2,2,0,0,0,2,1,0,1,0,0,410,38.2,0,0.0,192,43.0
