,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,PRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2023-09-10,CIN,@,CLE,"L, 3-24",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,1,1.8,0,0.0,25,80.6
1,2.0,2.0,2.0,2.0,2023-09-17,CIN,,BAL,"L, 24-27",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,2,3.3,0,0.0,15,60.0
2,3.0,3.0,3.0,3.0,2023-09-25,CIN,,LAR,"W, 19-16",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,8,10.4,0,0.0,20,64.5
3,4.0,4.0,4.0,4.0,2023-10-01,CIN,@,TEN,"L, 3-27",,0,0,0,,0,,,0,0,0,,0.0,1,0,1,0,0,0,10,18.9,0,0.0,15,71.4
4,5.0,5.0,5.0,5.0,2023-10-08,CIN,@,ARI,"W, 34-20",,2,1,9,9.0,0,50.0,4.5,0,0,0,,0.0,0,0,0,0,0,0,26,31.7,0,0.0,10,37.0
5,6.0,6.0,6.0,6.0,2023-10-15,CIN,,SEA,"W, 17-13",,1,1,3,3.0,1,100.0,3.0,0,0,0,,0.0,0,0,0,0,0,0,8,14.8,0,0.0,16,69.6
6,7.0,7.0,7.0,8.0,2023-10-29,CIN,@,SFO,"W, 31-17",,1,1,2,2.0,1,100.0,2.0,0,0,0,,0.0,1,1,0,0,0,0,10,15.9,0,0.0,15,60.0
7,8.0,8.0,8.0,9.0,2023-11-05,CIN,,BUF,"W, 24-18",,1,1,9,9.0,0,100.0,9.0,0,0,0,,0.0,0,0,0,0,0,0,9,12.9,0,0.0,15,71.4
8,9.0,9.0,9.0,10.0,2023-11-12,CIN,,HOU,"L, 27-30",,1,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,0,0,18,28.1,0,0.0,1,3.1
9,9.0,,10.0,11.0,2023-11-16,CIN,@,BAL,"L, 20-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,10.0,10.0,11.0,12.0,2023-11-26,CIN,,PIT,"L, 10-16",,2,1,16,16.0,0,50.0,8.0,0,0,0,,0.0,1,1,0,0,0,0,14,32.6,0,0.0,14,58.3
11,11.0,11.0,12.0,13.0,2023-12-04,CIN,@,JAX,"W, 34-31 (OT)",,0,0,0,,0,,,0,0,0,,0.0,1,1,0,0,0,0,7,9.6,0,0.0,18,56.3
12,12.0,12.0,13.0,14.0,2023-12-10,CIN,,IND,"W, 34-14",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,10,16.7,0,0.0,17,63.0
13,13.0,13.0,14.0,15.0,2023-12-16,CIN,,MIN,"W, 27-24 (OT)",,2,1,5,5.0,0,50.0,2.5,1,0,0,0.0,0.0,0,0,0,0,0,0,18,25.7,0,0.0,18,66.7
14,14.0,14.0,15.0,16.0,2023-12-23,CIN,@,PIT,"L, 11-34",,8,4,36,9.0,0,50.0,4.5,0,0,0,,0.0,0,0,0,0,0,0,46,71.9,0,0.0,0,0.0
15,15.0,15.0,16.0,17.0,2023-12-31,CIN,@,KAN,"L, 17-25",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,20,27.0,0,0.0,17,63.0
16,16.0,16.0,17.0,18.0,2024-01-07,CIN,,CLE,"W, 31-14",*,7,5,36,7.2,2,71.4,5.1,0,0,0,,0.0,0,0,0,0,0,0,59,92.2,0,0.0,1,3.4
17,,,,,,,,,9-7,,25,15,116,7.7,4,60.0,4.6,1,0,0,0.0,0.0,4,3,1,0,0,0,266,25.9,0,0.0,217,50.9
