,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,60.0,1.0,1.0,2020-09-13,CLE,@,BAL,"L, 6-38",*,2,2,15,7.5,0,100.0,7.5,56,76.7,0,0.0,0,0.0
1,2.0,61.0,2.0,2.0,2020-09-17,CLE,,CIN,"W, 35-30",*,4,2,22,11.0,0,50.0,5.5,57,98.3,0,0.0,0,0.0
2,3.0,62.0,3.0,3.0,2020-09-27,CLE,,WAS,"W, 34-20",*,4,3,25,8.3,0,75.0,6.3,54,85.7,0,0.0,0,0.0
3,4.0,63.0,4.0,4.0,2020-10-04,CLE,@,DAL,"W, 49-38",*,7,5,34,6.8,1,71.4,4.9,63,82.9,0,0.0,1,3.2
4,5.0,64.0,5.0,5.0,2020-10-11,CLE,,IND,"W, 32-23",*,10,5,57,11.4,0,50.0,5.7,58,79.5,0,0.0,0,0.0
5,6.0,65.0,6.0,6.0,2020-10-18,CLE,@,PIT,"L, 7-38",*,6,5,52,10.4,0,83.3,8.7,40,70.2,0,0.0,0,0.0
6,6.0,,7.0,7.0,2020-10-25,CLE,@,CIN,"W, 37-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6.0,,8.0,8.0,2020-11-01,CLE,,LVR,"L, 6-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,7.0,66.0,9.0,10.0,2020-11-15,CLE,,HOU,"W, 10-7",*,2,1,11,11.0,0,50.0,5.5,55,84.6,0,0.0,0,0.0
9,8.0,67.0,10.0,11.0,2020-11-22,CLE,,PHI,"W, 22-17",*,5,3,33,11.0,0,60.0,6.6,45,67.2,0,0.0,0,0.0
10,9.0,68.0,11.0,12.0,2020-11-29,CLE,@,JAX,"W, 27-25",*,2,2,13,6.5,1,100.0,6.5,47,70.1,0,0.0,0,0.0
11,10.0,69.0,12.0,13.0,2020-12-06,CLE,@,TEN,"W, 41-35",*,2,2,24,12.0,0,100.0,12.0,54,74.0,0,0.0,0,0.0
12,10.0,,13.0,14.0,2020-12-14,CLE,,BAL,"L, 42-47",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,11.0,70.0,14.0,15.0,2020-12-20,CLE,@,NYG,"W, 20-6",*,6,5,41,8.2,1,83.3,6.8,45,70.3,0,0.0,0,0.0
14,12.0,71.0,15.0,16.0,2020-12-27,CLE,@,NYJ,"L, 16-23",*,15,7,71,10.1,0,46.7,4.7,59,72.8,0,0.0,0,0.0
15,13.0,72.0,16.0,17.0,2021-01-03,CLE,,PIT,"W, 24-22",*,5,4,37,9.3,1,80.0,7.4,51,82.3,0,0.0,1,4.0
16,,,,,,,,,10-3,,70,46,435,9.5,4,65.7,6.2,684,77.8,0,0.0,2,0.6
