,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,15.0,1.0,1.0,2019-09-08,CLE,,TEN,"L, 13-43",*,25,38,65.8,285,1,3,7.5,4.47,64.0,5,41,0,0,0,,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
1,2.0,16.0,2.0,2.0,2019-09-16,CLE,@,NYJ,"W, 23-3",*,19,35,54.3,325,1,1,9.3,8.57,83.6,3,20,0,0,0,,0,0,0,0,0,0,67,97.1,0,0.0,0,0.0
2,3.0,17.0,3.0,3.0,2019-09-22,CLE,,LAR,"L, 13-20",*,18,36,50.0,195,1,1,5.4,4.72,64.0,3,20,1,-1,0,-1.0,1,0,0,1,0,0,68,100.0,0,0.0,0,0.0
3,4.0,18.0,4.0,4.0,2019-09-29,CLE,@,BAL,"W, 40-25",*,20,30,66.7,342,1,1,11.4,10.57,102.4,1,5,3,1,0,0.3,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
4,5.0,19.0,5.0,5.0,2019-10-07,CLE,@,SFO,"L, 3-31",*,8,22,36.4,100,0,2,4.5,0.45,13.4,4,42,0,0,0,,2,1,0,0,0,0,43,93.5,0,0.0,0,0.0
5,6.0,20.0,6.0,6.0,2019-10-13,CLE,,SEA,"L, 28-32",*,22,37,59.5,249,1,3,6.7,3.62,54.9,0,0,4,35,1,8.8,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
6,7.0,21.0,7.0,8.0,2019-10-27,CLE,@,NWE,"L, 13-27",*,20,31,64.5,194,1,1,6.3,5.45,79.2,5,43,1,18,0,18.0,0,0,0,0,0,0,62,100.0,0,0.0,0,0.0
7,8.0,22.0,8.0,9.0,2019-11-03,CLE,@,DEN,"L, 19-24",*,27,42,64.3,273,1,0,6.5,6.98,90.7,2,12,3,22,0,7.3,0,0,0,0,0,0,75,100.0,0,0.0,0,0.0
8,9.0,23.0,9.0,10.0,2019-11-10,CLE,,BUF,"W, 19-16",*,26,38,68.4,238,2,0,6.3,7.32,102.7,2,17,2,1,0,0.5,0,0,0,0,0,0,69,100.0,0,0.0,0,0.0
9,10.0,24.0,10.0,11.0,2019-11-14,CLE,,PIT,"W, 21-7",*,17,32,53.1,193,2,0,6.0,7.28,92.3,1,4,1,1,1,1.0,0,0,0,0,0,0,69,98.6,0,0.0,0,0.0
10,11.0,25.0,11.0,12.0,2019-11-24,CLE,,MIA,"W, 41-24",*,24,34,70.6,327,3,1,9.6,10.06,118.1,1,7,2,5,0,2.5,1,0,0,2,-20,0,74,98.7,0,0.0,0,0.0
11,12.0,26.0,12.0,13.0,2019-12-01,CLE,@,PIT,"L, 13-20",*,18,32,56.3,196,1,1,6.1,5.34,71.9,5,23,1,2,0,2.0,1,1,0,0,0,0,64,97.0,0,0.0,0,0.0
12,13.0,27.0,13.0,14.0,2019-12-08,CLE,,CIN,"W, 27-19",*,11,24,45.8,192,0,2,8.0,4.25,38.9,1,5,2,13,1,6.5,0,0,0,0,0,0,53,98.1,0,0.0,0,0.0
13,14.0,28.0,14.0,15.0,2019-12-15,CLE,@,ARI,"L, 24-38",*,30,43,69.8,247,2,1,5.7,5.63,90.0,1,6,2,11,0,5.5,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
14,15.0,29.0,15.0,16.0,2019-12-22,CLE,,BAL,"L, 15-31",*,20,33,60.6,192,2,1,5.8,5.67,84.4,0,0,2,4,0,2.0,0,0,0,0,0,0,60,100.0,0,0.0,0,0.0
15,16.0,30.0,16.0,17.0,2019-12-29,CLE,@,CIN,"L, 23-33",*,12,27,44.4,279,3,3,10.3,7.56,79.6,6,40,4,29,0,7.3,1,0,0,1,0,0,54,100.0,0,0.0,0,0.0
16,,,,,,,,,6-10,,317,534,59.4,3827,22,21,7.2,6.22,78.8,40,285,28,141,3,5.0,6,2,0,4,-20,0,1034,99.0,0,0.0,0,0.0
