,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
0,2018,23,CLE,NFL,QB,14.0,13.0,6-7-0,310.0,486.0,63.8,3725.0,27.0,5.6,14.0,2.9,171.0,46.0,71.0,7.7,7.48,12.0,266.1,93.7,51.2,25.0,173.0,4.89,6.95,6.77,3.0,4.0,10.0,AP ORoY-2
1,2019,24,CLE,NFL,QB,16.0,16.0,6-10-0,317.0,534.0,59.4,3827.0,22.0,4.1,21.0,3.9,179.0,42.5,89.0,7.2,6.22,12.1,239.2,78.8,54.4,40.0,285.0,6.97,6.17,5.29,1.0,1.0,11.0,
2,2020,25,CLE,NFL,QB,16.0,16.0,11-5-0,305.0,486.0,62.8,3563.0,26.0,5.3,8.0,1.6,188.0,49.4,75.0,7.3,7.66,11.7,222.7,95.9,65.5,26.0,162.0,5.08,6.64,6.96,2.0,2.0,14.0,
3,2021,26,CLE,NFL,QB,14.0,14.0,6-8-0,253.0,418.0,60.5,3010.0,17.0,4.1,13.0,3.1,143.0,44.3,71.0,7.2,6.61,11.9,215.0,83.1,40.9,43.0,269.0,9.33,5.95,5.41,0.0,0.0,10.0,
4,2022,27,2TM,NFL,QB,12.0,10.0,2-8-0,201.0,335.0,60.0,2163.0,10.0,3.0,8.0,2.4,94.0,38.0,75.0,6.5,5.98,10.8,180.3,79.0,,36.0,217.0,9.7,5.25,4.81,1.0,1.0,6.0,
5,2022,27,CAR,NFL,QB,7.0,6.0,1-5-0,119.0,206.0,57.8,1313.0,6.0,2.9,6.0,2.9,49.0,36.0,75.0,6.4,5.65,11.0,187.6,74.4,,19.0,126.0,8.44,5.28,4.61,0.0,0.0,3.0,
6,2022,27,LAR,NFL,QB,5.0,4.0,1-3-0,82.0,129.0,63.6,850.0,4.0,3.1,2.0,1.6,45.0,41.1,39.0,6.6,6.51,10.4,170.0,86.4,,17.0,91.0,11.64,5.2,5.13,1.0,1.0,3.0,
7,2023,28,TAM,NFL,QB,17.0,17.0,9-8-0,364.0,566.0,64.3,4044.0,28.0,4.9,10.0,1.8,188.0,44.7,75.0,7.1,7.34,11.1,237.9,94.6,54.3,40.0,232.0,6.6,6.29,6.47,1.0,2.0,13.0,"PB,AP CPoY-3"
8,2024,29,TAM,NFL,QB,17.0,17.0,10-7-0,407.0,570.0,71.4,4500.0,41.0,7.2,16.0,2.8,224.0,53.9,57.0,7.9,8.07,11.1,264.7,106.8,61.6,40.0,248.0,6.56,6.97,7.13,2.0,2.0,17.0,"PB,AP MVP-11,AP OPoY-11"
9,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,106.0,103.0,50-53-0,2157.0,3395.0,63.5,24832.0,171.0,5.0,90.0,2.7,1187.0,46.0,89.0,7.3,7.13,11.5,234.3,91.2,,250.0,1586.0,6.86,6.38,6.2,10.0,12.0,81.0,
10,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,17.0,50-53-0,346.0,544.0,63.5,3982.0,27.0,5.0,14.0,2.7,190.0,46.0,89.0,7.3,7.13,11.5,234.3,91.2,,40.0,254.0,6.86,6.38,6.2,2.0,2.0,13.0,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CLE (4 Yrs),CLE (4 Yrs),CLE (4 Yrs),CLE (4 Yrs),,60.0,59.0,29-30-0,1185.0,1924.0,61.6,14125.0,92.0,4.8,56.0,2.9,681.0,45.5,89.0,7.3,6.99,11.9,235.4,87.8,,134.0,889.0,6.51,6.43,6.1,6.0,7.0,45.0,
13,TAM (2 Yrs),TAM (2 Yrs),TAM (2 Yrs),TAM (2 Yrs),,34.0,34.0,19-15-0,771.0,1136.0,67.9,8544.0,69.0,6.1,26.0,2.3,412.0,49.3,75.0,7.5,7.71,11.1,251.3,100.7,,80.0,480.0,6.58,6.63,6.8,3.0,4.0,30.0,
14,CAR (1 Yr),CAR (1 Yr),CAR (1 Yr),CAR (1 Yr),,7.0,6.0,1-5-0,119.0,206.0,57.8,1313.0,6.0,2.9,6.0,2.9,49.0,36.0,75.0,6.4,5.65,11.0,187.6,74.4,,19.0,126.0,8.44,5.28,4.61,0.0,0.0,3.0,
15,LAR (1 Yr),LAR (1 Yr),LAR (1 Yr),LAR (1 Yr),,5.0,4.0,1-3-0,82.0,129.0,63.6,850.0,4.0,3.1,2.0,1.6,45.0,41.1,39.0,6.6,6.51,10.4,170.0,86.4,,17.0,91.0,11.64,5.2,5.13,1.0,1.0,3.0,
