,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,46.0,1.0,1.0,2022-09-11,PHI,@,DET,"W, 38-35",,4,10,1,2.5,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,14,18.2,0,0.0,7,22.6
1,2.0,47.0,2.0,2.0,2022-09-19,PHI,,MIN,"W, 24-7",,4,19,0,4.8,1,1,2,2.0,0,100.0,2.0,0,0,0,,0.0,1,1,0,0,0,0,15,20.5,0,0.0,4,19.0
2,3.0,48.0,3.0,3.0,2022-09-25,PHI,@,WAS,"W, 24-8",,2,0,0,0.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,7,10.0,0,0.0,4,15.4
3,3.0,,4.0,4.0,2022-10-02,PHI,,JAX,"W, 29-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,3.0,,5.0,5.0,2022-10-09,PHI,@,ARI,"W, 20-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,4.0,49.0,6.0,6.0,2022-10-16,PHI,,DAL,"W, 26-17",,6,16,0,2.7,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,10,14.1,0,0.0,6,25.0
6,5.0,50.0,7.0,8.0,2022-10-30,PHI,,PIT,"W, 35-13",,7,21,0,3.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,13,22.8,0,0.0,7,25.9
7,6.0,51.0,8.0,9.0,2022-11-03,PHI,@,HOU,"W, 29-17",,1,5,0,5.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,5,7.7,0,0.0,0,0.0
8,7.0,52.0,9.0,10.0,2022-11-14,PHI,,WAS,"L, 21-32",*,1,5,0,5.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,5,10.0,0,0.0,0,0.0
9,8.0,53.0,10.0,11.0,2022-11-20,PHI,@,IND,"W, 17-16",,3,8,0,2.7,2,2,4,2.0,0,100.0,2.0,0,0,0,,0.0,0,0,0,0,0,0,13,19.1,0,0.0,5,20.0
10,9.0,54.0,11.0,12.0,2022-11-27,PHI,,GNB,"W, 40-33",*,3,24,0,8.0,0,0,0,,0,,,4,91,0,22.8,0.0,1,1,0,0,0,0,10,12.5,0,0.0,13,41.9
11,10.0,55.0,12.0,13.0,2022-12-04,PHI,,TEN,"W, 35-10",,6,16,0,2.7,1,1,5,5.0,0,100.0,5.0,2,37,0,18.5,0.0,0,0,0,0,0,0,17,23.3,0,0.0,6,20.7
12,11.0,56.0,13.0,14.0,2022-12-11,PHI,@,NYG,"W, 48-22",,6,33,1,5.5,1,1,4,4.0,0,100.0,4.0,3,117,0,39.0,0.0,0,0,0,0,0,0,12,17.6,0,0.0,11,35.5
13,12.0,57.0,14.0,15.0,2022-12-18,PHI,@,CHI,"W, 25-20",,0,0,0,,0,0,0,,0,,,3,92,0,30.7,0.0,0,0,0,0,0,0,4,5.5,0,0.0,4,16.0
14,13.0,58.0,15.0,16.0,2022-12-24,PHI,@,DAL,"L, 34-40",,0,0,0,,0,0,0,,0,,,2,54,0,27.0,0.0,0,0,0,0,0,0,3,4.2,0,0.0,9,29.0
15,14.0,59.0,16.0,17.0,2023-01-01,PHI,,NOR,"L, 10-20",,2,6,0,3.0,1,0,0,,0,0.0,0.0,1,15,0,15.0,0.0,0,0,0,0,0,0,18,32.7,0,0.0,5,19.2
16,15.0,60.0,17.0,18.0,2023-01-08,PHI,,NYG,"W, 22-16",,9,54,1,6.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,24,32.9,0,0.0,3,10.7
17,,,,,,,,,12-3,,54,217,3,4.0,6,5,15,3.0,0,83.3,2.5,15,406,0,27.1,0.0,2,2,0,0,0,0,170,16.6,0,0.0,84,20.8
