,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,27.0,1.0,1.0,2016-09-11,NOR,,OAK,"L, 34-35",*,9,6,143,23.8,2,66.7,15.9,1,11,0,11.0,0,0,0,,0,0,0,0,0,0,62,89.9,0,0.0,0,0.0
1,2.0,28.0,2.0,2.0,2016-09-18,NOR,@,NYG,"L, 13-16",,9,7,68,9.7,0,77.8,7.6,0,0,0,,0,0,0,,0,0,0,0,0,0,53,85.5,0,0.0,0,0.0
2,3.0,29.0,3.0,3.0,2016-09-26,NOR,,ATL,"L, 32-45",,8,2,13,6.5,0,25.0,1.6,1,6,0,6.0,0,0,0,,0,0,0,0,0,0,78,96.3,0,0.0,0,0.0
3,4.0,30.0,4.0,4.0,2016-10-02,NOR,@,SDG,"W, 35-34",*,6,3,31,10.3,0,50.0,5.2,0,0,0,,0,0,0,,0,0,0,0,0,0,50,68.5,0,0.0,0,0.0
4,5.0,31.0,5.0,6.0,2016-10-16,NOR,,CAR,"W, 41-38",*,9,7,173,24.7,1,77.8,19.2,1,2,0,2.0,0,0,0,,0,0,0,0,0,0,56,76.7,0,0.0,0,0.0
5,6.0,32.0,6.0,7.0,2016-10-23,NOR,@,KAN,"L, 21-27",*,9,7,58,8.3,1,77.8,6.4,0,0,0,,0,0,0,,0,0,0,0,0,0,67,89.3,0,0.0,0,0.0
6,7.0,33.0,7.0,8.0,2016-10-30,NOR,,SEA,"W, 25-20",*,6,4,44,11.0,1,66.7,7.3,0,0,0,,0,0,0,,0,0,0,0,0,0,38,50.0,0,0.0,0,0.0
7,8.0,34.0,8.0,9.0,2016-11-06,NOR,@,SFO,"W, 41-23",,6,5,66,13.2,0,83.3,11.0,0,0,0,,0,0,0,,0,0,0,0,0,0,58,66.7,0,0.0,0,0.0
8,9.0,35.0,9.0,10.0,2016-11-13,NOR,,DEN,"L, 23-25",*,5,3,98,32.7,1,60.0,19.6,0,0,0,,1,2,0,2.0,0,0,0,0,0,0,38,74.5,0,0.0,1,3.7
9,10.0,36.0,10.0,11.0,2016-11-17,NOR,@,CAR,"L, 20-23",*,8,7,42,6.0,0,87.5,5.3,2,7,0,3.5,0,0,0,,0,0,0,0,0,0,65,85.5,0,0.0,0,0.0
10,11.0,37.0,11.0,12.0,2016-11-27,NOR,,LAR,"W, 49-21",*,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,45,60.8,0,0.0,0,0.0
11,12.0,38.0,12.0,13.0,2016-12-04,NOR,,DET,"L, 13-28",*,9,7,73,10.4,0,77.8,8.1,1,4,0,4.0,0,0,0,,0,0,0,0,0,0,52,83.9,0,0.0,0,0.0
12,13.0,39.0,13.0,14.0,2016-12-11,NOR,@,TAM,"L, 11-16",*,10,5,61,12.2,0,50.0,6.1,0,0,0,,0,0,0,,0,0,0,0,0,0,52,85.2,0,0.0,0,0.0
13,14.0,40.0,14.0,15.0,2016-12-18,NOR,@,ARI,"W, 48-41",,8,7,186,26.6,2,87.5,23.3,0,0,0,,0,0,0,,0,0,0,0,0,0,66,76.7,0,0.0,1,2.9
14,15.0,41.0,15.0,16.0,2016-12-24,NOR,,TAM,"W, 31-24",*,9,5,98,19.6,0,55.6,10.9,0,0,0,,0,0,0,,1,0,0,0,0,0,48,67.6,0,0.0,1,3.8
15,16.0,42.0,16.0,17.0,2017-01-01,NOR,@,ATL,"L, 32-38",*,6,3,19,6.3,0,50.0,3.2,0,0,0,,0,0,0,,0,0,0,0,0,0,55,71.4,0,0.0,1,3.0
16,,,,,,,,,7-9,,117,78,1173,15.0,8,66.7,10.0,6,30,0,5.0,1,2,0,2.0,1,0,0,0,0,0,883,76.5,0,0.0,4,0.8
