,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,30.0,1.0,1.0,2022-09-11,SFO,@,CHI,"L, 10-19",*,3,2,40,20.0,0,66.7,13.3,1,7,0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,67,98.5,0,0.0,0,0.0
1,2.0,31.0,2.0,2.0,2022-09-18,SFO,,SEA,"W, 27-7",*,8,5,63,12.6,0,62.5,7.9,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,67,88.2,0,0.0,0,0.0
2,3.0,32.0,3.0,3.0,2022-09-25,SFO,@,DEN,"L, 10-11",*,8,3,39,13.0,1,37.5,4.9,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50,89.3,0,0.0,0,0.0
3,4.0,33.0,4.0,4.0,2022-10-03,SFO,,LAR,"W, 24-9",*,4,4,37,9.3,0,100.0,9.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,46,92.0,0,0.0,0,0.0
4,5.0,34.0,5.0,5.0,2022-10-09,SFO,@,CAR,"W, 37-15",*,4,3,58,19.3,0,75.0,14.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,58,86.6,0,0.0,0,0.0
5,6.0,35.0,6.0,6.0,2022-10-16,SFO,@,ATL,"L, 14-28",*,11,8,83,10.4,2,72.7,7.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,91.7,0,0.0,0,0.0
6,7.0,36.0,7.0,7.0,2022-10-23,SFO,,KAN,"L, 23-44",*,11,7,82,11.7,0,63.6,7.5,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,74,93.7,0,0.0,0,0.0
7,8.0,37.0,8.0,8.0,2022-10-30,SFO,@,LAR,"W, 31-14",*,6,6,81,13.5,1,100.0,13.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52,98.1,0,0.0,0,0.0
8,9.0,38.0,9.0,10.0,2022-11-13,SFO,,LAC,"W, 22-16",*,7,6,84,14.0,0,85.7,12.0,0,0,0,,0.0,0,0,0,0,0,0,1,1,0,0,0,0,69,97.2,0,0.0,0,0.0
9,10.0,39.0,10.0,11.0,2022-11-21,SFO,@,ARI,"W, 38-10",*,4,2,20,10.0,2,50.0,5.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,46,79.3,0,0.0,0,0.0
10,11.0,40.0,11.0,12.0,2022-11-27,SFO,,NOR,"W, 13-0",*,8,5,65,13.0,0,62.5,8.1,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,68,97.1,0,0.0,0,0.0
11,12.0,41.0,12.0,13.0,2022-12-04,SFO,,MIA,"W, 33-17",*,9,5,46,9.2,0,55.6,5.1,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,80,95.2,0,0.0,0,0.0
12,13.0,42.0,13.0,14.0,2022-12-11,SFO,,TAM,"W, 35-7",*,3,2,57,28.5,1,66.7,19.0,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,49,77.8,0,0.0,0,0.0
13,14.0,43.0,14.0,15.0,2022-12-15,SFO,@,SEA,"W, 21-13",*,4,2,19,9.5,0,50.0,4.8,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,62,96.9,0,0.0,0,0.0
14,15.0,44.0,15.0,16.0,2022-12-24,SFO,,WAS,"W, 37-20",*,7,5,81,16.2,0,71.4,11.6,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50,96.2,0,0.0,0,0.0
15,16.0,45.0,16.0,17.0,2023-01-01,SFO,@,LVR,"W, 37-34 (OT)",*,12,9,101,11.2,1,75.0,8.4,1,16,0,16.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,64,95.5,0,0.0,0,0.0
16,17.0,46.0,17.0,18.0,2023-01-08,SFO,,ARI,"W, 38-13",*,5,4,59,14.8,0,80.0,11.8,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,72.6,0,0.0,0,0.0
17,,,,,,,,,13-4,,114,78,1015,13.0,8,68.4,8.9,2,23,0,11.5,0.0,3,3,0,0,0,0,1,1,0,0,0,0,1002,91.1,0,0.0,0,0.0
