,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,10.0,1.0,1.0,2023-09-10,SFO,@,PIT,"W, 30-7",*,19,29,65.5,220,2,0,7.6,8.97,111.3,3,17,3,20,0,6.7,2,1,0,1,0,0,66,97.1,0,0.0,0,0.0
1,2.0,11.0,2.0,2.0,2023-09-17,SFO,@,LAR,"W, 30-23",*,17,25,68.0,206,0,0,8.2,8.24,93.1,1,0,3,5,1,1.7,1,0,0,1,0,0,57,100.0,0,0.0,0,0.0
2,3.0,12.0,3.0,3.0,2023-09-21,SFO,,NYG,"W, 30-12",*,25,37,67.6,310,2,0,8.4,9.46,111.3,2,10,4,-1,0,-0.3,1,0,0,1,-1,0,79,95.2,0,0.0,0,0.0
3,4.0,13.0,4.0,4.0,2023-10-01,SFO,,ARI,"W, 35-16",*,20,21,95.2,283,1,0,13.5,14.43,134.6,1,12,2,0,1,0.0,0,0,0,0,0,0,54,98.2,0,0.0,0,0.0
4,5.0,14.0,5.0,5.0,2023-10-08,SFO,,DAL,"W, 42-10",*,17,24,70.8,252,4,0,10.5,13.83,144.4,1,2,0,0,0,,0,0,0,0,0,0,60,84.5,0,0.0,0,0.0
5,6.0,15.0,6.0,6.0,2023-10-15,SFO,@,CLE,"L, 17-19",*,12,27,44.4,125,1,1,4.6,3.70,55.3,3,18,3,7,0,2.3,1,0,0,1,0,0,62,100.0,0,0.0,0,0.0
6,7.0,16.0,7.0,7.0,2023-10-23,SFO,@,MIN,"L, 17-22",*,21,30,70.0,272,1,2,9.1,6.73,81.5,1,12,5,19,0,3.8,0,0,0,0,0,0,53,100.0,0,0.0,0,0.0
7,8.0,17.0,8.0,8.0,2023-10-29,SFO,,CIN,"L, 17-31",*,22,31,71.0,365,1,2,11.8,9.52,94.2,2,18,6,57,0,9.5,1,1,0,0,0,0,59,100.0,0,0.0,0,0.0
8,9.0,18.0,9.0,10.0,2023-11-12,SFO,@,JAX,"W, 34-3",*,19,26,73.1,296,3,0,11.4,13.69,148.9,2,9,0,0,0,,0,0,0,0,0,0,49,79.0,0,0.0,0,0.0
9,10.0,19.0,10.0,11.0,2023-11-19,SFO,,TAM,"W, 27-14",*,21,25,84.0,333,3,0,13.3,15.72,158.3,4,28,4,14,0,3.5,0,0,0,0,0,0,60,100.0,0,0.0,0,0.0
10,11.0,20.0,11.0,12.0,2023-11-23,SFO,@,SEA,"W, 31-13",*,21,30,70.0,209,1,1,7.0,6.13,86.7,1,1,3,1,0,0.3,0,0,0,0,0,0,66,100.0,0,0.0,0,0.0
11,12.0,21.0,12.0,13.0,2023-12-03,SFO,@,PHI,"W, 42-19",*,19,27,70.4,314,4,0,11.6,14.59,148.8,2,4,2,9,0,4.5,0,0,0,0,0,0,55,93.2,0,0.0,0,0.0
12,13.0,22.0,13.0,14.0,2023-12-10,SFO,,SEA,"W, 28-16",*,19,27,70.4,368,2,1,13.6,13.44,122.1,3,14,2,7,0,3.5,0,0,0,0,0,0,54,100.0,0,0.0,0,0.0
13,14.0,23.0,14.0,15.0,2023-12-17,SFO,@,ARI,"W, 45-29",*,16,25,64.0,242,4,0,9.7,12.88,135.3,0,0,0,0,0,,0,0,0,0,0,0,46,82.1,0,0.0,0,0.0
14,15.0,24.0,15.0,16.0,2023-12-25,SFO,,BAL,"L, 19-33",*,18,32,56.3,255,0,4,8.0,2.34,42.6,2,8,1,2,0,2.0,0,0,0,0,0,0,51,72.9,0,0.0,0,0.0
15,16.0,25.0,16.0,17.0,2023-12-31,SFO,@,WAS,"W, 27-10",*,22,28,78.6,230,2,0,8.2,9.64,124.7,0,0,1,4,0,4.0,0,0,0,0,0,0,65,92.9,0,0.0,0,0.0
16,16.0,,17.0,18.0,2024-01-07,SFO,,LAR,"L, 20-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,12-4,,308,444,69.4,4280,31,11,9.6,9.92,113.0,28,153,39,144,2,3.7,6,2,0,4,-1,0,936,93.1,0,0.0,0,0.0
