,Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
0,1988,25,BUF,NFL,RDE,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,
1,1989,26,BUF,NFL,RDE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,,,0.0,
2,1990,27,BUF,NFL,RDE,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,
3,1991,28,BUF,NFL,RDE,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,
4,1992,29,BUF,NFL,RDE,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,,,,0.0,
5,1993,30,BUF,NFL,RDE,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,0.0,
6,,,,,,,,,,,,,,,,,,,,,,,,
7,1995,32,BUF,NFL,RDE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,
8,1996,33,BUF,NFL,RDE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,,0.0,
9,,,,,,,,,,,,,,,,,,,,,,,,
10,1998,35,BUF,NFL,RDE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,,0.0,
11,1999,36,BUF,NFL,RDE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,6.0,5.0,1.0,2.0,0.0,
12,10 Yrs,10 Yrs,10 Yrs,10 Yrs,,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,14.0,13.0,1.0,2.0,1.0,
13,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,17.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,12.3,12.0,,,,1.0,
