,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Sfty
0,1.0,73.0,1.0,1.0,1990-09-09,BUF,,IND,"W, 26-10",*,1.0,0,0,0
1,2.0,74.0,2.0,2.0,1990-09-16,BUF,@,MIA,"L, 7-30",*,0.0,0,0,0
2,3.0,75.0,3.0,3.0,1990-09-24,BUF,@,NYJ,"W, 30-7",*,2.0,0,0,0
3,4.0,76.0,4.0,4.0,1990-09-30,BUF,,DEN,"W, 29-28",*,2.0,0,0,0
4,5.0,77.0,5.0,5.0,1990-10-07,BUF,,RAI,"W, 38-24",*,0.0,0,0,0
5,6.0,78.0,6.0,7.0,1990-10-21,BUF,,NYJ,"W, 30-27",*,2.0,0,0,0
6,7.0,79.0,7.0,8.0,1990-10-28,BUF,@,NWE,"W, 27-10",*,1.0,0,0,0
7,8.0,80.0,8.0,9.0,1990-11-04,BUF,@,CLE,"W, 42-0",*,0.0,0,0,0
8,9.0,81.0,9.0,10.0,1990-11-11,BUF,,PHO,"W, 45-14",*,2.0,0,0,0
9,10.0,82.0,10.0,11.0,1990-11-18,BUF,,NWE,"W, 14-0",*,1.0,0,0,0
10,11.0,83.0,11.0,12.0,1990-11-26,BUF,@,HOU,"L, 24-27",*,2.0,0,0,0
11,12.0,84.0,12.0,13.0,1990-12-02,BUF,,PHI,"W, 30-23",*,2.0,0,0,0
12,13.0,85.0,13.0,14.0,1990-12-09,BUF,@,IND,"W, 31-7",*,4.0,0,0,0
13,14.0,86.0,14.0,15.0,1990-12-15,BUF,@,NYG,"W, 17-13",*,0.0,0,0,0
14,15.0,87.0,15.0,16.0,1990-12-23,BUF,,MIA,"W, 24-14",*,0.0,0,0,0
15,16.0,88.0,16.0,17.0,1990-12-30,BUF,@,WAS,"L, 14-29",*,0.0,0,0,0
16,,,,,,,,,13-3,,19.0,0,0,0
