,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2022-09-11,TAM,@,DAL,"W, 19-3",*,0,0,0,,0,,,0.0,3,2,1,0,0,0,30,48.4,0,0.0,12,50.0
1,2.0,2.0,2.0,2.0,2022-09-18,TAM,@,NOR,"W, 20-10",*,2,1,4,4.0,0,50.0,2.0,0.0,0,0,0,0,0,0,33,49.3,0,0.0,15,57.7
2,2.0,,3.0,3.0,2022-09-25,TAM,,GNB,"L, 12-14",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,3.0,3.0,4.0,4.0,2022-10-02,TAM,,KAN,"L, 31-41",*,4,3,29,9.7,0,75.0,7.3,0.0,0,0,0,0,0,0,43,67.2,0,0.0,11,36.7
4,4.0,4.0,5.0,5.0,2022-10-09,TAM,,ATL,"W, 21-15",*,7,6,43,7.2,0,85.7,6.1,0.0,0,0,0,0,0,0,74,93.7,0,0.0,5,22.7
5,5.0,5.0,6.0,6.0,2022-10-16,TAM,@,PIT,"L, 18-20",,3,2,23,11.5,0,66.7,7.7,0.0,1,0,1,0,0,0,40,55.6,0,0.0,5,17.9
6,6.0,6.0,7.0,7.0,2022-10-23,TAM,@,CAR,"L, 3-21",,5,4,64,16.0,0,80.0,12.8,0.0,0,0,0,0,0,0,54,80.6,0,0.0,6,25.0
7,7.0,7.0,8.0,8.0,2022-10-27,TAM,,BAL,"L, 22-27",*,5,2,15,7.5,0,40.0,3.0,0.0,1,1,0,0,0,0,62,91.2,0,0.0,6,19.4
8,8.0,8.0,9.0,9.0,2022-11-06,TAM,,LAR,"W, 16-13",*,6,5,68,13.6,1,83.3,11.3,0.0,0,0,0,0,0,0,71,84.5,0,0.0,7,21.2
9,9.0,9.0,10.0,10.0,2022-11-13,TAM,,SEA,"W, 21-16",,3,3,35,11.7,0,100.0,11.7,0.0,0,0,0,0,0,0,46,61.3,0,0.0,3,14.3
10,10.0,10.0,11.0,12.0,2022-11-27,TAM,@,CLE,"L, 17-23 (OT)",,0,0,0,,0,,,0.0,1,1,0,0,0,0,36,52.2,0,0.0,9,29.0
11,11.0,11.0,12.0,13.0,2022-12-05,TAM,,NOR,"W, 17-16",*,10,6,28,4.7,1,60.0,2.8,0.0,0,0,0,0,0,0,66,82.5,0,0.0,5,18.5
12,12.0,12.0,13.0,14.0,2022-12-11,TAM,@,SFO,"L, 7-35",*,5,4,28,7.0,0,80.0,5.6,0.0,1,0,1,0,0,0,45,59.2,0,0.0,3,14.3
13,13.0,13.0,14.0,15.0,2022-12-18,TAM,,CIN,"L, 23-34",,1,1,20,20.0,0,100.0,20.0,0.0,0,0,0,0,0,0,48,64.9,0,0.0,3,12.0
14,14.0,14.0,15.0,16.0,2022-12-25,TAM,@,ARI,"W, 19-16 (OT)",*,7,2,12,6.0,0,28.6,1.7,0.0,1,1,0,0,0,0,68,84.0,0,0.0,5,15.2
15,15.0,15.0,16.0,17.0,2023-01-01,TAM,,CAR,"W, 30-24",*,6,2,17,8.5,0,33.3,2.8,0.0,0,0,0,0,0,0,68,87.2,0,0.0,7,22.6
16,16.0,16.0,17.0,18.0,2023-01-08,TAM,@,ATL,"L, 17-30",*,1,1,5,5.0,0,100.0,5.0,0.0,0,0,0,0,0,0,19,34.5,0,0.0,5,17.9
17,,,,,,,,,8-8,,65,42,391,9.3,2,64.6,6.0,0.0,8,5,3,0,0,0,803,69.8,0,0.0,107,24.6
