,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2018,24,ATL,NFL,WR,16,5,92,64,821,12.8,10,39,51.1,75,4.0,51.3,69.6,8.9,6,27,0,1,50.0,9,4.5,1.7,0.4,70,12.1,848,10,2,7,
1,2019,25,ATL,NFL,WR,13,10,93,63,866,13.7,7,47,59.1,36,4.8,66.6,67.7,9.3,2,34,0,2,100.0,19,17.0,2.6,0.2,65,13.8,900,7,0,7,
2,2020,26,ATL,NFL,WR,15,15,143,90,1374,15.3,9,65,56.6,63,6.0,91.6,62.9,9.6,5,1,0,1,40.0,8,0.2,0.1,0.3,95,14.5,1375,9,1,11,AP-2
3,2021,27,ATL,NFL,WR,5,5,52,31,281,9.1,2,16,46.2,22,6.2,56.2,59.6,5.4,0,0,0,0,,,,0.0,0.0,31,9.1,281,2,0,2,
4,2022,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy,Did not play - Violation of league gambling policy
5,2023,29,JAX,NFL,WR,17,17,136,76,1016,13.4,8,49,48.5,59,4.5,59.8,55.9,7.5,9,23,0,3,33.3,18,2.6,1.4,0.5,85,12.2,1039,8,1,9,AP CPoY-7
6,2024,30,TEN,NFL,WR,17,14,120,64,1017,15.9,4,40,44.2,63,3.8,59.8,53.3,8.5,8,55,1,3,75.0,19,6.9,3.2,0.5,72,14.9,1072,5,1,8,
7,6 Yrs,6 Yrs,6 Yrs,6 Yrs,,83,66,636,388,5375,13.9,40,256,51.3,75,4.7,64.8,61.0,8.5,30,140,1,10,53.3,19,4.7,1.7,0.4,418,13.2,5515,41,5,44,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,14,130,79,1101,13.9,8,52,51.3,75,4.7,64.8,61.0,8.5,6,29,0,2,53.3,19,4.7,1.7,0.4,86,2.7,1130,8,1,9,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ATL (4 Yrs),ATL (4 Yrs),ATL (4 Yrs),ATL (4 Yrs),,49,35,380,248,3342,13.5,28,167,54.5,75,5.1,68.2,65.3,8.8,13,62,0,4,53.8,19,4.8,1.3,0.3,261,13.0,3404,28,3,27,
11,JAX (1 Yr),JAX (1 Yr),JAX (1 Yr),JAX (1 Yr),,17,17,136,76,1016,13.4,8,49,48.5,59,4.5,59.8,55.9,7.5,9,23,0,3,33.3,18,2.6,1.4,0.5,85,12.2,1039,8,1,9,
12,TEN (1 Yr),TEN (1 Yr),TEN (1 Yr),TEN (1 Yr),,17,14,120,64,1017,15.9,4,40,44.2,63,3.8,59.8,53.3,8.5,8,55,1,3,75.0,19,6.9,3.2,0.5,72,14.9,1072,5,1,8,
