,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2018-09-06,ATL,@,PHI,"L, 12-18",,2,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0,0,0,0,0,0,45,64.3,0,0.0,4,14.8
1,2.0,2.0,2.0,2.0,2018-09-16,ATL,,CAR,"W, 31-24",,5,4,64,16.0,1,80.0,12.8,1,3,0,3.0,2,50,0,25.0,0,0,0,0,0,0,35,55.6,0,0.0,4,14.3
2,3.0,3.0,3.0,3.0,2018-09-23,ATL,,NOR,"L, 37-43 (OT)",,8,7,146,20.9,3,87.5,18.3,1,9,0,9.0,0,0,0,,0,0,0,0,0,0,42,61.8,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2018-09-30,ATL,,CIN,"L, 36-37",,6,4,54,13.5,2,66.7,9.0,1,1,0,1.0,0,0,0,,0,0,0,0,0,0,38,54.3,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2018-10-07,ATL,@,PIT,"L, 17-41",,5,4,38,9.5,0,80.0,7.6,0,0,0,,0,0,0,,0,0,0,0,0,0,48,66.7,0,0.0,0,0.0
5,6.0,6.0,6.0,6.0,2018-10-14,ATL,,TAM,"W, 34-29",,3,3,47,15.7,0,100.0,15.7,0,0,0,,0,0,0,,1,0,0,0,0,0,7,10.4,0,0.0,0,0.0
6,7.0,7.0,7.0,7.0,2018-10-22,ATL,,NYG,"W, 23-20",,6,5,43,8.6,0,83.3,7.2,0,0,0,,0,0,0,,0,0,0,0,0,0,41,63.1,0,0.0,0,0.0
7,8.0,8.0,8.0,9.0,2018-11-04,ATL,@,WAS,"W, 38-14",,9,6,71,11.8,1,66.7,7.9,1,6,0,6.0,0,0,0,,0,0,0,0,0,0,47,69.1,0,0.0,0,0.0
8,9.0,9.0,9.0,10.0,2018-11-11,ATL,@,CLE,"L, 16-28",*,5,3,37,12.3,0,60.0,7.4,1,3,0,3.0,0,0,0,,0,0,0,1,0,0,53,70.7,0,0.0,0,0.0
9,10.0,10.0,10.0,11.0,2018-11-18,ATL,,DAL,"L, 19-22",,4,3,32,10.7,0,75.0,8.0,1,5,0,5.0,0,0,0,,0,0,0,0,0,0,40,71.4,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2018-11-22,ATL,@,NOR,"L, 17-31",,13,8,93,11.6,1,61.5,7.2,0,0,0,,0,0,0,,1,1,0,0,0,0,52,74.3,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2018-12-02,ATL,,BAL,"L, 16-26",*,5,3,22,7.3,0,60.0,4.4,0,0,0,,0,0,0,,0,0,0,0,0,0,34,64.2,0,0.0,0,0.0
12,13.0,13.0,13.0,14.0,2018-12-09,ATL,@,GNB,"L, 20-34",*,4,1,10,10.0,0,25.0,2.5,0,0,0,,0,0,0,,0,0,0,0,0,0,44,62.0,0,0.0,0,0.0
13,14.0,14.0,14.0,15.0,2018-12-16,ATL,,ARI,"W, 40-14",*,7,5,42,8.4,0,71.4,6.0,0,0,0,,0,0,0,,0,0,0,0,0,0,43,64.2,0,0.0,1,3.0
14,15.0,15.0,15.0,16.0,2018-12-23,ATL,@,CAR,"W, 24-10",,5,3,90,30.0,1,60.0,18.0,0,0,0,,0,0,0,,0,0,0,0,0,0,29,60.4,0,0.0,0,0.0
15,16.0,16.0,16.0,17.0,2018-12-30,ATL,@,TAM,"W, 34-32",*,5,5,32,6.4,1,100.0,6.4,0,0,0,,0,0,0,,0,0,0,0,0,0,46,59.7,0,0.0,0,0.0
16,,,,,,,,,7-9,,92,64,821,12.8,10,69.6,8.9,6,27,0,4.5,2,50,0,25.0,2,1,0,1,0,0,644,60.8,0,0.0,9,2.0
