,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,30.0,1.0,1.0,2020-09-13,ATL,,SEA,"L, 25-38",*,12,9,130,14.4,2,75.0,10.8,1,-1,0,-1.0,0,0,0,0,0,0,68,85.0,0,0.0,0,0.0
1,2.0,31.0,2.0,2.0,2020-09-20,ATL,@,DAL,"L, 39-40",*,10,7,109,15.6,2,70.0,10.9,0,0,0,,0,0,0,0,0,0,63,84.0,0,0.0,2,5.4
2,3.0,32.0,3.0,3.0,2020-09-27,ATL,,CHI,"L, 26-30",*,13,5,110,22.0,0,38.5,8.5,1,7,0,7.0,0,0,0,0,0,0,63,92.6,0,0.0,1,2.9
3,4.0,33.0,4.0,4.0,2020-10-05,ATL,@,GNB,"L, 16-30",*,5,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,45,64.3,0,0.0,0,0.0
4,5.0,34.0,5.0,5.0,2020-10-11,ATL,,CAR,"L, 16-23",*,10,8,136,17.0,0,80.0,13.6,0,0,0,,0,0,0,0,0,0,48,73.8,0,0.0,0,0.0
5,6.0,35.0,6.0,6.0,2020-10-18,ATL,@,MIN,"W, 40-23",*,7,6,61,10.2,1,85.7,8.7,1,8,0,8.0,0,0,0,0,0,0,59,73.8,0,0.0,0,0.0
6,7.0,36.0,7.0,7.0,2020-10-25,ATL,,DET,"L, 22-23",*,7,5,69,13.8,1,71.4,9.9,0,0,0,,0,0,0,0,0,0,58,77.3,0,0.0,0,0.0
7,8.0,37.0,8.0,8.0,2020-10-29,ATL,@,CAR,"W, 25-17",*,4,3,42,14.0,0,75.0,10.5,0,0,0,,0,0,0,0,0,0,23,32.9,0,0.0,0,0.0
8,8.0,,9.0,9.0,2020-11-08,ATL,,DEN,"W, 34-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,9.0,38.0,10.0,11.0,2020-11-22,ATL,@,NOR,"L, 9-24",*,9,5,90,18.0,0,55.6,10.0,0,0,0,,0,0,0,0,0,0,51,82.3,0,0.0,0,0.0
10,10.0,39.0,11.0,12.0,2020-11-29,ATL,,LVR,"W, 43-6",*,9,6,50,8.3,1,66.7,5.6,0,0,0,,0,0,0,0,0,0,56,71.8,0,0.0,0,0.0
11,11.0,40.0,12.0,13.0,2020-12-06,ATL,,NOR,"L, 16-21",*,10,5,108,21.6,0,50.0,10.8,0,0,0,,0,0,0,0,0,0,63,94.0,0,0.0,0,0.0
12,12.0,41.0,13.0,14.0,2020-12-13,ATL,@,LAC,"L, 17-20",*,12,8,124,15.5,1,66.7,10.3,0,0,0,,0,0,0,0,0,0,48,84.2,0,0.0,0,0.0
13,13.0,42.0,14.0,15.0,2020-12-20,ATL,,TAM,"L, 27-31",*,14,10,163,16.3,1,71.4,11.6,0,0,0,,0,0,0,0,0,0,58,89.2,0,0.0,0,0.0
14,14.0,43.0,15.0,16.0,2020-12-27,ATL,@,KAN,"L, 14-17",*,9,5,130,26.0,0,55.6,14.4,1,-7,0,-7.0,0,0,0,0,0,0,54,79.4,0,0.0,0,0.0
15,15.0,44.0,16.0,17.0,2021-01-03,ATL,@,TAM,"L, 27-44",*,12,8,52,6.5,0,66.7,4.3,1,-6,0,-6.0,1,1,0,0,0,0,65,90.3,0,0.0,0,0.0
16,,,,,,,,,3-12,,143,90,1374,15.3,9,62.9,9.6,5,1,0,0.2,1,1,0,0,0,0,822,78.1,0,0.0,3,0.7
