,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2020,21,LAR,NFL,RB,13.0,5.0,145.0,625.0,2.0,26.0,49.0,61.0,4.3,48.1,11.2,14.0,11.0,123.0,11.2,1.0,4.0,42.9,38.0,0.8,9.5,78.6,8.8,156.0,4.8,748.0,3.0,1.0,4.0,
1,2021,22,LAR,NFL,RB,1.0,0.0,5.0,3.0,0.0,0.0,0.0,2.0,0.6,3.0,5.0,3.0,3.0,10.0,3.3,0.0,0.0,0.0,6.0,3.0,10.0,100.0,3.3,8.0,1.6,13.0,0.0,0.0,0.0,
2,2022,23,LAR,NFL,RB,15.0,9.0,188.0,786.0,7.0,39.0,52.7,42.0,4.2,52.4,12.5,18.0,13.0,117.0,9.0,0.0,8.0,50.0,18.0,0.9,7.8,72.2,6.5,201.0,4.5,903.0,7.0,2.0,6.0,
3,2023,24,2TM,NFL,RB,7.0,1.0,60.0,167.0,2.0,12.0,35.0,19.0,2.8,23.9,8.6,12.0,11.0,70.0,6.4,0.0,2.0,50.0,30.0,1.6,10.0,91.7,5.8,71.0,3.3,237.0,2.0,0.0,1.0,
4,2023,24,LAR,NFL,RB,1.0,1.0,22.0,29.0,1.0,4.0,27.3,12.0,1.3,29.0,22.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,22.0,1.3,29.0,1.0,0.0,0.0,
5,2023,24,MIN,NFL,RB,6.0,0.0,38.0,138.0,1.0,8.0,39.5,19.0,3.6,23.0,6.3,12.0,11.0,70.0,6.4,0.0,2.0,50.0,30.0,1.8,11.7,91.7,5.8,49.0,4.2,208.0,1.0,0.0,1.0,
6,2024,25,2TM,NFL,RB,17.0,2.0,104.0,444.0,2.0,21.0,38.5,58.0,4.3,26.1,6.1,18.0,14.0,68.0,4.9,3.0,4.0,33.3,9.0,0.8,4.0,77.8,3.8,118.0,4.3,512.0,5.0,1.0,3.0,AP CPoY-19
7,2024,25,HOU,NFL,RB,5.0,2.0,40.0,147.0,1.0,5.0,30.0,15.0,3.7,29.4,8.0,7.0,4.0,16.0,4.0,1.0,1.0,14.3,8.0,0.8,3.2,57.1,2.3,44.0,3.7,163.0,2.0,1.0,1.0,
8,2024,25,MIN,NFL,RB,12.0,0.0,64.0,297.0,1.0,16.0,43.8,58.0,4.6,24.8,5.3,11.0,10.0,52.0,5.2,2.0,3.0,45.5,9.0,0.8,4.3,90.9,4.7,74.0,4.7,349.0,3.0,0.0,2.0,
9,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,53.0,17.0,502.0,2025.0,13.0,98.0,46.0,61.0,4.0,38.2,9.5,65.0,52.0,388.0,7.5,4.0,18.0,41.5,38.0,1.0,7.3,80.0,6.0,554.0,4.4,2413.0,17.0,4.0,14.0,
10,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,5.0,161.0,650.0,4.0,31.0,46.0,61.0,4.0,38.2,9.5,21.0,17.0,124.0,7.5,1.0,6.0,41.5,38.0,1.0,7.3,80.0,6.0,178.0,1.4,774.0,5.0,1.0,4.0,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,LAR (4 Yrs),LAR (4 Yrs),LAR (4 Yrs),LAR (4 Yrs),,30.0,15.0,360.0,1443.0,10.0,69.0,48.9,61.0,4.0,48.1,12.0,35.0,27.0,250.0,9.3,1.0,12.0,42.9,38.0,0.9,8.3,77.1,7.1,387.0,4.4,1693.0,11.0,3.0,10.0,
13,MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),,18.0,0.0,102.0,435.0,2.0,24.0,42.2,58.0,4.3,24.2,5.7,23.0,21.0,122.0,5.8,2.0,5.0,47.8,30.0,1.2,6.8,91.3,5.3,123.0,4.5,557.0,4.0,0.0,3.0,
14,HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,5.0,2.0,40.0,147.0,1.0,5.0,30.0,15.0,3.7,29.4,8.0,7.0,4.0,16.0,4.0,1.0,1.0,14.3,8.0,0.8,3.2,57.1,2.3,44.0,3.7,163.0,2.0,1.0,1.0,
