,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Ret,Yds.4,PRTD,Y/Ret,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.5,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,23.0,1.0,1.0,2021-09-09,DAL,@,TAM,"L, 29-31",,3,3,24,8.0,0,100.0,8.0,0,0,0,,0,0,,0,0,0,,,,0,0,1,2,0,2.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,34,40.5,0,0.0,8,23.5
1,2.0,24.0,2.0,2.0,2021-09-19,DAL,@,LAC,"W, 20-17",,2,2,20,10.0,0,100.0,10.0,1,5,0,5.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,36,58.1,0,0.0,2,10.5
2,3.0,25.0,3.0,3.0,2021-09-27,DAL,,PHI,"W, 41-21",,4,2,17,8.5,1,50.0,4.3,0,0,0,,0,0,,0,0,0,,,,0,0,1,5,0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,38.2,0,0.0,8,26.7
3,4.0,26.0,4.0,4.0,2021-10-03,DAL,,CAR,"W, 36-28",,2,2,30,15.0,1,100.0,15.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,35,57.4,0,0.0,5,17.2
4,5.0,27.0,5.0,5.0,2021-10-10,DAL,,NYG,"W, 44-20",*,1,1,35,35.0,0,100.0,35.0,1,6,0,6.0,1,1,100.0,22,0,0,22.0,22.00,118.7,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52,66.7,0,0.0,2,6.7
5,6.0,28.0,6.0,6.0,2021-10-17,DAL,@,NWE,"W, 35-29 (OT)",*,7,4,42,10.5,0,57.1,6.0,0,0,0,,0,0,,0,0,0,,,,0,0,2,-1,0,-0.5,0.0,0,0,0,0,0,0,1,0,0,1,0,0,44,49.4,0,0.0,5,17.9
6,7.0,29.0,7.0,8.0,2021-10-31,DAL,@,MIN,"W, 20-16",,3,3,84,28.0,1,100.0,28.0,0,0,0,,1,1,100.0,35,0,0,35.0,35.00,118.7,0,0,1,7,0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,57.5,0,0.0,5,16.7
7,8.0,30.0,8.0,9.0,2021-11-07,DAL,,DEN,"L, 16-30",*,5,2,28,14.0,0,40.0,5.6,0,0,0,,0,0,,0,0,0,,,,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,51,82.3,0,0.0,4,17.4
8,9.0,31.0,9.0,10.0,2021-11-14,DAL,,ATL,"W, 43-3",,0,0,0,,0,,,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.3,0,0.0,0,0.0
9,10.0,32.0,10.0,11.0,2021-11-21,DAL,@,KAN,"L, 9-19",,7,4,36,9.0,0,57.1,5.1,0,0,0,,0,0,,0,0,0,,,,0,0,2,7,0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,62.7,0,0.0,3,11.1
