,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,35.0,1.0,1.0,2024-09-08,TEN,@,CHI,"L, 17-24",*,2,2,15,7.5,1,100.0,7.5,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,38,59.4,0,0.0,12,41.4
1,2.0,36.0,2.0,2.0,2024-09-15,TEN,,NYJ,"L, 17-24",*,3,3,16,5.3,0,100.0,5.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,32,48.5,0,0.0,13,50.0
2,3.0,37.0,3.0,3.0,2024-09-22,TEN,,GNB,"L, 14-30",,2,2,15,7.5,0,100.0,7.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,30,55.6,0,0.0,9,32.1
3,4.0,38.0,4.0,4.0,2024-09-30,TEN,@,MIA,"W, 31-12",*,3,1,5,5.0,0,33.3,1.7,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,50.8,0,0.0,10,32.3
4,5.0,39.0,5.0,6.0,2024-10-13,TEN,,IND,"L, 17-20",,3,3,6,2.0,0,100.0,2.0,0,0,0,,0.0,0,0,0,0,0,0,1,0,0,0,0,0,33,56.9,0,0.0,10,38.5
5,6.0,40.0,6.0,7.0,2024-10-20,TEN,@,BUF,"L, 10-34",,4,4,50,12.5,0,100.0,12.5,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,42,57.5,0,0.0,12,42.9
6,7.0,41.0,7.0,8.0,2024-10-27,TEN,@,DET,"L, 14-52",,5,2,14,7.0,0,40.0,2.8,0,0,0,,0.0,1,0,1,0,0,0,1,1,0,0,0,0,47,61.8,0,0.0,15,45.5
7,8.0,42.0,8.0,9.0,2024-11-03,TEN,,NWE,"W, 20-17 (OT)",*,4,3,38,12.7,0,75.0,9.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,56,72.7,0,0.0,9,34.6
8,9.0,43.0,9.0,10.0,2024-11-10,TEN,@,LAC,"L, 17-27",,1,1,14,14.0,0,100.0,14.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,53.7,0,0.0,10,38.5
9,10.0,44.0,10.0,11.0,2024-11-17,TEN,,MIN,"L, 13-23",*,4,2,19,9.5,0,50.0,4.8,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,71.2,0,0.0,10,38.5
10,11.0,45.0,11.0,12.0,2024-11-24,TEN,@,HOU,"W, 32-27",*,1,1,70,70.0,1,100.0,70.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,51,76.1,0,0.0,12,34.3
11,12.0,46.0,12.0,13.0,2024-12-01,TEN,@,WAS,"L, 19-42",,6,3,27,9.0,0,50.0,4.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,36,65.5,0,0.0,11,39.3
12,13.0,47.0,13.0,14.0,2024-12-08,TEN,,JAX,"L, 6-10",*,4,3,8,2.7,0,75.0,2.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,46,71.9,0,0.0,6,33.3
13,14.0,48.0,14.0,15.0,2024-12-15,TEN,,CIN,"L, 27-37",*,10,8,59,7.4,0,80.0,5.9,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,62.9,0,0.0,8,36.4
14,15.0,49.0,15.0,16.0,2024-12-22,TEN,@,IND,"L, 30-38",*,11,9,81,9.0,0,81.8,7.4,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52,85.2,0,0.0,11,36.7
15,16.0,50.0,16.0,17.0,2024-12-29,TEN,@,JAX,"L, 13-20",*,7,5,42,8.4,0,71.4,6.0,1,17,0,17.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,51,73.9,0,0.0,8,38.1
16,17.0,51.0,17.0,18.0,2025-01-05,TEN,,HOU,"L, 14-23",*,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.8,0,0.0,2,8.7
17,,,,,,,,,3-14,,70,52,479,9.2,2,74.3,6.8,1,17,0,17.0,0.0,4,3,1,0,0,0,2,1,0,0,0,0,665,60.8,0,0.0,168,36.8
