,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,5.0,1.0,1.0,2018-09-09,SEA,@,DEN,"L, 24-27",*,7,51,0,7.3,5,3,28,9.3,0,60.0,5.6,1,1,0,0,0,0,25,43.9,0,0.0,6,17.6
1,2.0,6.0,2.0,2.0,2018-09-17,SEA,@,CHI,"L, 17-24",*,6,24,0,4.0,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,19,28.8,0,0.0,2,7.4
2,3.0,7.0,3.0,3.0,2018-09-23,SEA,,DAL,"W, 24-13",*,32,102,1,3.2,2,2,22,11.0,0,100.0,11.0,0,0,0,0,0,0,51,73.9,0,0.0,2,6.9
3,3.0,,4.0,4.0,2018-09-30,SEA,@,ARI,"W, 20-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,4.0,8.0,5.0,5.0,2018-10-07,SEA,,LAR,"L, 31-33",*,19,116,0,6.1,1,1,11,11.0,0,100.0,11.0,0,0,0,0,0,0,35,58.3,0,0.0,0,0.0
5,5.0,9.0,6.0,6.0,2018-10-14,SEA,@,OAK,"W, 27-3",*,14,59,0,4.2,0,0,0,,0,,,0,0,0,0,0,0,27,41.5,0,0.0,0,0.0
6,6.0,10.0,7.0,8.0,2018-10-28,SEA,@,DET,"W, 28-14",*,25,105,1,4.2,2,2,19,9.5,0,100.0,9.5,0,0,0,0,0,0,42,66.7,0,0.0,0,0.0
7,7.0,11.0,8.0,9.0,2018-11-04,SEA,,LAC,"L, 17-25",*,8,40,0,5.0,0,0,0,,0,,,0,0,0,0,0,0,10,12.3,0,0.0,0,0.0
8,7.0,,9.0,10.0,2018-11-11,SEA,@,LAR,"L, 31-36",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,8.0,12.0,10.0,11.0,2018-11-15,SEA,,GNB,"W, 27-24",*,17,83,1,4.9,0,0,0,,0,,,1,1,0,0,0,0,30,42.9,0,0.0,0,0.0
10,9.0,13.0,11.0,12.0,2018-11-25,SEA,@,CAR,"W, 30-27",*,16,55,1,3.4,2,2,8,4.0,0,100.0,4.0,1,0,0,0,0,0,32,51.6,0,0.0,0,0.0
11,10.0,14.0,12.0,13.0,2018-12-02,SEA,,SFO,"W, 43-16",*,13,69,0,5.3,4,3,39,13.0,0,75.0,9.8,0,0,0,0,0,0,34,58.6,0,0.0,0,0.0
12,11.0,15.0,13.0,14.0,2018-12-10,SEA,,MIN,"W, 21-7",*,22,90,1,4.1,0,0,0,,0,,,0,0,0,0,0,0,35,53.0,0,0.0,1,4.5
13,12.0,16.0,14.0,15.0,2018-12-16,SEA,@,SFO,"L, 23-26 (OT)",*,22,119,1,5.4,6,6,29,4.8,0,100.0,4.8,0,0,0,0,0,0,39,52.0,0,0.0,0,0.0
14,13.0,17.0,15.0,16.0,2018-12-23,SEA,,KAN,"W, 38-31",*,27,116,2,4.3,0,0,0,,0,,,0,0,0,0,0,0,43,53.8,0,0.0,1,3.0
15,14.0,18.0,16.0,17.0,2018-12-30,SEA,,ARI,"W, 27-24",*,19,122,1,6.4,1,1,7,7.0,0,100.0,7.0,0,0,0,0,0,0,32,50.8,0,0.0,0,0.0
16,,,,,,,,,9-5,,247,1151,9,4.7,24,20,163,8.2,0,83.3,6.8,3,2,0,0,0,0,454,48.6,0,0.0,12,3.0
