,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,47.0,1.0,1.0,2020-09-13,TAM,@,NOR,"L, 23-34",*,7,6,79,13.2,0,85.7,11.3,0,0,0,0,0,0,0,0,0,66,94.3,0,0.0,0,0.0
1,1.0,,2.0,2.0,2020-09-20,TAM,,CAR,"W, 31-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,2.0,48.0,3.0,3.0,2020-09-27,TAM,@,DEN,"W, 28-10",*,6,5,64,12.8,1,83.3,10.7,0,0,0,0,0,0,0,0,0,55,80.9,0,0.0,0,0.0
3,2.0,,4.0,4.0,2020-10-04,TAM,,LAC,"W, 38-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2.0,,5.0,5.0,2020-10-08,TAM,@,CHI,"L, 19-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,3.0,49.0,6.0,6.0,2020-10-18,TAM,,GNB,"W, 38-10",*,7,5,48,9.6,0,71.4,6.9,0,0,0,0,0,0,0,0,0,40,62.5,0,0.0,0,0.0
6,4.0,50.0,7.0,7.0,2020-10-25,TAM,@,LVR,"W, 45-20",*,9,9,88,9.8,1,100.0,9.8,0,0,0,0,0,0,0,0,0,59,81.9,0,0.0,0,0.0
7,4.0,,8.0,8.0,2020-11-02,TAM,@,NYG,"W, 25-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,5.0,51.0,9.0,9.0,2020-11-08,TAM,,NOR,"L, 3-38",*,6,3,41,13.7,0,50.0,6.8,0,0,0,0,0,0,0,0,0,47,94.0,0,0.0,0,0.0
9,6.0,52.0,10.0,10.0,2020-11-15,TAM,@,CAR,"W, 46-23",*,6,6,92,15.3,0,100.0,15.3,0,0,0,0,0,0,0,0,0,72,90.0,0,0.0,0,0.0
10,7.0,53.0,11.0,11.0,2020-11-23,TAM,,LAR,"L, 24-27",*,10,7,53,7.6,1,70.0,5.3,0,0,0,0,0,0,0,0,0,68,98.6,0,0.0,0,0.0
11,8.0,54.0,12.0,12.0,2020-11-29,TAM,,KAN,"L, 24-27",*,9,8,97,12.1,0,88.9,10.8,0,0,0,0,0,0,0,0,0,54,91.5,0,0.0,0,0.0
12,9.0,55.0,13.0,14.0,2020-12-13,TAM,,MIN,"W, 26-14",*,3,2,25,12.5,0,66.7,8.3,0,0,0,0,0,0,0,0,0,44,86.3,0,0.0,0,0.0
13,10.0,56.0,14.0,15.0,2020-12-20,TAM,@,ATL,"W, 31-27",*,5,4,36,9.0,1,80.0,7.2,0,0,0,1,0,0,0,0,0,60,88.2,0,0.0,0,0.0
14,11.0,57.0,15.0,16.0,2020-12-26,TAM,@,DET,"W, 47-7",*,9,5,84,16.8,1,55.6,9.3,0,0,0,0,0,0,0,0,0,51,66.2,0,0.0,0,0.0
15,12.0,58.0,16.0,17.0,2021-01-03,TAM,,ATL,"W, 44-27",*,7,5,133,26.6,2,71.4,19.0,0,0,0,0,0,0,0,0,0,59,88.1,0,0.0,0,0.0
16,,,,,,,,,8-4,,84,65,840,12.9,7,77.4,10.0,0,0,0,1,0,0,0,0,0,675,84.9,0,0.0,0,0.0
