,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Ret,Yds.4,PRTD,Y/Ret,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.5,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,57.0,1.0,1.0,2022-09-11,JAX,@,WAS,"L, 22-28",*,12,6,117,19.5,0,50.0,9.8,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,64,91.4,0,0.0,0,0.0
1,2.0,58.0,2.0,2.0,2022-09-18,JAX,,IND,"W, 24-0",*,6,6,78,13.0,2,100.0,13.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,64,90.1,0,0.0,0,0.0
2,3.0,59.0,3.0,3.0,2022-09-25,JAX,@,LAC,"W, 38-10",*,9,6,72,12.0,1,66.7,8.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,70,92.1,0,0.0,0,0.0
3,4.0,60.0,4.0,4.0,2022-10-02,JAX,@,PHI,"L, 21-29",*,9,2,60,30.0,0,22.2,6.7,1,3,0,3.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,44,93.6,0,0.0,0,0.0
4,5.0,61.0,5.0,5.0,2022-10-09,JAX,,HOU,"L, 6-13",*,3,1,11,11.0,0,33.3,3.7,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,72,96.0,0,0.0,0,0.0
5,6.0,62.0,6.0,6.0,2022-10-16,JAX,@,IND,"L, 27-34",*,5,4,24,6.0,1,80.0,4.8,1,4,0,4.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,1,1,0,1,0,0,58,92.1,0,0.0,0,0.0
6,7.0,63.0,7.0,7.0,2022-10-23,JAX,,NYG,"L, 17-23",*,10,7,96,13.7,0,70.0,9.6,1,5,0,5.0,0,1,0.0,0,0,0,0.0,0.0,39.6,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,67,94.4,0,0.0,2,9.1
7,8.0,64.0,8.0,8.0,2022-10-30,JAX,,DEN,"L, 17-21",*,7,3,40,13.3,0,42.9,5.7,0,0,0,,0,0,,0,0,0,,,,0,0,4,25,0,6.3,0.0,1,1,0,0,0,0,0,0,0,0,0,0,56,77.8,0,0.0,6,23.1
8,9.0,65.0,9.0,9.0,2022-11-06,JAX,,LVR,"W, 27-20",*,9,8,76,9.5,1,88.9,8.4,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52,75.4,0,0.0,0,0.0
9,10.0,66.0,10.0,10.0,2022-11-13,JAX,@,KAN,"L, 17-27",*,12,9,105,11.7,2,75.0,8.8,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,92.2,0,0.0,0,0.0
10,11.0,67.0,11.0,12.0,2022-11-27,JAX,,BAL,"W, 28-27",*,9,4,46,11.5,0,44.4,5.1,1,-5,0,-5.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,57,90.5,0,0.0,0,0.0
11,12.0,68.0,12.0,13.0,2022-12-04,JAX,@,DET,"L, 14-40",*,8,6,104,17.3,0,75.0,13.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,85.7,0,0.0,0,0.0
12,13.0,69.0,13.0,14.0,2022-12-11,JAX,@,TEN,"W, 36-22",*,7,5,45,9.0,0,71.4,6.4,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,61,84.7,0,0.0,1,3.8
13,14.0,70.0,14.0,15.0,2022-12-18,JAX,,DAL,"W, 40-34 (OT)",*,10,6,92,15.3,0,60.0,9.2,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,62,88.6,0,0.0,0,0.0
14,15.0,71.0,15.0,16.0,2022-12-22,JAX,@,NYJ,"W, 19-3",*,6,3,22,7.3,0,50.0,3.7,1,4,0,4.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,58,80.6,0,0.0,0,0.0
15,16.0,72.0,16.0,17.0,2023-01-01,JAX,@,HOU,"W, 31-3",*,3,2,21,10.5,0,66.7,7.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52,82.5,0,0.0,0,0.0
16,17.0,73.0,17.0,18.0,2023-01-07,JAX,,TEN,"W, 20-16",*,8,6,99,16.5,1,75.0,12.4,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47,95.9,0,0.0,0,0.0
17,,,,,,,,,9-8,,133,84,1108,13.2,8,63.2,8.3,5,11,0,2.2,0,1,0.0,0,0,0,0.0,0.0,39.6,0,0,4,25,0,6.3,0.0,1,1,0,0,0,0,1,1,0,2,0,0,991,88.2,0,0.0,9,2.1
