,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2017-09-10,CAR,@,SFO,"W, 23-3",*,13,47,0,3.6,7,5,38,7.6,0,71.4,5.4,0,0,0,,3,7,0,2.3,1,1,0,0,0,0,47,70.1,0,0.0,4,20.0
1,2.0,2.0,2.0,2.0,2017-09-17,CAR,,BUF,"W, 9-3",,8,10,0,1.3,5,4,34,8.5,0,80.0,6.8,0,0,0,,5,30,0,6.0,0,0,0,0,0,0,44,63.8,0,0.0,6,27.3
2,3.0,3.0,3.0,3.0,2017-09-24,CAR,,NOR,"L, 13-34",*,4,16,0,4.0,11,9,101,11.2,0,81.8,9.2,0,0,0,,1,3,0,3.0,0,0,0,0,0,0,41,69.5,0,0.0,2,7.7
3,4.0,4.0,4.0,4.0,2017-10-01,CAR,@,NWE,"W, 33-30",,6,16,0,2.7,6,4,33,8.3,0,66.7,5.5,3,58,0,19.3,2,25,0,12.5,0,0,0,0,0,0,48,76.2,0,0.0,7,25.0
4,5.0,5.0,5.0,5.0,2017-10-08,CAR,@,DET,"W, 27-24",*,3,7,0,2.3,7,5,31,6.2,1,71.4,4.4,0,0,0,,1,13,0,13.0,0,0,0,0,0,0,37,56.1,0,0.0,7,21.9
5,6.0,6.0,6.0,6.0,2017-10-12,CAR,,PHI,"L, 23-28",,4,8,0,2.0,14,10,56,5.6,1,71.4,4.0,0,0,0,,3,35,0,11.7,1,0,0,1,0,0,61,74.4,0,0.0,7,21.9
6,7.0,7.0,7.0,7.0,2017-10-22,CAR,@,CHI,"L, 3-17",*,7,10,0,1.4,9,7,36,5.1,0,77.8,4.0,0,0,0,,3,17,0,5.7,0,0,0,0,0,0,53,73.6,0,0.0,6,27.3
7,8.0,8.0,8.0,8.0,2017-10-29,CAR,@,TAM,"W, 17-3",,4,3,0,0.8,7,5,49,9.8,0,71.4,7.0,0,0,0,,0,0,0,,0,0,0,0,0,0,38,58.5,0,0.0,0,0.0
8,9.0,9.0,9.0,9.0,2017-11-05,CAR,,ATL,"W, 20-17",*,15,66,1,4.4,6,5,28,5.6,0,83.3,4.7,0,0,0,,0,0,0,,0,0,0,0,0,0,53,81.5,0,0.0,1,4.0
9,10.0,10.0,10.0,10.0,2017-11-13,CAR,,MIA,"W, 45-21",*,5,23,1,4.6,7,3,27,9.0,1,42.9,3.9,0,0,0,,2,10,0,5.0,0,0,0,0,0,0,42,57.5,0,0.0,2,7.1
10,11.0,11.0,11.0,12.0,2017-11-26,CAR,@,NYJ,"W, 35-27",,7,62,0,8.9,5,2,35,17.5,0,40.0,7.0,0,0,0,,2,22,0,11.0,0,0,0,0,0,0,49,69.0,0,0.0,3,8.1
11,12.0,12.0,12.0,13.0,2017-12-03,CAR,@,NOR,"L, 21-31",,6,16,0,2.7,6,5,33,6.6,1,83.3,5.5,0,0,0,,0,0,0,,0,0,0,0,0,0,40,70.2,0,0.0,0,0.0
12,13.0,13.0,13.0,14.0,2017-12-10,CAR,,MIN,"W, 31-24",*,8,35,0,4.4,4,3,18,6.0,0,75.0,4.5,0,0,0,,0,0,0,,0,0,0,0,0,0,43,67.2,0,0.0,1,3.2
13,14.0,14.0,14.0,15.0,2017-12-17,CAR,,GNB,"W, 31-24",*,12,63,0,5.3,7,6,73,12.2,1,85.7,10.4,0,0,0,,0,0,0,,0,0,0,0,0,0,49,69.0,0,0.0,1,3.8
14,15.0,15.0,15.0,16.0,2017-12-24,CAR,,TAM,"W, 22-19",*,9,39,0,4.3,4,2,19,9.5,0,50.0,4.8,0,0,0,,0,0,0,,0,0,0,0,0,0,49,80.3,0,0.0,1,3.6
15,16.0,16.0,16.0,17.0,2017-12-31,CAR,@,ATL,"L, 10-22",*,6,14,0,2.3,8,5,40,8.0,0,62.5,5.0,0,0,0,,0,0,0,,0,0,0,0,0,0,52,85.2,0,0.0,0,0.0
16,,,,,,,,,11-5,,117,435,2,3.7,113,80,651,8.1,5,70.8,5.8,3,58,0,19.3,22,162,0,7.4,2,1,0,1,0,0,746,70.0,0,0.0,48,10.9
