,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2023-09-10,GNB,@,CHI,"W, 38-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2.0,2023-09-17,GNB,@,ATL,"L, 24-25",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,,3.0,3.0,2023-09-24,GNB,,NOR,"W, 18-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,1.0,15.0,4.0,4.0,2023-09-28,GNB,,DET,"L, 20-34",*,4,2,25,12.5,1,50.0,6.3,0,0,0,,26,45.6,0,0.0,0,0.0
4,2.0,16.0,5.0,5.0,2023-10-09,GNB,@,LVR,"L, 13-17",*,7,3,91,30.3,0,42.9,13.0,1,-5,0,-5.0,49,84.5,0,0.0,0,0.0
5,3.0,17.0,6.0,7.0,2023-10-22,GNB,@,DEN,"L, 17-19",*,5,3,27,9.0,0,60.0,5.4,0,0,0,,56,87.5,0,0.0,0,0.0
6,4.0,18.0,7.0,8.0,2023-10-29,GNB,,MIN,"L, 10-24",*,8,3,33,11.0,0,37.5,4.1,0,0,0,,56,82.4,0,0.0,0,0.0
7,5.0,19.0,8.0,9.0,2023-11-05,GNB,,LAR,"W, 20-3",*,2,1,37,37.0,0,50.0,18.5,0,0,0,,56,77.8,0,0.0,0,0.0
8,6.0,20.0,9.0,10.0,2023-11-12,GNB,@,PIT,"L, 19-23",*,7,2,23,11.5,0,28.6,3.3,0,0,0,,51,75.0,0,0.0,0,0.0
9,7.0,21.0,10.0,11.0,2023-11-19,GNB,,LAC,"W, 23-20",*,4,2,21,10.5,1,50.0,5.3,1,1,0,1.0,56,77.8,0,0.0,0,0.0
10,8.0,22.0,11.0,12.0,2023-11-23,GNB,@,DET,"W, 29-22",*,7,5,94,18.8,1,71.4,13.4,0,0,0,,49,87.5,0,0.0,0,0.0
11,9.0,23.0,12.0,13.0,2023-12-03,GNB,,KAN,"W, 27-19",*,9,7,71,10.1,2,77.8,7.9,2,15,0,7.5,47,73.4,0,0.0,0,0.0
12,9.0,,13.0,14.0,2023-12-11,GNB,@,NYG,"L, 22-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,9.0,,14.0,15.0,2023-12-17,GNB,,TAM,"L, 20-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,9.0,,15.0,16.0,2023-12-24,GNB,@,CAR,"W, 33-30",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,9.0,,16.0,17.0,2023-12-31,GNB,@,MIN,"W, 33-10",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,9.0,,17.0,18.0,2024-01-07,GNB,,CHI,"W, 17-9",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,4-5,,53,28,422,15.1,5,52.8,8.0,4,11,0,2.8,446,77.0,0,0.0,0,0.0
