,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,50.0,1.0,1.0,2024-09-08,CAR,@,NOR,"L, 10-47",*,6,14,0,2.3,0,0,0,,0,,,0,0,0,0,0,0,32,54.2,0,0.0,0,0.0
1,2.0,51.0,2.0,2.0,2024-09-15,CAR,,LAC,"L, 3-26",*,10,64,0,6.4,5,4,12,3.0,0,80.0,2.4,0,0,0,0,0,0,28,58.3,0,0.0,0,0.0
2,3.0,52.0,3.0,3.0,2024-09-22,CAR,@,LVR,"W, 36-22",*,21,114,0,5.4,5,5,55,11.0,1,100.0,11.0,0,0,0,0,0,0,43,58.1,0,0.0,0,0.0
3,4.0,53.0,4.0,4.0,2024-09-29,CAR,,CIN,"L, 24-34",*,18,104,1,5.8,4,4,17,4.3,0,100.0,4.3,0,0,0,0,0,0,52,74.3,0,0.0,0,0.0
4,5.0,54.0,5.0,5.0,2024-10-06,CAR,@,CHI,"L, 10-36",*,13,97,1,7.5,4,4,-2,-0.5,0,100.0,-0.5,1,1,0,0,0,0,39,65.0,0,0.0,0,0.0
5,6.0,55.0,6.0,6.0,2024-10-13,CAR,,ATL,"L, 20-38",*,18,92,0,5.1,6,5,11,2.2,0,83.3,1.8,1,0,0,0,0,0,54,81.8,0,0.0,0,0.0
6,7.0,56.0,7.0,7.0,2024-10-20,CAR,@,WAS,"L, 7-40",*,17,52,1,3.1,0,0,0,,0,,,0,0,0,0,0,0,36,83.7,0,0.0,0,0.0
7,8.0,57.0,8.0,8.0,2024-10-27,CAR,@,DEN,"L, 14-28",*,15,56,0,3.7,2,2,15,7.5,0,100.0,7.5,0,0,0,0,0,0,45,73.8,0,0.0,0,0.0
8,9.0,58.0,9.0,9.0,2024-11-03,CAR,,NOR,"W, 23-22",*,15,72,2,4.8,3,2,0,0.0,0,66.7,0.0,0,0,0,0,0,0,42,79.2,0,0.0,0,0.0
9,10.0,59.0,10.0,10.0,2024-11-10,CAR,,NYG,"W, 20-17 (OT)",*,28,153,1,5.5,6,4,16,4.0,0,66.7,2.7,1,1,0,0,0,0,53,88.3,0,0.0,0,0.0
10,11.0,60.0,11.0,12.0,2024-11-24,CAR,,KAN,"L, 27-30",*,16,58,1,3.6,5,1,2,2.0,0,20.0,0.4,0,0,0,0,0,0,55,88.7,0,0.0,0,0.0
11,12.0,61.0,12.0,13.0,2024-12-01,CAR,,TAM,"L, 23-26 (OT)",*,12,43,0,3.6,0,0,0,,0,,,1,1,0,0,0,0,55,78.6,0,0.0,0,0.0
12,13.0,62.0,13.0,14.0,2024-12-08,CAR,@,PHI,"L, 16-22",*,26,92,1,3.5,5,4,15,3.8,0,80.0,3.0,0,0,0,0,0,0,69,97.2,0,0.0,0,0.0
13,14.0,63.0,14.0,15.0,2024-12-15,CAR,,DAL,"L, 14-30",*,10,32,0,3.2,4,4,17,4.3,0,100.0,4.3,0,0,0,0,0,0,52,94.5,0,0.0,0,0.0
14,15.0,64.0,15.0,16.0,2024-12-22,CAR,,ARI,"W, 36-30 (OT)",*,25,152,2,6.1,5,4,13,3.3,0,80.0,2.6,0,0,0,0,0,0,57,83.8,0,0.0,0,0.0
15,15.0,,16.0,17.0,2024-12-29,CAR,@,TAM,"L, 14-48",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,15.0,,17.0,18.0,2025-01-05,CAR,@,ATL,"W, 44-38 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,4-11,,250,1195,10,4.8,54,43,171,4.0,1,79.6,3.2,4,3,0,0,0,0,712,77.4,0,0.0,0,0.0
