,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,34.0,1.0,1.0,2023-09-07,KAN,,DET,"L, 20-21",*,6,22,0,3.7,1,1,7,7.0,0,100.0,7.0,0,0,0,0,0,0,14,21.5,0,0.0,0,0.0
1,2.0,35.0,2.0,2.0,2023-09-17,KAN,@,JAX,"W, 17-9",,1,0,0,0.0,2,2,17,8.5,0,100.0,8.5,0,0,0,0,0,0,11,16.4,0,0.0,0,0.0
2,3.0,36.0,3.0,3.0,2023-09-24,KAN,,CHI,"W, 41-10",,15,55,1,3.7,1,1,2,2.0,0,100.0,2.0,0,0,0,0,0,0,23,29.9,0,0.0,0,0.0
3,4.0,37.0,4.0,4.0,2023-10-01,KAN,@,NYJ,"W, 23-20",,3,12,0,4.0,1,1,1,1.0,0,100.0,1.0,0,0,0,0,0,0,6,8.6,0,0.0,0,0.0
4,5.0,38.0,5.0,5.0,2023-10-08,KAN,@,MIN,"W, 27-20",,3,4,0,1.3,0,0,0,,0,,,0,0,0,0,0,0,9,13.6,0,0.0,0,0.0
5,6.0,39.0,6.0,6.0,2023-10-12,KAN,,DEN,"W, 19-8",,2,7,0,3.5,1,1,9,9.0,0,100.0,9.0,0,0,0,0,0,0,9,12.7,0,0.0,0,0.0
6,7.0,40.0,7.0,7.0,2023-10-22,KAN,,LAC,"W, 31-17",,2,5,0,2.5,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,7,10.3,0,0.0,0,0.0
7,8.0,41.0,8.0,8.0,2023-10-29,KAN,@,DEN,"L, 9-24",,1,4,0,4.0,0,0,0,,0,,,0,0,0,0,0,0,2,3.3,0,0.0,0,0.0
8,8.0,,9.0,9.0,2023-11-05,KAN,,MIA,"W, 21-14",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,9.0,42.0,10.0,11.0,2023-11-20,KAN,,PHI,"L, 17-21",,2,20,0,10.0,0,0,0,,0,,,0,0,0,0,0,0,4,5.1,0,0.0,0,0.0
10,10.0,43.0,11.0,12.0,2023-11-26,KAN,@,LVR,"W, 31-17",,3,5,0,1.7,0,0,0,,0,,,0,0,0,0,0,0,12,20.0,0,0.0,0,0.0
11,11.0,44.0,12.0,13.0,2023-12-03,KAN,@,GNB,"L, 19-27",,2,6,0,3.0,2,1,8,8.0,0,50.0,4.0,0,0,0,0,0,0,17,25.4,0,0.0,0,0.0
12,12.0,45.0,13.0,14.0,2023-12-10,KAN,,BUF,"L, 17-20",*,11,39,0,3.5,4,2,29,14.5,0,50.0,7.3,0,0,0,0,0,0,32,48.5,0,0.0,0,0.0
13,13.0,46.0,14.0,15.0,2023-12-17,KAN,@,NWE,"W, 27-17",*,13,37,0,2.8,4,4,64,16.0,1,100.0,16.0,0,0,0,0,0,0,40,61.5,0,0.0,0,0.0
14,14.0,47.0,15.0,16.0,2023-12-25,KAN,,LVR,"L, 14-20",,4,6,0,1.5,3,3,42,14.0,0,100.0,14.0,0,0,0,0,0,0,30,39.5,0,0.0,0,0.0
15,14.0,,16.0,17.0,2023-12-31,KAN,,CIN,"W, 25-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,15.0,48.0,17.0,18.0,2024-01-07,KAN,@,LAC,"W, 13-12",,2,1,0,0.5,2,1,9,9.0,0,50.0,4.5,0,0,0,0,0,0,11,19.0,0,0.0,0,0.0
17,,,,,,,,,9-6,,70,223,1,3.2,22,17,188,11.1,1,77.3,8.5,0,0,0,0,0,0,227,22.3,0,0.0,0,0.0
