,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Ret,Yds.4,PRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,57.0,1.0,1.0,2016-09-11,DAL,,NYG,"L, 19-20",,12,8,65,8.1,0,66.7,5.4,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,49,62.8,0,0.0,2,7.4
1,2.0,58.0,2.0,2.0,2016-09-18,DAL,@,WAS,"W, 27-23",*,6,5,75,15.0,0,83.3,12.5,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,41,60.3,0,0.0,1,3.7
2,3.0,59.0,3.0,3.0,2016-09-25,DAL,,CHI,"W, 31-17",,7,7,73,10.4,0,100.0,10.4,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,30,44.1,0,0.0,2,7.4
3,4.0,60.0,4.0,4.0,2016-10-02,DAL,@,SFO,"W, 24-17",*,4,3,66,22.0,0,75.0,16.5,1,7,0,7.0,0,0,,0,0,0,,,,0,0,0,0,0,,51,67.1,0,0.0,1,4.0
4,5.0,61.0,5.0,5.0,2016-10-09,DAL,,CIN,"W, 28-14",,4,4,53,13.3,1,100.0,13.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,29,50.9,0,0.0,5,22.7
5,6.0,62.0,6.0,6.0,2016-10-16,DAL,@,GNB,"W, 30-16",,6,6,58,9.7,2,100.0,9.7,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,30,46.9,0,0.0,2,8.0
6,7.0,63.0,7.0,8.0,2016-10-30,DAL,,PHI,"W, 29-23 (OT)",*,7,4,53,13.3,0,57.1,7.6,0,0,0,,0,1,0.0,0,0,0,0.0,0.0,39.6,0,0,0,0,0,,51,66.2,0,0.0,2,5.7
7,8.0,64.0,8.0,9.0,2016-11-06,DAL,@,CLE,"W, 35-10",,6,6,56,9.3,1,100.0,9.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,29,39.7,0,0.0,1,4.2
8,9.0,65.0,9.0,10.0,2016-11-13,DAL,@,PIT,"W, 35-30",,9,5,33,6.6,0,55.6,3.7,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,35,53.8,0,0.0,1,3.3
9,10.0,66.0,10.0,11.0,2016-11-20,DAL,,BAL,"W, 27-17",*,6,5,59,11.8,1,83.3,9.8,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,44,62.0,0,0.0,3,10.3
10,11.0,67.0,11.0,12.0,2016-11-24,DAL,,WAS,"W, 31-26",,6,5,56,11.2,0,83.3,9.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,35,62.5,0,0.0,1,3.8
11,12.0,68.0,12.0,13.0,2016-12-01,DAL,@,MIN,"W, 17-15",*,4,2,23,11.5,0,50.0,5.8,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,25,48.1,0,0.0,4,14.3
12,13.0,69.0,13.0,14.0,2016-12-11,DAL,@,NYG,"L, 7-10",,7,4,41,10.3,0,57.1,5.9,0,0,0,,0,0,,0,0,0,,,,0,0,3,3,0,1.0,42,63.6,0,0.0,9,33.3
13,14.0,70.0,14.0,15.0,2016-12-18,DAL,,TAM,"W, 26-20",,5,4,48,12.0,0,80.0,9.6,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,45,60.8,0,0.0,2,6.7
14,15.0,71.0,15.0,16.0,2016-12-26,DAL,,DET,"W, 42-21",*,5,4,25,6.3,0,80.0,5.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,27,47.4,0,0.0,1,3.3
15,16.0,72.0,16.0,17.0,2017-01-01,DAL,@,PHI,"L, 13-27",,4,3,49,16.3,0,75.0,12.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,38,67.9,0,0.0,0,0.0
16,,,,,,,,,13-3,,98,75,833,11.1,5,76.5,8.5,1,7,0,7.0,0,1,0.0,0,0,0,0.0,0.0,39.6,0,0,3,3,0,1.0,601,56.8,0,0.0,37,8.4
