,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2021-09-12,CHI,@,LAR,"L, 14-34",*,7,5,42,8.4,0,71.4,6.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,51,73.9,0,0.0,6,30.0
1,2.0,18.0,2.0,2.0,2021-09-19,CHI,,CIN,"W, 20-17",*,1,1,0,0.0,0,100.0,0.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47,72.3,0,0.0,4,18.2
2,3.0,19.0,3.0,3.0,2021-09-26,CHI,@,CLE,"L, 6-26",*,4,1,11,11.0,0,25.0,2.8,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,43,95.6,0,0.0,7,25.9
3,4.0,20.0,4.0,4.0,2021-10-03,CHI,,DET,"W, 24-14",*,3,1,6,6.0,0,33.3,2.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,57,98.3,0,0.0,5,23.8
4,5.0,21.0,5.0,5.0,2021-10-10,CHI,@,LVR,"W, 20-9",*,4,2,22,11.0,0,50.0,5.5,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,51,79.7,0,0.0,10,45.5
5,6.0,22.0,6.0,6.0,2021-10-17,CHI,,GNB,"L, 14-24",*,5,4,49,12.3,0,80.0,9.8,1,0,0,0.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,78.7,0,0.0,7,33.3
6,7.0,23.0,7.0,7.0,2021-10-24,CHI,@,TAM,"L, 3-38",*,6,5,43,8.6,0,83.3,7.2,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,89.4,0,0.0,8,32.0
7,8.0,24.0,8.0,8.0,2021-10-31,CHI,,SFO,"L, 22-33",*,6,3,24,8.0,0,50.0,4.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,63,90.0,0,0.0,12,44.4
8,9.0,25.0,9.0,9.0,2021-11-08,CHI,@,PIT,"L, 27-29",*,8,6,87,14.5,0,75.0,10.9,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,77.4,0,0.0,13,37.1
9,10.0,26.0,10.0,11.0,2021-11-21,CHI,,BAL,"L, 13-16",*,2,1,12,12.0,0,50.0,6.0,0,0,0,,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,53,89.8,0,0.0,7,28.0
10,11.0,27.0,11.0,12.0,2021-11-25,CHI,@,DET,"W, 16-14",*,11,8,65,8.1,0,72.7,5.9,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,60,85.7,0,0.0,8,33.3
11,12.0,28.0,12.0,13.0,2021-12-05,CHI,,ARI,"L, 22-33",*,7,3,41,13.7,0,42.9,5.9,0,0,0,,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,55,72.4,0,0.0,0,0.0
12,13.0,29.0,13.0,14.0,2021-12-12,CHI,@,GNB,"L, 30-45",*,5,3,17,5.7,0,60.0,3.4,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,46,74.2,0,0.0,9,25.0
13,14.0,30.0,14.0,15.0,2021-12-20,CHI,,MIN,"L, 9-17",*,9,6,71,11.8,0,66.7,7.9,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,69,94.5,0,0.0,4,19.0
14,15.0,31.0,15.0,16.0,2021-12-26,CHI,@,SEA,"W, 25-24",*,5,4,49,12.3,0,80.0,9.8,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,71,95.9,0,0.0,8,32.0
15,16.0,32.0,16.0,17.0,2022-01-02,CHI,,NYG,"W, 29-3",*,5,3,25,8.3,0,60.0,5.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,53,80.3,0,0.0,8,34.8
16,17.0,33.0,17.0,18.0,2022-01-09,CHI,@,MIN,"L, 17-31",*,5,4,48,12.0,0,80.0,9.6,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,61,74.4,0,0.0,5,20.0
17,,,,,,,,,6-11,,93,60,612,10.2,0,64.5,6.6,1,0,0,0.0,1,0,0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,935,83.3,0,0.0,121,28.6
