,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,34.0,1.0,1.0,2022-09-11,CHI,,SFO,"W, 19-10",*,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,48,82.8,0,0.0,4,16.7
1,2.0,35.0,2.0,2.0,2022-09-18,CHI,@,GNB,"L, 10-27",*,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,35,85.4,0,0.0,2,9.1
2,3.0,36.0,3.0,3.0,2022-09-25,CHI,,HOU,"W, 23-20",*,3,2,40,20.0,0,66.7,13.3,0,0,0,,0,0,1,0,0,0,58,92.1,0,0.0,9,31.0
3,4.0,37.0,4.0,4.0,2022-10-02,CHI,@,NYG,"L, 12-20",*,3,3,16,5.3,0,100.0,5.3,0,0,0,,0,0,0,0,0,0,61,98.4,0,0.0,9,30.0
4,5.0,38.0,5.0,5.0,2022-10-09,CHI,@,MIN,"L, 22-29",*,4,4,45,11.3,0,100.0,11.3,0,0,0,,0,0,0,0,0,0,45,90.0,0,0.0,4,17.4
5,6.0,39.0,6.0,6.0,2022-10-13,CHI,,WAS,"L, 7-12",*,3,1,15,15.0,0,33.3,5.0,0,0,0,,0,0,0,0,0,0,67,93.1,0,0.0,1,5.0
6,7.0,40.0,7.0,7.0,2022-10-24,CHI,@,NWE,"W, 33-14",*,3,2,32,16.0,0,66.7,10.7,0,0,0,,0,0,0,0,0,0,68,95.8,0,0.0,4,16.0
7,8.0,41.0,8.0,8.0,2022-10-30,CHI,@,DAL,"L, 29-49",*,2,2,11,5.5,1,100.0,5.5,0,0,0,,0,0,0,0,0,0,75,94.9,0,0.0,3,10.3
8,9.0,42.0,9.0,9.0,2022-11-06,CHI,,MIA,"L, 32-35",*,6,5,41,8.2,2,83.3,6.8,2,9,0,4.5,0,0,0,0,0,0,72,97.3,0,0.0,4,15.4
9,10.0,43.0,10.0,10.0,2022-11-13,CHI,,DET,"L, 30-31",*,7,4,74,18.5,2,57.1,10.6,0,0,0,,0,0,0,0,0,0,57,93.4,0,0.0,5,17.2
10,11.0,44.0,11.0,11.0,2022-11-20,CHI,@,ATL,"L, 24-27",*,4,3,35,11.7,0,75.0,8.8,0,0,0,,0,0,0,0,0,0,63,91.3,0,0.0,5,18.5
11,12.0,45.0,12.0,12.0,2022-11-27,CHI,@,NYJ,"L, 10-31",*,6,3,27,9.0,0,50.0,4.5,0,0,0,,1,0,0,1,0,0,57,100.0,0,0.0,2,8.0
12,13.0,46.0,13.0,13.0,2022-12-04,CHI,,GNB,"L, 19-28",*,7,6,72,12.0,0,85.7,10.3,0,0,0,,0,0,0,0,0,0,52,100.0,0,0.0,0,0.0
13,14.0,47.0,14.0,15.0,2022-12-18,CHI,,PHI,"L, 20-25",*,5,4,25,6.3,0,80.0,5.0,0,0,0,,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
14,15.0,48.0,15.0,16.0,2022-12-24,CHI,,BUF,"L, 13-35",*,6,5,27,5.4,0,83.3,4.5,0,0,0,,0,0,0,0,0,0,60,95.2,0,0.0,3,12.0
15,16.0,49.0,16.0,17.0,2023-01-01,CHI,@,DET,"L, 10-41",*,3,2,27,13.5,1,66.7,9.0,0,0,0,,0,0,0,0,0,0,46,88.5,0,0.0,0,0.0
16,17.0,50.0,17.0,18.0,2023-01-08,CHI,,MIN,"L, 13-29",*,5,4,57,14.3,1,80.0,11.4,0,0,0,,0,0,0,0,0,0,48,94.1,0,0.0,2,8.7
17,,,,,,,,,3-14,,69,50,544,10.9,7,72.5,7.9,2,9,0,4.5,1,0,1,1,0,0,971,93.9,0,0.0,57,13.1
