,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2023-09-10,LAR,@,SEA,"W, 30-13",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1,,,2.0,2.0,2023-09-17,LAR,,SFO,"L, 23-30",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,,3.0,3.0,2023-09-25,LAR,@,CIN,"L, 16-19",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,,,4.0,4.0,2023-10-01,LAR,@,IND,"W, 29-23 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,1.0,81.0,5.0,5.0,2023-10-08,LAR,,PHI,"L, 14-23",*,12,8,118,14.8,0,66.7,9.8,0,0,0,,0,0,0,1,0,0,53,94.6,0,0.0,0,0.0
5,2.0,82.0,6.0,6.0,2023-10-15,LAR,,ARI,"W, 26-9",*,9,7,148,21.1,1,77.8,16.4,0,0,0,,0,0,0,0,0,0,57,100.0,0,0.0,0,0.0
6,3.0,83.0,7.0,7.0,2023-10-22,LAR,,PIT,"L, 17-24",*,7,2,29,14.5,0,28.6,4.1,0,0,0,,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
7,4.0,84.0,8.0,8.0,2023-10-29,LAR,@,DAL,"L, 20-43",*,10,4,21,5.3,0,40.0,2.1,0,0,0,,0,0,0,0,0,0,62,100.0,0,0.0,0,0.0
8,5.0,85.0,9.0,9.0,2023-11-05,LAR,@,GNB,"L, 3-20",*,7,2,48,24.0,0,28.6,6.9,0,0,0,,0,0,0,0,0,0,49,84.5,0,0.0,0,0.0
9,6.0,86.0,10.0,11.0,2023-11-19,LAR,,SEA,"W, 17-16",*,1,1,11,11.0,0,100.0,11.0,0,0,0,,0,0,0,0,0,0,18,26.9,0,0.0,0,0.0
10,7.0,87.0,11.0,12.0,2023-11-26,LAR,@,ARI,"W, 37-14",*,5,3,18,6.0,0,60.0,3.6,0,0,0,,0,0,0,0,0,0,59,88.1,0,0.0,1,3.6
11,8.0,88.0,12.0,13.0,2023-12-03,LAR,,CLE,"W, 36-19",*,8,6,39,6.5,1,75.0,4.9,0,0,0,,0,0,0,0,0,0,63,98.4,0,0.0,1,3.0
12,9.0,89.0,13.0,14.0,2023-12-10,LAR,@,BAL,"L, 31-37 (OT)",*,10,8,115,14.4,1,80.0,11.5,0,0,0,,0,0,0,0,0,0,75,97.4,0,0.0,0,0.0
13,10.0,90.0,14.0,15.0,2023-12-17,LAR,,WAS,"W, 28-20",*,8,8,111,13.9,1,100.0,13.9,0,0,0,,0,0,0,0,0,0,75,100.0,0,0.0,2,7.4
14,11.0,91.0,15.0,16.0,2023-12-21,LAR,,NOR,"W, 30-22",*,12,6,52,8.7,0,50.0,4.3,1,-3,0,-3.0,0,0,0,0,0,0,70,100.0,0,0.0,2,8.3
15,12.0,92.0,16.0,17.0,2023-12-31,LAR,@,NYG,"W, 26-25",*,6,4,27,6.8,1,66.7,4.5,0,0,0,,0,0,0,0,0,0,61,98.4,0,0.0,1,3.3
16,12.0,,17.0,18.0,2024-01-07,LAR,@,SFO,"W, 21-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,7-5,,95,59,737,12.5,5,62.1,7.8,1,-3,0,-3.0,0,0,0,1,0,0,710,90.7,0,0.0,7,2.1
