,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2019-09-09,DEN,@,OAK,"L, 16-24",,8,7,120,17.1,0,87.5,15.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,55,88.7,0,0.0,0,0.0
1,2.0,18.0,2.0,2.0,2019-09-15,DEN,,CHI,"L, 14-16",*,7,4,40,10.0,0,57.1,5.7,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,78,96.3,0,0.0,0,0.0
2,3.0,19.0,3.0,3.0,2019-09-22,DEN,@,GNB,"L, 16-27",*,7,5,87,17.4,0,71.4,12.4,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,65,89.0,0,0.0,0,0.0
3,4.0,20.0,4.0,4.0,2019-09-29,DEN,,JAX,"L, 24-26",*,9,6,62,10.3,2,66.7,6.9,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,52,94.5,0,0.0,0,0.0
4,5.0,21.0,5.0,5.0,2019-10-06,DEN,@,LAC,"W, 20-13",,7,4,92,23.0,1,57.1,13.1,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,50,83.3,0,0.0,1,3.7
5,6.0,22.0,6.0,6.0,2019-10-13,DEN,,TEN,"W, 16-0",*,8,4,76,19.0,0,50.0,9.5,0,0,0,,0,0,,0,0,0,,,,0,0,1,0,0,0,0,0,56,93.3,0,0.0,0,0.0
6,7.0,23.0,7.0,7.0,2019-10-17,DEN,,KAN,"L, 6-30",*,8,6,87,14.5,0,75.0,10.9,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,64,95.5,0,0.0,0,0.0
7,8.0,24.0,8.0,8.0,2019-10-27,DEN,@,IND,"L, 13-15",*,6,3,72,24.0,0,50.0,12.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,68,93.2,0,0.0,0,0.0
8,9.0,25.0,9.0,9.0,2019-11-03,DEN,,CLE,"W, 24-19",*,8,5,56,11.2,1,62.5,7.0,1,7,0,7.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,46,92.0,0,0.0,0,0.0
9,10.0,26.0,10.0,11.0,2019-11-17,DEN,@,MIN,"L, 23-27",*,9,5,113,22.6,0,55.6,12.6,2,10,0,5.0,1,1,100.0,38,0,0,38.0,38.0,118.7,0,0,0,0,0,0,0,0,70,88.6,0,0.0,0,0.0
10,11.0,27.0,11.0,12.0,2019-11-24,DEN,@,BUF,"L, 3-20",*,8,1,27,27.0,0,12.5,3.4,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,49,100.0,0,0.0,0,0.0
11,12.0,28.0,12.0,13.0,2019-12-01,DEN,,LAC,"W, 23-20",*,5,4,74,18.5,2,80.0,14.8,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,55,98.2,0,0.0,0,0.0
12,13.0,29.0,13.0,14.0,2019-12-08,DEN,@,HOU,"W, 38-24",*,7,5,34,6.8,0,71.4,4.9,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,57,96.6,0,0.0,1,3.8
13,14.0,30.0,14.0,15.0,2019-12-15,DEN,@,KAN,"L, 3-23",*,10,4,79,19.8,0,40.0,7.9,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,54,91.5,0,0.0,0,0.0
14,15.0,31.0,15.0,16.0,2019-12-22,DEN,,DET,"W, 27-17",*,10,5,41,8.2,0,50.0,4.1,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,68,95.8,0,0.0,0,0.0
15,16.0,32.0,16.0,17.0,2019-12-29,DEN,,OAK,"W, 16-15",*,8,4,52,13.0,0,50.0,6.5,0,0,0,,0,0,,0,0,0,,,,0,0,1,0,0,1,2,0,46,75.4,0,0.0,2,7.4
16,,,,,,,,,7-9,,125,72,1112,15.4,6,57.6,8.9,3,17,0,5.7,1,1,100.0,38,0,0,38.0,38.0,118.7,0,0,2,0,0,1,2,0,933,91.9,0,0.0,4,0.9
