,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2018-09-09,DEN,,SEA,"W, 27-24",,5,2,45,22.5,0,40.0,9.0,0,0,0,,0.0,0,0,0,0,0,0,44,59.5,0,0.0,12,35.3
1,2.0,2.0,2.0,2.0,2018-09-16,DEN,,OAK,"W, 20-19",,6,1,9,9.0,0,16.7,1.5,0,0,0,,0.0,0,0,0,0,0,0,54,81.8,0,0.0,7,26.9
2,3.0,3.0,3.0,3.0,2018-09-23,DEN,@,BAL,"L, 14-27",,3,2,37,18.5,0,66.7,12.3,0,0,0,,0.0,1,1,0,0,0,0,53,77.9,0,0.0,2,7.1
3,4.0,4.0,4.0,4.0,2018-10-01,DEN,,KAN,"L, 23-27",,6,3,51,17.0,0,50.0,8.5,0,0,0,,0.0,0,0,0,0,0,0,42,70.0,0,0.0,1,3.6
4,5.0,5.0,5.0,5.0,2018-10-07,DEN,@,NYJ,"L, 16-34",*,6,2,18,9.0,1,33.3,3.0,0,0,0,,0.0,0,0,0,0,0,0,59,76.6,0,0.0,3,9.4
5,6.0,6.0,6.0,6.0,2018-10-14,DEN,,LAR,"L, 20-23",,4,3,58,19.3,0,75.0,14.5,0,0,0,,0.0,0,0,0,0,0,0,35,53.0,0,0.0,1,3.6
6,7.0,7.0,7.0,7.0,2018-10-18,DEN,@,ARI,"W, 45-10",,3,1,28,28.0,1,33.3,9.3,0,0,0,,0.0,0,0,0,0,0,0,40,67.8,0,0.0,1,3.1
7,8.0,8.0,8.0,8.0,2018-10-28,DEN,@,KAN,"L, 23-30",,4,3,78,26.0,0,75.0,19.5,0,0,0,,0.0,0,0,0,0,0,0,49,67.1,0,0.0,0,0.0
8,9.0,9.0,9.0,9.0,2018-11-04,DEN,,HOU,"L, 17-19",*,5,3,57,19.0,0,60.0,11.4,0,0,0,,0.0,0,0,0,0,0,0,56,84.8,0,0.0,0,0.0
9,10.0,10.0,10.0,11.0,2018-11-18,DEN,@,LAC,"W, 23-22",*,6,3,78,26.0,0,50.0,13.0,0,0,0,,0.0,0,0,0,0,0,0,50,89.3,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2018-11-25,DEN,,PIT,"W, 24-17",*,4,1,14,14.0,0,25.0,3.5,0,0,0,,0.0,0,0,0,0,0,0,42,73.7,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2018-12-02,DEN,@,CIN,"W, 24-10",*,7,4,85,21.3,1,57.1,12.1,0,0,0,,0.0,0,0,0,0,0,0,41,69.5,0,0.0,0,0.0
12,13.0,13.0,13.0,14.0,2018-12-09,DEN,@,SFO,"L, 14-20",*,6,2,14,7.0,0,33.3,2.3,1,-1,0,-1.0,0.0,0,0,0,0,0,0,51,68.9,0,0.0,0,0.0
13,14.0,14.0,14.0,15.0,2018-12-15,DEN,,CLE,"L, 16-17",*,6,5,42,8.4,0,83.3,7.0,0,0,0,,0.0,0,0,0,0,0,0,63,86.3,0,0.0,0,0.0
14,15.0,15.0,15.0,16.0,2018-12-24,DEN,@,OAK,"L, 14-27",*,10,6,65,10.8,1,60.0,6.5,0,0,0,,0.0,0,0,0,0,0,0,66,98.5,0,0.0,0,0.0
15,16.0,16.0,16.0,17.0,2018-12-30,DEN,,LAC,"L, 9-23",*,3,1,25,25.0,0,33.3,8.3,0,0,0,,0.0,0,0,0,0,0,0,74,93.7,0,0.0,0,0.0
16,,,,,,,,,6-10,,84,42,704,16.8,4,50.0,8.4,1,-1,0,-1.0,0.0,1,1,0,0,0,0,819,76.3,0,0.0,27,6.1
