,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,18.0,9.0,9.0,2021-11-07,TEN,@,LAR,"W, 28-16",,5,29,0,5.8,0,0,0,,0,,,0,0,0,0,0,0,12,20.7,0,0.0,0,0.0
1,2.0,19.0,10.0,10.0,2021-11-14,TEN,,NOR,"W, 23-21",*,11,30,0,2.7,2,2,48,24.0,0,100.0,24.0,0,0,0,0,0,0,21,35.0,0,0.0,0,0.0
2,3.0,20.0,11.0,11.0,2021-11-21,TEN,,HOU,"L, 13-22",,7,25,0,3.6,1,1,15,15.0,0,100.0,15.0,0,0,0,0,0,0,15,18.5,0,0.0,0,0.0
3,4.0,21.0,12.0,12.0,2021-11-28,TEN,@,NWE,"L, 13-36",,19,109,0,5.7,1,1,3,3.0,0,100.0,3.0,1,1,0,0,0,0,31,49.2,0,0.0,0,0.0
4,5.0,22.0,13.0,14.0,2021-12-12,TEN,,JAX,"W, 20-0",*,13,47,1,3.6,2,2,15,7.5,0,100.0,7.5,0,0,0,0,0,0,23,32.4,0,0.0,0,0.0
5,6.0,23.0,14.0,15.0,2021-12-19,TEN,@,PIT,"L, 13-19",,22,108,0,4.9,3,2,27,13.5,0,66.7,9.0,0,0,0,0,0,0,31,38.8,0,0.0,0,0.0
6,7.0,24.0,15.0,16.0,2021-12-23,TEN,,SFO,"W, 20-17",,9,17,1,1.9,0,0,0,,0,,,0,0,0,0,0,0,21,33.9,0,0.0,0,0.0
7,8.0,25.0,16.0,17.0,2022-01-02,TEN,,MIA,"W, 34-3",,26,132,1,5.1,0,0,0,,0,,,0,0,0,0,0,0,41,65.1,0,0.0,0,0.0
8,9.0,26.0,17.0,18.0,2022-01-09,TEN,@,HOU,"W, 28-25",*,21,69,0,3.3,2,1,15,15.0,0,50.0,7.5,1,0,0,1,3,0,35,51.5,0,0.0,0,0.0
9,,,,,,,,,6-3,,133,566,3,4.3,11,9,123,13.7,0,81.8,11.2,2,1,0,1,3,0,230,38.0,0,0.0,0,0.0
