,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,64.0,1.0,1.0,2022-09-11,CAR,,CLE,"L, 24-26",*,6,3,43,14.3,0,50.0,7.2,1,7,0,7.0,0.0,0,0,0,0,0,0,53,100.0,0,0.0,0,0.0
1,2.0,65.0,2.0,2.0,2022-09-18,CAR,@,NYG,"L, 16-19",*,6,3,43,14.3,1,50.0,7.2,0,0,0,,0.0,0,0,0,0,0,0,56,96.6,0,0.0,0,0.0
2,3.0,66.0,3.0,3.0,2022-09-25,CAR,,NOR,"W, 22-14",*,6,1,2,2.0,0,16.7,0.3,2,13,0,6.5,0.0,0,0,0,0,0,0,60,98.4,0,0.0,1,3.4
3,4.0,67.0,4.0,4.0,2022-10-02,CAR,,ARI,"L, 16-26",*,11,6,50,8.3,0,54.5,4.5,1,11,0,11.0,0.0,1,1,0,0,0,0,50,96.2,0,0.0,1,4.3
4,5.0,68.0,5.0,5.0,2022-10-09,CAR,,SFO,"L, 15-37",*,8,4,59,14.8,0,50.0,7.4,1,8,0,8.0,0.0,0,0,0,0,0,0,64,92.8,0,0.0,0,0.0
5,6.0,69.0,6.0,6.0,2022-10-16,CAR,@,LAR,"L, 10-24",*,7,3,7,2.3,0,42.9,1.0,0,0,0,,0.0,0,0,0,0,0,0,44,100.0,0,0.0,0,0.0
6,7.0,70.0,7.0,7.0,2022-10-23,CAR,,TAM,"W, 21-3",*,10,7,69,9.9,1,70.0,6.9,1,-3,0,-3.0,0.0,0,0,0,0,0,0,50,100.0,0,0.0,0,0.0
7,8.0,71.0,8.0,8.0,2022-10-30,CAR,@,ATL,"L, 34-37 (OT)",*,11,6,152,25.3,1,54.5,13.8,1,3,0,3.0,0.0,0,0,0,0,0,0,77,96.3,0,0.0,0,0.0
8,9.0,72.0,9.0,9.0,2022-11-06,CAR,@,CIN,"L, 21-42",*,6,2,24,12.0,0,33.3,4.0,0,0,0,,0.0,0,0,0,0,0,0,48,98.0,0,0.0,0,0.0
9,10.0,73.0,10.0,10.0,2022-11-10,CAR,,ATL,"W, 25-15",*,6,4,29,7.3,0,66.7,4.8,0,0,0,,0.0,0,0,0,0,0,0,59,89.4,0,0.0,1,3.4
10,11.0,74.0,11.0,11.0,2022-11-20,CAR,@,BAL,"L, 3-13",*,5,3,24,8.0,0,60.0,4.8,0,0,0,,0.0,0,0,0,0,0,0,56,98.2,0,0.0,0,0.0
11,12.0,75.0,12.0,12.0,2022-11-27,CAR,,DEN,"W, 23-10",*,6,4,103,25.8,1,66.7,17.2,0,0,0,,0.0,0,0,0,0,0,0,64,97.0,0,0.0,1,3.3
12,13.0,76.0,13.0,14.0,2022-12-11,CAR,@,SEA,"W, 30-24",*,3,0,0,,0,0.0,0.0,2,6,0,3.0,0.0,0,0,0,0,0,0,69,95.8,0,0.0,0,0.0
13,14.0,77.0,14.0,15.0,2022-12-18,CAR,,PIT,"L, 16-24",*,6,5,73,14.6,1,83.3,12.2,0,0,0,,0.0,0,0,0,0,0,0,44,95.7,0,0.0,1,4.0
14,15.0,78.0,15.0,16.0,2022-12-24,CAR,,DET,"W, 37-23",*,7,5,83,16.6,1,71.4,11.9,1,8,0,8.0,0.0,0,0,0,0,0,0,65,95.6,0,0.0,2,6.9
15,16.0,79.0,16.0,17.0,2023-01-01,CAR,@,TAM,"L, 24-30",*,10,6,117,19.5,1,60.0,11.7,0,0,0,,0.0,0,0,0,0,0,0,65,98.5,0,0.0,1,3.2
16,17.0,80.0,17.0,18.0,2023-01-08,CAR,@,NOR,"W, 10-7",*,4,1,10,10.0,0,25.0,2.5,0,0,0,,0.0,0,0,0,0,0,0,54,91.5,0,0.0,0,0.0
17,,,,,,,,,7-10,,118,63,888,14.1,7,53.4,7.5,10,53,0,5.3,0.0,1,1,0,0,0,0,978,96.3,0,0.0,8,1.7
