,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2019,22,SEA,NFL,WR,16.0,15.0,100.0,58.0,900.0,15.5,7.0,39.0,52.0,54.0,3.6,56.3,58.0,9.0,2.0,11.0,0.0,0.0,100.0,7.0,5.5,0.7,0.1,60.0,15.2,911.0,7.0,3.0,8.0,
1,2020,23,SEA,NFL,WR,16.0,16.0,129.0,83.0,1303.0,15.7,10.0,63.0,58.1,62.0,5.2,81.4,64.3,10.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,83.0,15.7,1303.0,10.0,1.0,13.0,"PB,AP-2"
2,2021,24,SEA,NFL,WR,17.0,17.0,129.0,75.0,967.0,12.9,12.0,48.0,48.1,84.0,4.4,56.9,58.1,7.5,1.0,6.0,0.0,0.0,100.0,6.0,6.0,0.4,0.1,76.0,12.8,973.0,12.0,1.0,9.0,
3,2022,25,SEA,NFL,WR,17.0,17.0,141.0,90.0,1048.0,11.6,6.0,47.0,49.6,54.0,5.3,61.6,63.8,7.4,0.0,0.0,0.0,0.0,,,,0.0,0.0,90.0,11.6,1048.0,6.0,2.0,10.0,
4,2023,26,SEA,NFL,WR,16.0,16.0,119.0,66.0,1114.0,16.9,8.0,52.0,51.3,73.0,4.1,69.6,55.5,9.4,0.0,0.0,0.0,0.0,,,,0.0,0.0,66.0,16.9,1114.0,8.0,0.0,10.0,PB
5,2024,27,SEA,NFL,WR,15.0,12.0,108.0,66.0,992.0,15.0,5.0,35.0,49.1,71.0,4.4,66.1,61.1,9.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,66.0,15.0,992.0,5.0,2.0,7.0,
6,2025,28,PIT,NFL,WR,3.0,3.0,17.0,10.0,135.0,13.5,2.0,7.0,58.8,31.0,3.3,45.0,58.8,7.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,10.0,13.5,135.0,2.0,0.0,,
7,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,100.0,96.0,743.0,448.0,6459.0,14.4,50.0,291.0,51.5,84.0,4.5,64.6,60.3,8.7,3.0,17.0,0.0,0.0,100.0,7.0,5.7,0.2,0.0,451.0,14.4,6476.0,50.0,9.0,57.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,16.0,126.0,76.0,1098.0,14.4,9.0,49.0,51.5,84.0,4.5,64.6,60.3,8.7,1.0,3.0,0.0,0.0,100.0,7.0,5.7,0.2,0.0,77.0,14.4,1101.0,9.0,2.0,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SEA (6 Yrs),SEA (6 Yrs),SEA (6 Yrs),SEA (6 Yrs),,97.0,93.0,726.0,438.0,6324.0,14.4,48.0,284.0,51.4,84.0,4.5,65.2,60.3,8.7,3.0,17.0,0.0,0.0,100.0,7.0,5.7,0.2,0.0,441.0,14.4,6341.0,48.0,9.0,57.0,
11,PIT (1 Yr),PIT (1 Yr),PIT (1 Yr),PIT (1 Yr),,3.0,3.0,17.0,10.0,135.0,13.5,2.0,7.0,58.8,31.0,3.3,45.0,58.8,7.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,10.0,13.5,135.0,2.0,0.0,,
