,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2019-09-08,SEA,,CIN,"W, 21-20",*,6,4,89,22.3,0,66.7,14.8,0,0,0,,0,0,0,0,0,0,40,78.4,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2019-09-15,SEA,@,PIT,"W, 28-26",*,7,3,61,20.3,1,42.9,8.7,0,0,0,,0,0,0,0,0,0,69,88.5,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2019-09-22,SEA,,NOR,"L, 27-33",*,6,2,67,33.5,0,33.3,11.2,0,0,0,,0,0,0,0,0,0,70,84.3,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2019-09-29,SEA,@,ARI,"W, 27-10",*,4,1,6,6.0,0,25.0,1.5,0,0,0,,0,0,0,0,0,0,39,62.9,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2019-10-03,SEA,,LAR,"W, 30-29",,3,2,44,22.0,1,66.7,14.7,0,0,0,,0,0,0,0,0,0,51,68.9,0,0.0,0,0.0
5,6.0,6.0,6.0,6.0,2019-10-13,SEA,@,CLE,"W, 32-28",*,5,4,69,17.3,0,80.0,13.8,1,4,0,4.0,0,0,0,0,0,0,58,71.6,0,0.0,0,0.0
6,7.0,7.0,7.0,7.0,2019-10-20,SEA,,BAL,"L, 16-30",*,9,4,53,13.3,0,44.4,5.9,0,0,0,,1,1,0,0,0,0,54,76.1,0,0.0,0,0.0
7,8.0,8.0,8.0,8.0,2019-10-27,SEA,@,ATL,"W, 27-20",*,5,3,13,4.3,2,60.0,2.6,0,0,0,,0,0,0,0,0,0,55,91.7,0,0.0,0,0.0
8,9.0,9.0,9.0,9.0,2019-11-03,SEA,,TAM,"W, 40-34 (OT)",*,9,6,123,20.5,1,66.7,13.7,1,7,0,7.0,0,0,0,0,0,0,70,94.6,0,0.0,0,0.0
9,10.0,10.0,10.0,10.0,2019-11-11,SEA,@,SFO,"W, 27-24 (OT)",*,10,6,70,11.7,0,60.0,7.0,0,0,0,,1,1,0,0,0,0,71,97.3,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2019-11-24,SEA,@,PHI,"W, 17-9",*,6,3,35,11.7,0,50.0,5.8,0,0,0,,0,0,0,0,0,0,53,86.9,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2019-12-02,SEA,,MIN,"W, 37-30",*,7,6,75,12.5,0,85.7,10.7,0,0,0,,1,1,0,0,0,0,60,80.0,0,0.0,1,3.0
12,13.0,13.0,13.0,14.0,2019-12-08,SEA,@,LAR,"L, 12-28",*,6,6,78,13.0,0,100.0,13.0,0,0,0,,0,0,0,0,0,0,52,77.6,0,0.0,3,12.0
13,14.0,14.0,14.0,15.0,2019-12-15,SEA,@,CAR,"W, 30-24",*,4,2,36,18.0,1,50.0,9.0,0,0,0,,0,0,0,0,0,0,55,82.1,0,0.0,3,10.7
14,15.0,15.0,15.0,16.0,2019-12-22,SEA,,ARI,"L, 13-27",*,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,56,98.2,0,0.0,0,0.0
15,16.0,16.0,16.0,17.0,2019-12-29,SEA,,SFO,"L, 21-26",*,12,6,81,13.5,1,50.0,6.8,0,0,0,,0,0,0,0,0,0,74,98.7,0,0.0,0,0.0
16,,,,,,,,,11-5,,100,58,900,15.5,7,58.0,9.0,2,11,0,5.5,3,3,0,0,0,0,927,83.6,0,0.0,7,1.5
