,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,50.0,1.0,1.0,2022-09-12,SEA,,DEN,"W, 17-16",*,7,7,36,5.1,0,100.0,5.1,0.0,0,0,0,0,0,0,1,1,0,0,0,0,45,81.8,0,0.0,0,0.0
1,2.0,51.0,2.0,2.0,2022-09-18,SEA,@,SFO,"L, 7-27",*,6,4,35,8.8,0,66.7,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,91.8,0,0.0,0,0.0
2,3.0,52.0,3.0,3.0,2022-09-25,SEA,,ATL,"L, 23-27",*,12,5,64,12.8,1,41.7,5.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,66,93.0,0,0.0,0,0.0
3,4.0,53.0,4.0,4.0,2022-10-02,SEA,@,DET,"W, 48-45",*,10,7,149,21.3,0,70.0,14.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,53,75.7,0,0.0,1,3.0
4,5.0,54.0,5.0,5.0,2022-10-09,SEA,@,NOR,"L, 32-39",*,8,5,88,17.6,1,62.5,11.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,50,96.2,0,0.0,0,0.0
5,6.0,55.0,6.0,6.0,2022-10-16,SEA,,ARI,"W, 19-9",*,7,2,34,17.0,0,28.6,4.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,80.9,0,0.0,0,0.0
6,7.0,56.0,7.0,7.0,2022-10-23,SEA,@,LAC,"W, 37-23",*,2,1,12,12.0,0,50.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,28.2,0,0.0,0,0.0
7,8.0,57.0,8.0,8.0,2022-10-30,SEA,,NYG,"W, 27-13",*,10,6,55,9.2,1,60.0,5.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40,62.5,0,0.0,0,0.0
8,9.0,58.0,9.0,9.0,2022-11-06,SEA,@,ARI,"W, 31-21",*,6,5,37,7.4,1,83.3,6.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,80.8,0,0.0,1,3.7
9,10.0,59.0,10.0,10.0,2022-11-13,SEA,@,TAM,"L, 16-21",*,9,6,71,11.8,0,66.7,7.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47,90.4,0,0.0,0,0.0
10,11.0,60.0,11.0,12.0,2022-11-27,SEA,,LVR,"L, 34-40 (OT)",*,15,11,90,8.2,0,73.3,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,90.8,0,0.0,0,0.0
11,12.0,61.0,12.0,13.0,2022-12-04,SEA,@,LAR,"W, 27-23",*,8,8,127,15.9,1,100.0,15.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,58,86.6,0,0.0,0,0.0
12,13.0,62.0,13.0,14.0,2022-12-11,SEA,,CAR,"L, 24-30",*,10,5,71,14.2,1,50.0,7.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,90.7,0,0.0,0,0.0
13,14.0,63.0,14.0,15.0,2022-12-15,SEA,,SFO,"L, 13-21",*,9,7,55,7.9,0,77.8,6.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,61,95.3,0,0.0,0,0.0
14,15.0,64.0,15.0,16.0,2022-12-24,SEA,@,KAN,"L, 10-24",*,9,7,81,11.6,0,77.8,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,69,90.8,0,0.0,0,0.0
15,16.0,65.0,16.0,17.0,2023-01-01,SEA,,NYJ,"W, 23-6",*,5,1,3,3.0,0,20.0,0.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,81.9,0,0.0,0,0.0
16,17.0,66.0,17.0,18.0,2023-01-08,SEA,,LAR,"W, 19-16 (OT)",*,8,3,40,13.3,0,37.5,5.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,58,82.9,0,0.0,0,0.0
17,,,,,,,,,9-8,,141,90,1048,11.6,6,63.8,7.4,0.0,1,1,0,0,0,0,2,2,0,0,0,0,893,81.7,0,0.0,2,0.4
