,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,67.0,1.0,1.0,2023-09-10,SEA,,LAR,"L, 13-30",*,5,3,47,15.7,1,60.0,9.4,48,94.1,0,0.0,0,0.0
1,2.0,68.0,2.0,2.0,2023-09-17,SEA,@,DET,"W, 37-31 (OT)",*,6,6,75,12.5,0,100.0,12.5,60,83.3,0,0.0,1,3.6
2,3.0,69.0,3.0,3.0,2023-09-24,SEA,,CAR,"W, 37-27",*,8,6,112,18.7,0,75.0,14.0,54,72.0,0,0.0,1,2.9
3,4.0,70.0,4.0,4.0,2023-10-02,SEA,@,NYG,"W, 24-3",*,4,3,34,11.3,1,75.0,8.5,39,70.9,0,0.0,0,0.0
4,5.0,71.0,5.0,6.0,2023-10-15,SEA,@,CIN,"L, 13-17",*,9,4,69,17.3,0,44.4,7.7,58,78.4,0,0.0,0,0.0
5,5.0,,6.0,7.0,2023-10-22,SEA,,ARI,"W, 20-10",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,6.0,72.0,7.0,8.0,2023-10-29,SEA,,CLE,"W, 24-20",*,14,5,67,13.4,0,35.7,4.8,45,77.6,0,0.0,0,0.0
7,7.0,73.0,8.0,9.0,2023-11-05,SEA,@,BAL,"L, 3-37",*,4,1,50,50.0,0,25.0,12.5,42,85.7,0,0.0,0,0.0
8,8.0,74.0,9.0,10.0,2023-11-12,SEA,,WAS,"W, 29-26",*,12,7,98,14.0,0,58.3,8.2,72,88.9,0,0.0,0,0.0
9,9.0,75.0,10.0,11.0,2023-11-19,SEA,@,LAR,"L, 16-17",*,9,5,94,18.8,1,55.6,10.4,46,70.8,0,0.0,0,0.0
10,10.0,76.0,11.0,12.0,2023-11-23,SEA,,SFO,"L, 13-31",*,9,3,32,10.7,0,33.3,3.6,48,85.7,0,0.0,0,0.0
11,11.0,77.0,12.0,13.0,2023-11-30,SEA,@,DAL,"L, 35-41",*,8,6,134,22.3,3,75.0,16.8,62,89.9,0,0.0,0,0.0
12,12.0,78.0,13.0,14.0,2023-12-10,SEA,@,SFO,"L, 16-28",*,5,2,52,26.0,1,40.0,10.4,53,89.8,0,0.0,0,0.0
13,13.0,79.0,14.0,15.0,2023-12-18,SEA,,PHI,"W, 20-17",*,6,5,78,15.6,0,83.3,13.0,56,91.8,0,0.0,0,0.0
14,14.0,80.0,15.0,16.0,2023-12-24,SEA,@,TEN,"W, 20-17",*,6,4,56,14.0,1,66.7,9.3,55,88.7,0,0.0,0,0.0
15,15.0,81.0,16.0,17.0,2023-12-31,SEA,,PIT,"L, 23-30",*,8,5,106,21.2,0,62.5,13.3,47,95.9,0,0.0,0,0.0
16,16.0,82.0,17.0,18.0,2024-01-07,SEA,@,ARI,"W, 21-20",*,6,1,10,10.0,0,16.7,1.7,46,83.6,0,0.0,0,0.0
17,,,,,,,,,8-8,,119,66,1114,16.9,8,55.5,9.4,831,83.9,0,0.0,2,0.5
