,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,83.0,1.0,1.0,2024-09-08,SEA,,DEN,"W, 26-20",*,4,3,29,9.7,0,75.0,7.3,0,0,0,0,0,0,59,88.1,0,0.0,0,0.0
1,2.0,84.0,2.0,2.0,2024-09-15,SEA,@,NWE,"W, 23-20 (OT)",*,14,10,129,12.9,1,71.4,9.2,0,0,0,0,0,0,61,87.1,0,0.0,0,0.0
2,3.0,85.0,3.0,3.0,2024-09-22,SEA,,MIA,"W, 24-3",*,6,4,104,26.0,1,66.7,17.3,0,0,0,0,0,0,53,82.8,0,0.0,0,0.0
3,4.0,86.0,4.0,4.0,2024-09-30,SEA,@,DET,"L, 29-42",*,12,7,104,14.9,0,58.3,8.7,1,1,0,0,0,0,74,82.2,0,0.0,0,0.0
4,5.0,87.0,5.0,5.0,2024-10-06,SEA,,NYG,"L, 20-29",*,7,4,55,13.8,0,57.1,7.9,1,1,0,0,0,0,58,100.0,0,0.0,0,0.0
5,6.0,88.0,6.0,6.0,2024-10-10,SEA,,SFO,"L, 24-36",,11,3,48,16.0,0,27.3,4.4,0,0,0,0,0,0,70,89.7,0,0.0,0,0.0
6,7.0,89.0,7.0,7.0,2024-10-20,SEA,@,ATL,"W, 34-14",*,7,4,99,24.8,1,57.1,14.1,0,0,0,0,0,0,47,78.3,0,0.0,0,0.0
7,7.0,,8.0,8.0,2024-10-27,SEA,,BUF,"L, 10-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,7.0,,9.0,9.0,2024-11-03,SEA,,LAR,"L, 20-26 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,8.0,90.0,10.0,11.0,2024-11-17,SEA,@,SFO,"W, 20-17",*,9,7,70,10.0,0,77.8,7.8,0,0,0,0,0,0,54,90.0,0,0.0,0,0.0
10,9.0,91.0,11.0,12.0,2024-11-24,SEA,,ARI,"W, 16-6",,5,4,59,14.8,0,80.0,11.8,0,0,0,0,0,0,50,78.1,0,0.0,0,0.0
11,10.0,92.0,12.0,13.0,2024-12-01,SEA,@,NYJ,"W, 26-21",*,9,4,66,16.5,0,44.4,7.3,0,0,0,0,0,0,48,75.0,0,0.0,0,0.0
12,11.0,93.0,13.0,14.0,2024-12-08,SEA,@,ARI,"W, 30-18",*,6,4,49,12.3,0,66.7,8.2,0,0,0,0,0,0,51,79.7,0,0.0,0,0.0
13,12.0,94.0,14.0,15.0,2024-12-15,SEA,,GNB,"L, 13-30",*,3,3,28,9.3,0,100.0,9.3,0,0,0,0,0,0,55,93.2,0,0.0,0,0.0
14,13.0,95.0,15.0,16.0,2024-12-22,SEA,,MIN,"L, 24-27",*,7,3,57,19.0,1,42.9,8.1,0,0,0,0,0,0,57,89.1,0,0.0,0,0.0
15,14.0,96.0,16.0,17.0,2024-12-26,SEA,@,CHI,"W, 6-3",,3,3,42,14.0,0,100.0,14.0,0,0,0,0,0,0,46,88.5,0,0.0,0,0.0
16,15.0,97.0,17.0,18.0,2025-01-05,SEA,@,LAR,"W, 30-25",*,5,3,53,17.7,1,60.0,10.6,0,0,0,0,0,0,49,89.1,0,0.0,0,0.0
17,,,,,,,,,10-5,,108,66,992,15.0,5,61.1,9.2,2,2,0,0,0,0,832,85.9,0,0.0,0,0.0
