,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,70.0,1.0,1.0,2023-09-10,PHI,@,NWE,"W, 25-20",*,1,0,0,,0,0.0,0.0,0,0,0,,61,92.4,0,0.0,1,3.4
1,2.0,71.0,2.0,2.0,2023-09-14,PHI,,MIN,"W, 34-28",*,7,6,22,3.7,0,85.7,3.1,0,0,0,,74,96.1,0,0.0,1,3.4
2,3.0,72.0,3.0,3.0,2023-09-25,PHI,@,TAM,"W, 25-11",*,7,5,41,8.2,0,71.4,5.9,0,0,0,,74,92.5,0,0.0,0,0.0
3,4.0,73.0,4.0,4.0,2023-10-01,PHI,,WAS,"W, 34-31 (OT)",*,4,2,25,12.5,0,50.0,6.3,0,0,0,,71,100.0,0,0.0,0,0.0
4,5.0,74.0,5.0,5.0,2023-10-08,PHI,@,LAR,"W, 23-14",*,9,8,117,14.6,1,88.9,13.0,0,0,0,,75,94.9,0,0.0,0,0.0
5,6.0,75.0,6.0,6.0,2023-10-15,PHI,@,NYJ,"L, 14-20",*,8,5,42,8.4,0,62.5,5.3,0,0,0,,54,77.1,0,0.0,0,0.0
6,7.0,76.0,7.0,7.0,2023-10-22,PHI,,MIA,"W, 31-17",*,5,5,77,15.4,1,100.0,15.4,0,0,0,,57,79.2,0,0.0,0,0.0
7,8.0,77.0,8.0,8.0,2023-10-29,PHI,@,WAS,"W, 38-31",*,7,4,36,9.0,0,57.1,5.1,0,0,0,,58,92.1,0,0.0,1,3.6
8,9.0,78.0,9.0,9.0,2023-11-05,PHI,,DAL,"W, 28-23",*,4,3,50,16.7,0,75.0,12.5,0,0,0,,48,77.4,0,0.0,0,0.0
9,9.0,,10.0,11.0,2023-11-20,PHI,@,KAN,"W, 21-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,9.0,,11.0,12.0,2023-11-26,PHI,,BUF,"W, 37-34 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,9.0,,12.0,13.0,2023-12-03,PHI,,SFO,"L, 19-42",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,10.0,79.0,13.0,14.0,2023-12-10,PHI,@,DAL,"L, 13-33",*,4,4,30,7.5,0,100.0,7.5,0,0,0,,46,83.6,0,0.0,0,0.0
13,11.0,80.0,14.0,15.0,2023-12-18,PHI,@,SEA,"L, 17-20",*,9,4,30,7.5,0,44.4,3.3,1,1,0,1.0,58,84.1,0,0.0,0,0.0
14,12.0,81.0,15.0,16.0,2023-12-25,PHI,,NYG,"W, 33-25",*,9,7,71,10.1,0,77.8,7.9,0,0,0,,64,85.3,0,0.0,0,0.0
15,13.0,82.0,16.0,17.0,2023-12-31,PHI,,ARI,"L, 31-35",*,6,5,47,9.4,1,83.3,7.8,0,0,0,,46,93.9,0,0.0,0,0.0
16,14.0,83.0,17.0,18.0,2024-01-07,PHI,@,NYG,"L, 10-27",*,3,1,4,4.0,0,33.3,1.3,0,0,0,,23,35.4,0,0.0,0,0.0
17,,,,,,,,,9-5,,83,59,592,10.0,3,71.1,7.1,1,1,0,1.0,809,84.9,0,0.0,3,0.8
