,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,91.0,1.0,1.0,2024-09-08,HOU,@,IND,"W, 29-27",*,3,3,16,5.3,0,100.0,5.3,63,79.7,0,0.0,0,0.0
1,2.0,92.0,2.0,2.0,2024-09-15,HOU,,CHI,"W, 19-13",,3,2,21,10.5,0,66.7,7.0,44,71.0,0,0.0,0,0.0
2,3.0,93.0,3.0,3.0,2024-09-22,HOU,@,MIN,"L, 7-34",*,5,2,11,5.5,0,40.0,2.2,64,95.5,0,0.0,0,0.0
3,4.0,94.0,4.0,4.0,2024-09-29,HOU,,JAX,"W, 24-20",*,5,3,34,11.3,0,60.0,6.8,65,86.7,0,0.0,2,6.9
4,5.0,95.0,5.0,5.0,2024-10-06,HOU,,BUF,"W, 23-20",*,6,4,34,8.5,0,66.7,5.7,67,98.5,0,0.0,0,0.0
5,6.0,96.0,6.0,6.0,2024-10-13,HOU,@,NWE,"W, 41-21",,8,4,27,6.8,0,50.0,3.4,57,86.4,0,0.0,3,9.1
6,7.0,97.0,7.0,7.0,2024-10-20,HOU,@,GNB,"L, 22-24",,2,1,28,28.0,0,50.0,14.0,50,78.1,0,0.0,0,0.0
7,8.0,98.0,8.0,8.0,2024-10-27,HOU,,IND,"W, 23-20",*,6,4,52,13.0,0,66.7,8.7,47,66.2,0,0.0,0,0.0
8,9.0,99.0,9.0,9.0,2024-10-31,HOU,@,NYJ,"L, 13-21",*,6,3,21,7.0,0,50.0,3.5,56,70.9,0,0.0,0,0.0
9,10.0,100.0,10.0,10.0,2024-11-10,HOU,,DET,"L, 23-26",*,4,3,66,22.0,0,75.0,16.5,48,70.6,0,0.0,0,0.0
10,11.0,101.0,11.0,11.0,2024-11-18,HOU,@,DAL,"W, 34-10",,7,5,33,6.6,0,71.4,4.7,48,75.0,0,0.0,0,0.0
11,12.0,102.0,12.0,12.0,2024-11-24,HOU,,TEN,"L, 27-32",*,2,2,20,10.0,0,100.0,10.0,46,82.1,0,0.0,0,0.0
12,13.0,103.0,13.0,13.0,2024-12-01,HOU,@,JAX,"W, 23-20",*,7,5,61,12.2,1,71.4,8.7,43,68.3,0,0.0,0,0.0
13,14.0,104.0,14.0,15.0,2024-12-15,HOU,,MIA,"W, 20-12",*,4,2,13,6.5,0,50.0,3.3,47,94.0,0,0.0,2,8.0
14,15.0,105.0,15.0,16.0,2024-12-21,HOU,@,KAN,"L, 19-27",*,8,5,45,9.0,1,62.5,5.6,48,81.4,0,0.0,4,16.7
15,16.0,106.0,16.0,17.0,2024-12-25,HOU,,BAL,"L, 2-31",*,6,2,21,10.5,0,33.3,3.5,40,71.4,0,0.0,0,0.0
16,17.0,107.0,17.0,18.0,2025-01-05,HOU,@,TEN,"W, 23-14",*,3,3,29,9.7,0,100.0,9.7,32,53.3,0,0.0,1,4.3
17,,,,,,,,,10-7,,85,53,532,10.0,2,62.4,6.3,865,78.1,0,0.0,12,2.5
