,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,74.0,1.0,1,2023-09-11,NYJ,,BUF,"W, 22-16 (OT)",,13,33,0,2.5,3,3,26,8.7,0,100.0,8.7,0,0,0,0,0,0,27,50.0,0,0.0,0,0.0
1,2.0,75.0,2.0,2,2023-09-17,NYJ,@,DAL,"L, 10-30",,4,7,0,1.8,1,1,5,5.0,0,100.0,5.0,1,1,0,0,0,0,17,36.2,0,0.0,0,0.0
2,3.0,76.0,3.0,3,2023-09-24,NYJ,,NWE,"L, 10-15",,8,18,0,2.3,3,3,11,3.7,0,100.0,3.7,0,0,0,0,0,0,16,25.4,0,0.0,0,0.0
3,4.0,77.0,4.0,4,2023-10-01,NYJ,,KAN,"L, 20-23",,5,16,0,3.2,1,1,2,2.0,0,100.0,2.0,0,0,0,0,0,0,15,25.4,0,0.0,0,0.0
4,5.0,78.0,5.0,5,2023-10-08,NYJ,@,DEN,"W, 31-21",,6,23,0,3.8,0,0,0,,0,,,0,0,0,0,0,0,11,16.9,0,0.0,0,0.0
5,6.0,79.0,6.0,6,2023-10-15,NYJ,,PHI,"W, 20-14",,3,12,0,4.0,1,1,2,2.0,0,100.0,2.0,0,0,0,0,0,0,9,13.8,0,0.0,0,0.0
6,7.0,80.0,7.0,8,2023-10-29,NYJ,@,NYG,"W, 13-10 (OT)",,2,5,0,2.5,0,0,0,,0,,,0,0,0,0,0,0,8,12.5,0,0.0,0,0.0
7,8.0,81.0,8.0,9,2023-11-06,NYJ,,LAC,"L, 6-27",,2,7,0,3.5,2,1,1,1.0,0,50.0,0.5,0,0,0,0,0,0,7,8.6,0,0.0,0,0.0
8,9.0,82.0,9.0,10,2023-11-12,NYJ,@,LVR,"L, 12-16",,4,26,0,6.5,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,10,15.2,0,0.0,0,0.0
9,10.0,83.0,10.0,11,2023-11-19,NYJ,@,BUF,"L, 6-32",,2,13,0,6.5,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,14,24.6,0,0.0,0,0.0
10,11.0,84.0,11.0,12,2023-11-24,NYJ,,MIA,"L, 13-34",,1,2,0,2.0,3,2,19,9.5,0,66.7,6.3,0,0,0,0,0,0,19,32.8,0,0.0,0,0.0
11,12.0,85.0,12.0,13,2023-12-03,NYJ,,ATL,"L, 8-13",,9,35,0,3.9,2,1,11,11.0,0,50.0,5.5,1,1,0,0,0,0,18,26.5,0,0.0,0,0.0
12,13.0,86.0,13.0,14,2023-12-10,NYJ,,HOU,"W, 30-6",*,7,13,0,1.9,1,1,-5,-5.0,0,100.0,-5.0,0,0,0,0,0,0,16,23.5,0,0.0,0,0.0
13,14.0,87.0,14.0,15,2023-12-17,NYJ,@,MIA,"L, 0-30",,1,4,0,4.0,1,1,6,6.0,0,100.0,6.0,0,0,0,0,0,0,10,17.2,0,0.0,0,0.0
14,15.0,88.0,15.0,16,2023-12-24,NYJ,,WAS,"W, 30-28",,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,5,5.6,0,0.0,0,0.0
15,15.0,,16.0,17,2023-12-28,NYJ,@,CLE,"L, 20-37",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,,,,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens,Player went from New York Jets to Baltimore Ravens
17,15.0,,17.0,18,2024-01-06,BAL,,PIT,"L, 10-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
18,,,,,,,,,6-9,,67,214,0,3.2,20,15,78,5.2,0,75.0,3.9,2,2,0,0,0,0,202,21.0,0,0.0,0,0.0
